2025-09-12 17:55:59.092831	https://www.encodeproject.org/report/?type=Experiment&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&assay_title=TF+ChIP-seq&status=released&biosample_ontology.term_name=WTC11&files.file_type=bed+narrowPeak&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR568LRK/	ENCSR568LRK	ChIP-seq	TF ChIP-seq	cell line	/targets/JAZF1-human/	JAZF1	JAZF1	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens JAZF1	WTC11	GEO:GSE188155	eGFP-JAZF1 ChIP-seq on human WTC11	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF231JXT/,/files/ENCFF597NYJ/,/files/ENCFF321PPK/,/files/ENCFF847NNQ/,/files/ENCFF550LBP/,/files/ENCFF449OYE/,/files/ENCFF039BNF/,/files/ENCFF064SPP/,/files/ENCFF187XYF/,/files/ENCFF289ZCL/,/files/ENCFF927CGB/,/files/ENCFF093YYM/,/files/ENCFF257BHZ/,/files/ENCFF233LQJ/,/files/ENCFF859HOZ/,/files/ENCFF654IBT/,/files/ENCFF145ATG/,/files/ENCFF955OZK/,/files/ENCFF391MXP/,/files/ENCFF113YAF/,/files/ENCFF887WAU/,/files/ENCFF039UJC/,/files/ENCFF012TGC/,/files/ENCFF374QUG/,/files/ENCFF369LBF/,/files/ENCFF958GRP/		ENCBS852KUV,ENCBS716HBH	1,2	1	ENCAB728YTO	Homo sapiens	adult	30 years										/organisms/human/		/replicates/fa924ad5-3340-4213-a0d3-9446f1559771/,/replicates/7ebd5aa7-c2a2-4f5b-8d1b-b1b5fab3e170/				
/experiments/ENCSR546PDE/	ENCSR546PDE	ChIP-seq	TF ChIP-seq	cell line	/targets/FOXP1-human/	FOXP1	FOXP1	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens FOXP1	WTC11	GEO:GSE230899	ChIP-Seq on WTC11	Richard Myers, HAIB	ENCODE	released	/files/ENCFF168QXU/,/files/ENCFF773MNX/,/files/ENCFF023NWB/,/files/ENCFF715WYR/,/files/ENCFF796ITH/,/files/ENCFF983UCV/,/files/ENCFF853OIC/,/files/ENCFF833JGG/,/files/ENCFF403XPD/,/files/ENCFF031AIE/,/files/ENCFF500QMC/,/files/ENCFF459OMX/,/files/ENCFF050IDZ/,/files/ENCFF125WCE/,/files/ENCFF422ZQW/,/files/ENCFF096GXM/,/files/ENCFF313QJD/,/files/ENCFF638CLW/,/files/ENCFF338WGC/,/files/ENCFF330RCL/,/files/ENCFF854XHL/,/files/ENCFF970CWN/,/files/ENCFF798AMA/,/files/ENCFF136QKG/		ENCBS749QHS,ENCBS639CMT	1,2	1	ENCAB697XQW	Homo sapiens	adult	30 years										/organisms/human/		/replicates/55b84363-bc46-4526-9aa0-beb40785c83b/,/replicates/e8b8519f-6f17-4e1d-962f-7a32f6233f86/				
/experiments/ENCSR214RUE/	ENCSR214RUE	ChIP-seq	TF ChIP-seq	cell line	/targets/ZNF219-human/	ZNF219	ZNF219	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF219	WTC11	GEO:GSE231250	ChIP-Seq on WTC11	Richard Myers, HAIB	ENCODE	released	/files/ENCFF014ODE/,/files/ENCFF757FOM/,/files/ENCFF060VUL/,/files/ENCFF786RGR/,/files/ENCFF025KVM/,/files/ENCFF660FXN/,/files/ENCFF068TRH/,/files/ENCFF870XGI/,/files/ENCFF896EEE/,/files/ENCFF577ADJ/,/files/ENCFF048AFX/,/files/ENCFF384OOJ/,/files/ENCFF067CAM/,/files/ENCFF365HGM/,/files/ENCFF387CLT/,/files/ENCFF272CFU/,/files/ENCFF065WWV/,/files/ENCFF198AJL/,/files/ENCFF164XHP/,/files/ENCFF790NBP/,/files/ENCFF163XNY/,/files/ENCFF523OLY/,/files/ENCFF646YQP/,/files/ENCFF998WKU/		ENCBS797PRA,ENCBS924UEL	2,1	1	ENCAB697XQW	Homo sapiens	adult	30 years										/organisms/human/		/replicates/3c1c31d6-a4c5-41cc-96ed-d253004b8d30/,/replicates/3b5fcd21-8188-4129-a4c6-e761884fc86e/				
/experiments/ENCSR245QUM/	ENCSR245QUM	ChIP-seq	TF ChIP-seq	cell line	/targets/NFE2L1-human/	NFE2L1	NFE2L1	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens NFE2L1	WTC11	GEO:GSE230890	ChIP-Seq on WTC11	Richard Myers, HAIB	ENCODE	released	/files/ENCFF764DVI/,/files/ENCFF602ULF/,/files/ENCFF849ZQY/,/files/ENCFF572KVT/,/files/ENCFF747EQJ/,/files/ENCFF122SUG/,/files/ENCFF485YOU/,/files/ENCFF517SGJ/,/files/ENCFF751QBY/,/files/ENCFF418DPC/,/files/ENCFF115JDD/,/files/ENCFF345VJM/,/files/ENCFF629CKR/,/files/ENCFF894LBI/,/files/ENCFF078EAM/,/files/ENCFF914MVL/,/files/ENCFF965BBJ/,/files/ENCFF644WOA/,/files/ENCFF644BPU/,/files/ENCFF954PAC/,/files/ENCFF147XHP/,/files/ENCFF209QKI/,/files/ENCFF412QPM/,/files/ENCFF317NJR/		ENCBS362GLP,ENCBS871FXA	1,2	1	ENCAB697XQW	Homo sapiens	adult	30 years										/organisms/human/		/replicates/8809a14c-968a-4e1c-af39-c04a2018da15/,/replicates/f1068741-b9cb-420a-9d74-85b7b9d74397/				
/experiments/ENCSR700LFA/	ENCSR700LFA	ChIP-seq	TF ChIP-seq	cell line	/targets/CREB1-human/	CREB1	CREB1	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens CREB1	WTC11	GEO:GSE231151	ChIP-Seq on WTC11	Richard Myers, HAIB	ENCODE	released	/files/ENCFF702GJW/,/files/ENCFF293TAZ/,/files/ENCFF584PXQ/,/files/ENCFF494GTU/,/files/ENCFF973UMP/,/files/ENCFF075ABE/,/files/ENCFF409HDQ/,/files/ENCFF319EOY/,/files/ENCFF557CNR/,/files/ENCFF274WUK/,/files/ENCFF480IFD/,/files/ENCFF414DAD/,/files/ENCFF382AGF/,/files/ENCFF892UNS/,/files/ENCFF751DDA/,/files/ENCFF403FJH/,/files/ENCFF225XIZ/,/files/ENCFF616HSR/,/files/ENCFF119IND/,/files/ENCFF474LWS/,/files/ENCFF434EZB/,/files/ENCFF944HTQ/,/files/ENCFF760MAJ/,/files/ENCFF297VCI/		ENCBS504WKY,ENCBS928RPE	2,1	1	ENCAB697XQW	Homo sapiens	adult	30 years										/organisms/human/		/replicates/444e430e-acb3-4dff-8c7d-b76bf876d704/,/replicates/478e52ca-87d8-4751-812c-cd7c1636f153/				
/experiments/ENCSR350LBJ/	ENCSR350LBJ	ChIP-seq	TF ChIP-seq	cell line	/targets/KAT7-human/	KAT7	KAT7	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens KAT7	WTC11	GEO:GSE231026	ChIP-Seq on WTC11	Richard Myers, HAIB	ENCODE	released	/files/ENCFF450QXN/,/files/ENCFF956GXC/,/files/ENCFF595CLP/,/files/ENCFF965JHQ/,/files/ENCFF179OTB/,/files/ENCFF043MLC/,/files/ENCFF659XWG/,/files/ENCFF665KWL/,/files/ENCFF546GDD/,/files/ENCFF037USX/,/files/ENCFF720ZIC/,/files/ENCFF416MDW/,/files/ENCFF854QPK/,/files/ENCFF840RLK/,/files/ENCFF881WRT/,/files/ENCFF345RZX/,/files/ENCFF461QUR/,/files/ENCFF019XPF/,/files/ENCFF242YWM/,/files/ENCFF490OVV/,/files/ENCFF232UTY/,/files/ENCFF073SNQ/,/files/ENCFF581TPB/,/files/ENCFF596LJS/		ENCBS694OCE,ENCBS551HRW	1,2	1	ENCAB697XQW	Homo sapiens	adult	30 years										/organisms/human/		/replicates/f01c80a2-2bd2-4644-ac37-e2c7bcf13d48/,/replicates/8b05a469-e115-4a4f-8b7e-01499ca748d3/				
/experiments/ENCSR803FIV/	ENCSR803FIV	ChIP-seq	TF ChIP-seq	cell line	/targets/MXD4-human/	MXD4	MXD4	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens MXD4	WTC11	GEO:GSE209179	eGFP-MXD4 ChIP-seq on human WTC11	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF039YNH/,/files/ENCFF597VDG/,/files/ENCFF273VZH/,/files/ENCFF920COX/,/files/ENCFF095BZH/,/files/ENCFF664JPG/,/files/ENCFF023YTZ/,/files/ENCFF266KIM/,/files/ENCFF044PLT/,/files/ENCFF587ERI/,/files/ENCFF601YFD/,/files/ENCFF740DNC/,/files/ENCFF842FKM/,/files/ENCFF898FPS/,/files/ENCFF501SCN/,/files/ENCFF103GRB/,/files/ENCFF009CPB/,/files/ENCFF519ZDH/,/files/ENCFF874QMB/,/files/ENCFF054NWA/,/files/ENCFF086WVT/,/files/ENCFF292PZF/,/files/ENCFF428AYR/,/files/ENCFF033RER/,/files/ENCFF582ZIQ/,/files/ENCFF986MSN/		ENCBS801MHK,ENCBS199QLV	1,2	1	ENCAB728YTO	Homo sapiens	adult	30 years										/organisms/human/		/replicates/3877afa8-9ef9-4d89-bc93-c49dfd877126/,/replicates/32f2126b-7114-4516-99db-d28266d8ebf3/				
/experiments/ENCSR623TZE/	ENCSR623TZE	ChIP-seq	TF ChIP-seq	cell line	/targets/SMAD4-human/	SMAD4	SMAD4	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens SMAD4	WTC11	GEO:GSE209269	ChIP-Seq on WTC11	Richard Myers, HAIB	ENCODE	released	/files/ENCFF325WRV/,/files/ENCFF695FNH/,/files/ENCFF846JDG/,/files/ENCFF697MYP/,/files/ENCFF174GIJ/,/files/ENCFF950CZH/,/files/ENCFF215AJT/,/files/ENCFF313JED/,/files/ENCFF783KPU/,/files/ENCFF772GWT/,/files/ENCFF458KLK/,/files/ENCFF551QDU/,/files/ENCFF263JHV/,/files/ENCFF442SVC/,/files/ENCFF888ZSG/,/files/ENCFF900WKZ/,/files/ENCFF195KVB/,/files/ENCFF049ZLY/,/files/ENCFF752UYL/,/files/ENCFF912SPM/,/files/ENCFF936FHQ/,/files/ENCFF584LGQ/,/files/ENCFF331ZTS/,/files/ENCFF126SGU/		ENCBS853PVZ,ENCBS448XBQ	1,2	1	ENCAB697XQW	Homo sapiens	adult	30 years										/organisms/human/		/replicates/3c30ec95-d0fc-4aa1-95e1-0c4ef1e22e53/,/replicates/064daec8-8188-46c3-934d-68b5a62f9477/				
/experiments/ENCSR381IES/	ENCSR381IES	ChIP-seq	TF ChIP-seq	cell line	/targets/IRF1-human/	IRF1	IRF1	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens IRF1	WTC11	GEO:GSE231081	ChIP-Seq on WTC11	Richard Myers, HAIB	ENCODE	released	/files/ENCFF942MPE/,/files/ENCFF235TSJ/,/files/ENCFF158QQW/,/files/ENCFF520UFG/,/files/ENCFF482BFY/,/files/ENCFF944MZG/,/files/ENCFF236JGJ/,/files/ENCFF970KKZ/,/files/ENCFF179XHX/,/files/ENCFF464TIU/,/files/ENCFF784VKK/,/files/ENCFF779XWL/,/files/ENCFF910ZUK/,/files/ENCFF862GSX/,/files/ENCFF882FQM/,/files/ENCFF137NLZ/,/files/ENCFF464HPE/,/files/ENCFF891XVK/,/files/ENCFF897FLH/,/files/ENCFF920EYO/,/files/ENCFF837ISW/,/files/ENCFF506LYD/,/files/ENCFF539FVN/,/files/ENCFF473GBL/		ENCBS988ISG,ENCBS601BMQ	1,2	1	ENCAB697XQW	Homo sapiens	adult	30 years										/organisms/human/		/replicates/8a806f87-a362-4d1b-ba0c-87dcc1e06e9f/,/replicates/b9c0151c-ab11-4a59-9a40-e0300144eff2/				
/experiments/ENCSR992XTY/	ENCSR992XTY	ChIP-seq	TF ChIP-seq	cell line	/targets/CTCF-human/	CTCF	CTCF	Homo sapiens WTC11	WTC11	GEO:GSE209094		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF213MTD/,/files/ENCFF521SOD/,/files/ENCFF192YXV/,/files/ENCFF383AON/,/files/ENCFF904ZES/,/files/ENCFF854IKY/,/files/ENCFF430VEM/,/files/ENCFF774LPF/,/files/ENCFF054ASD/,/files/ENCFF465XYN/,/files/ENCFF250QNN/,/files/ENCFF639OJC/,/files/ENCFF131MTO/,/files/ENCFF092LXL/,/files/ENCFF258OYZ/,/files/ENCFF396VVS/,/files/ENCFF576PEB/,/files/ENCFF601VBW/,/files/ENCFF788JSE/,/files/ENCFF943LQZ/,/files/ENCFF300CXO/,/files/ENCFF145IHI/,/files/ENCFF770SSP/,/files/ENCFF455GCU/,/files/ENCFF293HAY/,/files/ENCFF541YXA/,/files/ENCFF443UCB/,/files/ENCFF047YGG/,/files/ENCFF073LOW/,/files/ENCFF036NXQ/,/files/ENCFF777FAZ/,/files/ENCFF819JXH/,/files/ENCFF324TCJ/,/files/ENCFF974CGC/,/files/ENCFF626FAE/,/files/ENCFF700LKS/,/files/ENCFF807XKV/,/files/ENCFF908VZL/,/files/ENCFF198CER/,/files/ENCFF112GJQ/,/files/ENCFF910REQ/,/files/ENCFF584IHN/,/files/ENCFF658QVH/,/files/ENCFF188IYY/,/files/ENCFF318ICU/,/files/ENCFF493IHL/,/files/ENCFF801QTI/,/files/ENCFF619QDY/,/files/ENCFF720QWC/,/files/ENCFF889NJF/,/files/ENCFF788AKR/,/files/ENCFF500OQB/,/files/ENCFF503DSN/,/files/ENCFF964PUY/		ENCBS869UGY,ENCBS532TBS	1,2	1,2	ENCAB719MQZ	Homo sapiens	adult	30 years												/replicates/e44c453d-a10a-4268-84ae-42fc83ff29c6/,/replicates/b511c50d-cd5b-4d46-acab-eaf48d603beb/,/replicates/8ee96b57-e7dd-41c1-b935-0040984ea4be/,/replicates/5b2c901a-7e6b-4d97-81cf-b75c62cad4a3/				
