gex_measurement_set	crispr_auxiliary_set
IGVFDS8744RTHB	IGVFDS4795SAEH
IGVFDS1158JXZE	IGVFDS2307PAUL
IGVFDS5923WGBF	IGVFDS3205HMWF
IGVFDS5679ROSF	IGVFDS0267GTRK
IGVFDS4105EJRG	IGVFDS5323GDCP
IGVFDS0597ZHVV	IGVFDS6638RYFS
IGVFDS7169UBOL	IGVFDS1398HOKU
IGVFDS0989ORHG	IGVFDS9463SWCI
IGVFDS8068PTBV	IGVFDS7175BBGI
IGVFDS4761IGDX	IGVFDS5306LVDP
IGVFDS9126SEPN	IGVFDS2492YSJW
IGVFDS8191BFFZ	IGVFDS3299LULT
IGVFDS2257CYJL	IGVFDS8290XBOM
IGVFDS5566CMHE	IGVFDS8905PWRY
IGVFDS5584UNGN	IGVFDS9930WXJX
IGVFDS7774OCRL	IGVFDS2177THPO
IGVFDS0802FXCP	IGVFDS1133VTGX
IGVFDS4713MRFN	IGVFDS9547FSFK
IGVFDS7660HKEU	IGVFDS5483XWTY
IGVFDS9496MGXC	IGVFDS6620FQWN
IGVFDS1699VXSZ	IGVFDS8188KRWF
IGVFDS8637XXDM	IGVFDS8186LALK
IGVFDS6174AAHO	IGVFDS1395JANN
IGVFDS9375WGJP	IGVFDS0145RPXD
IGVFDS5462OYWM	IGVFDS9269WMBK
IGVFDS5514XSCN	IGVFDS0366ZXUM
IGVFDS1494GAMU	IGVFDS5103IVPV
IGVFDS3283PUFS	IGVFDS5709LUTY
IGVFDS2235YAQX	IGVFDS4022JVOC
IGVFDS9477LTNK	IGVFDS2249IGJQ
IGVFDS4379EZIH	IGVFDS4472JXRP
IGVFDS6530QUMD	IGVFDS6635YJBZ
IGVFDS9476OVQQ	IGVFDS4786SXSE
IGVFDS1389ZIJJ	IGVFDS2316XDMQ
IGVFDS2356SCPB	IGVFDS6323BDNA
IGVFDS7444LMMC	IGVFDS3517AYJW
IGVFDS0023AVMD	IGVFDS5954PPLN
IGVFDS2109LTWS	IGVFDS6036XOSX
IGVFDS5284BXGZ	IGVFDS2532INKC
IGVFDS7487JNEG	IGVFDS0551TGLW
IGVFDS9602KVCE	IGVFDS8771OZKS
IGVFDS8188RCIA	IGVFDS1555EMME
IGVFDS1898SBPL	IGVFDS0853DKWJ
IGVFDS1935BBXG	IGVFDS9485CZSK
IGVFDS8661STBE	IGVFDS8995HFUV
IGVFDS4029QGAA	IGVFDS3660XXVT
IGVFDS5025ASXN	IGVFDS3268NHJR
