batch	n_cells	umi_median	umi_mean	umi_std	umi_min	umi_max	umi_q25	umi_q75	genes_median	genes_mean	genes_std	genes_min	genes_max	genes_q25	genes_q75	mito_median	mito_mean	mito_std	mito_min	mito_max	mito_q25	mito_q75
all	1053820	10504.0	11106.376	4066.6572	4022.0	193069.0	8101.0	13359.0	3623.0	3716.725754872749	788.6258385360671	2500	11413	3106.0	4197.0	2.646836	3.3705928	2.4218135	0.0	14.999744	1.7978026866912842	4.120574951171875
A1_S1	22474	10334.0	10610.468	3296.2942	4271.0	39216.0	8254.25	12526.75	3674.0	3726.574174601762	700.1989600617519	2500	7918	3222.0	4139.0	2.2118592	2.875085	2.1460578	0.014426893	14.975611	1.5638359487056732	3.375627636909485
A2_S2	23641	13083.0	13312.863	4809.8887	4143.0	58468.0	9857.0	16314.0	4152.0	4165.813967260268	853.3072975608253	2500	9388	3576.0	4699.0	2.3677795	3.134653	2.405316	0.06990785	14.980732	1.6449449062347412	3.6895089149475098
A3_S3	23901	11607.0	11907.171	3989.6748	4362.0	45887.0	9032.0	14323.0	3873.0	3916.581984017405	765.4125608518066	2500	8601	3366.0	4389.0	2.3240843	3.053277	2.3493009	0.027689327	14.998764	1.5932133197784424	3.6264848709106445
A4_S4	23386	13432.0	13681.562	4970.946	4114.0	58477.0	10190.0	16610.0	4154.5	4171.02758060378	854.0174941014773	2500	8900	3593.0	4696.0	2.7376044	3.5175426	2.528496	0.054857373	14.971694	1.9158288836479187	4.242738127708435
A5_S5	20980	12108.5	12418.544	4275.683	4235.0	46354.0	9311.75	15058.25	3936.0	3972.9968541468065	787.3598631602054	2500	8337	3413.0	4462.0	2.4747353	3.2692595	2.4854062	0.042058576	14.999744	1.729804903268814	3.872797727584839
A6_S6	25239	13873.0	14048.904	5145.03	4197.0	55302.0	10355.5	17241.0	4228.0	4232.543880502397	865.8159430802109	2500	9013	3645.0	4781.0	2.6488566	3.4105818	2.4864757	0.06005491	14.993495	1.8374149203300476	4.073883056640625
A7_S7	24713	12165.0	12450.512	4428.31	4250.0	50435.0	9249.0	15027.0	3932.0	3976.3734067090195	808.0950921633091	2500	8782	3401.0	4475.0	2.8143606	3.5794637	2.5319476	0.063366	14.9772005	1.912227988243103	4.419308185577393
A8_S8	25292	12099.5	12422.542	4424.302	4292.0	74821.0	9333.0	14964.5	3925.5	3960.655859560335	794.5610825669228	2500	9931	3390.75	4441.0	2.6730723	3.4345884	2.4735212	0.0076929	14.992062	1.8457668125629425	4.135216116905212
B1_S9	20784	10542.0	10806.71	3404.6707	4397.0	49081.0	8376.0	12785.25	3693.0	3733.90935334873	699.4052217472837	2500	8672	3221.0	4162.0	2.6583443	3.4108648	2.4026752	0.028244598	14.99483	1.8942380845546722	4.059021234512329
B2_S10	26315	13663.0	13920.572	5236.43	4174.0	47913.0	10137.0	17180.5	4299.0	4287.859699790994	910.6594780899303	2500	8260	3646.0	4890.0	2.6962209	3.3889678	2.4331155	0.011307101	14.9921	1.796669363975525	4.192189455032349
B3_S11	23923	11580.0	11833.013	3910.0767	4170.0	51665.0	9027.5	14206.0	3861.0	3896.6681436274716	756.889743703188	2500	9047	3360.0	4362.0	2.6758533	3.3679912	2.318893	0.014775414	14.977029	1.9110485911369324	4.034348964691162
B4_S12	25131	11380.0	11685.854	4019.2515	4221.0	51968.0	8763.0	14055.5	3966.0	3996.4739962595995	807.4774452961642	2500	8443	3406.0	4512.0	2.408493	3.0334687	2.1974025	0.0	14.986053	1.6453639268875122	3.666830539703369
B5_S13	24292	12969.0	13190.645	4750.252	4175.0	79563.0	9763.0	16132.0	4126.0	4137.402066523959	843.136112559932	2500	10189	3542.0	4687.25	2.7847347	3.4993029	2.4267704	0.041554123	14.97616	1.9231722950935364	4.270546197891235
B6_S14	22810	11560.5	11866.549	3963.455	4262.0	48811.0	9040.25	14229.5	3849.0	3887.771065322227	757.7519125114022	2500	8852	3342.0	4357.0	2.7550163	3.5060985	2.4843972	0.056960586	14.983268	1.90409255027771	4.237635612487793
B7_S15	22610	10291.0	10577.148	3297.3267	4364.0	62413.0	8233.0	12430.75	3597.0	3663.6394957983193	686.5605426810017	2500	9076	3161.0	4068.0	2.7649062	3.4536304	2.332774	0.012968486	14.990489	1.9700603485107422	4.143977999687195
B8_S16	28571	13677.0	13918.847	5222.2495	4103.0	71315.0	10107.5	17093.0	4319.0	4312.674180112702	915.4520560855947	2500	9121	3661.0	4921.0	2.485224	3.1384954	2.2826893	0.018190915	14.99048	1.6359648704528809	3.9013677835464478
C1_S17	3056	6024.5	6289.7866	1211.8972	4353.0	17537.0	5477.75	6756.0	2755.0	2854.026832460733	339.93001291795645	2500	5664	2610.0	2995.25	2.2196212	2.7120953	1.8892986	0.04857513	14.250845	1.4791680872440338	3.3450767993927
C2_S18	26955	10530.0	10921.468	3624.8787	4411.0	42166.0	8335.0	12949.0	3629.0	3706.4476720460025	726.2047030406189	2500	8171	3175.0	4129.0	2.6383169	3.319639	2.3685327	0.039798357	14.975192	1.7563820481300354	4.099993944168091
C3_S19	27906	10907.5	11261.533	3772.6433	4330.0	42175.0	8550.0	13416.0	3706.0	3770.186124847703	744.1420285503243	2500	8406	3224.0	4217.0	2.5313792	3.2332528	2.3997962	0.013315579	14.97181	1.6665768921375275	3.9781447052955627
C4_S20	27199	11178.0	11547.194	3996.0522	4277.0	65192.0	8716.0	13796.5	3757.0	3823.5866024486195	765.6361605481545	2500	8884	3268.0	4277.0	2.645614	3.3390493	2.4094322	0.03215434	14.982385	1.751638114452362	4.1421685218811035
C5_S21	25654	10465.5	10853.862	3528.3477	4267.0	42194.0	8341.0	12863.0	3610.0	3685.466866765417	711.677182334657	2500	7466	3157.0	4107.0	2.574411	3.2546904	2.3674	0.06005605	14.989534	1.7235887050628662	3.9532848596572876
C6_S22	24680	11291.0	11638.438	4168.4756	4265.0	87005.0	8867.5	13829.25	3779.0	3836.2958265802267	765.6735522536319	2500	10458	3289.0	4278.0	2.695311	3.432161	2.4601278	0.03423485	14.985545	1.8355425000190735	4.19396698474884
C7_S23	25989	9774.0	10144.704	3169.291	4287.0	61806.0	7915.0	11906.0	3459.0	3545.6792873908194	665.4902589958723	2500	9395	3055.0	3920.0	2.5785656	3.292981	2.3993762	0.048417356	14.993469	1.7472925186157227	4.002902507781982
C8_S24	27301	10040.0	10392.348	3284.2273	4305.0	44850.0	8097.0	12196.0	3497.0	3580.631405443024	678.6231722274091	2500	8101	3083.0	3957.0	2.555697	3.2502935	2.3426926	0.031748552	14.998002	1.7288615703582764	3.984785556793213
D1_S25	21851	8385.0	8689.409	2302.0664	4385.0	41474.0	7064.5	9928.5	3132.0	3233.621161502906	536.2265412331617	2500	7805	2830.0	3517.0	2.4872448	3.147258	2.2583854	0.07935935	14.99464	1.7217028141021729	3.8004226684570312
D2_S26	27544	10745.0	11049.2705	3625.3423	4126.0	43804.0	8478.0	13117.25	3594.0	3668.112837641592	705.1010893562715	2500	8710	3155.0	4071.0	2.576785	3.32477	2.4459183	0.038642865	14.94423	1.7525677680969238	4.030591011047363
D3_S27	25171	9595.0	9898.395	2941.331	4217.0	33863.0	7795.5	11572.5	3382.0	3466.745659687736	623.8889949486289	2500	7203	3004.0	3812.0	2.5632262	3.255829	2.3397582	0.028427934	14.99483	1.762575626373291	3.9045920372009277
D4_S28	26341	10239.0	10574.119	3362.556	4226.0	50742.0	8229.0	12475.0	3522.0	3601.296002429672	676.9595748255224	2500	8649	3111.0	3985.0	2.5888405	3.3126435	2.3890276	0.06076389	14.998725	1.7736045122146606	3.996699571609497
D5_S29	25511	10972.0	11264.107	3740.6165	4231.0	47388.0	8612.5	13384.0	3666.0	3735.936262788601	723.0511535793347	2500	8431	3219.0	4153.0	2.5441794	3.3074672	2.447704	0.038565367	14.954487	1.7388709783554077	3.997336745262146
D6_S30	26106	10191.0	10518.14	3305.8823	4150.0	41434.0	8163.25	12435.75	3501.0	3584.5427104880105	667.1090975629452	2500	8367	3100.0	3965.0	2.5518727	3.2873445	2.4060981	0.07464653	14.971113	1.7413597404956818	3.9990681409835815
D7_S31	24604	9052.0	9392.91	2713.4167	4364.0	29247.0	7457.0	10854.25	3278.0	3374.139367582507	596.7587720620677	2500	7195	2925.0	3695.0	2.579808	3.282545	2.3506384	0.009249838	14.995867	1.7777066826820374	3.9370646476745605
