batch	n_cells	guide_umi_median	guide_umi_mean	guide_umi_std	guide_umi_min	guide_umi_max	guide_umi_q25	guide_umi_q75	guides_per_cell_mean	guides_per_cell_std	guides_per_cell_min	guides_per_cell_max	guides_per_cell_median	n_cells_with_guide	n_cells_exactly_1_guide	frac_cells_with_guide	n_guides_total	cells_per_guide_median	cells_per_guide_mean	cells_per_guide_std	cells_per_guide_min	cells_per_guide_max
all	1053820	527.0	943.9088193429618	1150.448570090768	1.0	35082.0	149.0	1333.0	2.047701694786586	1.7867398238948786	0	23	2.0	840841	258968	0.7978981230191114	14151.0	103.0	152.49162603349586	258.4043664310824	0.0	14278.0
A1_S1	22474	820.0	1241.2582984782416	1361.416755757921	13.0	17948.0	226.0	1796.0	2.250467206549791	1.8372716536190214	0	14	2.0	18812	5272	0.8370561537776987						
A2_S2	23641	750.0	1192.2294742185186	1368.7603052034995	11.0	33375.0	184.0	1725.0	2.1542235946025974	1.8480302402247275	0	16	2.0	19110	5466	0.8083414407173978						
A3_S3	23901	757.0	1151.6923141291159	1254.7641870718496	9.0	18237.0	205.0	1658.0	2.2282749675745785	1.8533756579759955	0	15	2.0	19815	5650	0.8290448098405925						
A4_S4	23386	806.0	1271.6691610365176	1439.4198380103296	2.0	21223.0	196.0	1854.75	2.1777131617206877	1.8593409517490123	0	15	2.0	18926	5286	0.8092876079705806						
A5_S5	20980	969.0	1517.708770257388	1691.1265672126215	17.0	24574.0	248.0	2189.0	2.307292659675882	1.9414653187529691	0	17	2.0	17407	4748	0.8296949475691134						
A6_S6	25239	822.0	1355.3848409207972	1584.7728758012713	16.0	25567.0	204.0	1942.0	2.1878838305796586	1.8696640519898025	0	16	2.0	20448	5794	0.8101747295851658						
A7_S7	24713	704.0	1113.8919596973253	1240.3796935678436	6.0	14245.0	182.0	1611.0	2.1260470197871566	1.83592044986766	0	17	2.0	19913	5874	0.8057702423825517						
A8_S8	25292	826.0	1284.1957931361696	1426.6187437128085	1.0	21953.0	224.0	1839.0	2.2471927882334337	1.8970013597019864	0	16	2.0	20888	5859	0.8258737940850862						
B1_S9	20784	1036.0	1555.4307159353348	1679.881248054565	2.0	21870.0	289.0	2260.0	2.340309853733641	1.8876185797046827	0	18	2.0	17697	4868	0.851472286374134						
B2_S10	26315	580.0	940.3893596807904	1079.7831294740822	1.0	19465.0	150.0	1356.5	2.0589397681930457	1.7996434204197793	0	16	2.0	20871	6291	0.7931217936538096						
B3_S11	23923	806.0	1236.7269573214062	1373.4833839510707	13.0	18396.0	212.0	1787.0	2.2210425113907117	1.8449551512339324	0	15	2.0	19743	5542	0.8252727500731514						
B4_S12	25131	628.0	993.7146154152242	1106.9526233201843	10.0	18469.0	174.0	1429.0	2.1462337352274083	1.794978970212006	0	14	2.0	20620	5990	0.8205005769766424						
B5_S13	24292	700.0	1146.7307343981558	1309.765703791374	1.0	24677.0	182.0	1654.0	2.133912399143751	1.830801275762286	0	15	2.0	19560	5693	0.805203359130578						
B6_S14	22810	692.5	1078.4407715914074	1201.403197721405	4.0	20183.0	188.0	1556.0	2.132924156071898	1.7866003010357194	0	14	2.0	18742	5586	0.8216571679088119						
B7_S15	22610	802.0	1224.627156125608	1347.7724633895637	16.0	26950.0	230.0	1760.0	2.2264927023440957	1.8060832975943684	0	16	2.0	19003	5471	0.84046881910659						
B8_S16	28571	363.0	598.1271219068286	694.2403433991599	1.0	10944.0	98.0	857.0	1.8675580133702006	1.6705654500009528	0	14	2.0	21884	7082	0.7659514892723391						
C1_S17	3056	999.5	1376.0533376963351	1433.6170338597462	44.0	18561.0	333.0	1912.25	2.7159685863874348	2.1770609426355136	0	17	2.0	2662	603	0.8710732984293194						
C2_S18	26955	470.0	742.0427749953626	814.7950322839348	13.0	14276.0	134.0	1077.0	1.9989983305509182	1.7514235187482123	0	19	2.0	21212	6621	0.7869411982934521						
C3_S19	27906	419.0	639.2576148498531	696.688368535589	1.0	12354.0	118.0	920.0	1.975524976707518	1.7467535460144143	0	16	2.0	21854	6897	0.7831290761843331						
C4_S20	27199	536.0	868.1668811353359	974.1461597102441	6.0	14446.0	156.0	1243.0	2.0598919077907274	1.8278293740624894	0	19	2.0	21365	6299	0.7855068201036803						
C5_S21	25654	596.0	913.0631870273642	1009.5729704985322	10.0	22079.0	168.0	1302.0	2.1182271770484133	1.8309059988633407	0	15	2.0	20563	5987	0.801551414984018						
C6_S22	24680	790.0	1279.3095623987033	1438.637853517843	6.0	18568.0	222.0	1827.0	2.186507293354943	1.89653466905015	0	23	2.0	19986	5738	0.8098055105348461						
