# Gersbach Hep measurement sets — 47 total
# Filter: TF Perturb-seq Project collection + Charles Gersbach Duke + construct_library_sets.accession=IGVFDS3299AXST
# Sorted by cellular_sub_pool 10XLane1-8_S{1..47}
IGVFDS8744RTHB	# 10XLane1-8_S1
IGVFDS1158JXZE	# 10XLane1-8_S2
IGVFDS5923WGBF	# 10XLane1-8_S3
IGVFDS5679ROSF	# 10XLane1-8_S4
IGVFDS4105EJRG	# 10XLane1-8_S5
IGVFDS0597ZHVV	# 10XLane1-8_S6
IGVFDS7169UBOL	# 10XLane1-8_S7
IGVFDS0989ORHG	# 10XLane1-8_S8
IGVFDS8068PTBV	# 10XLane1-8_S9
IGVFDS4761IGDX	# 10XLane1-8_S10
IGVFDS9126SEPN	# 10XLane1-8_S11
IGVFDS8191BFFZ	# 10XLane1-8_S12
IGVFDS2257CYJL	# 10XLane1-8_S13
IGVFDS5566CMHE	# 10XLane1-8_S14
IGVFDS5584UNGN	# 10XLane1-8_S15
IGVFDS7774OCRL	# 10XLane1-8_S16
IGVFDS0802FXCP	# 10XLane1-8_S17
IGVFDS4713MRFN	# 10XLane1-8_S18
IGVFDS7660HKEU	# 10XLane1-8_S19
IGVFDS9496MGXC	# 10XLane1-8_S20
IGVFDS1699VXSZ	# 10XLane1-8_S21
IGVFDS8637XXDM	# 10XLane1-8_S22
IGVFDS6174AAHO	# 10XLane1-8_S23
IGVFDS9375WGJP	# 10XLane1-8_S24
IGVFDS5462OYWM	# 10XLane1-8_S25
IGVFDS5514XSCN	# 10XLane1-8_S26
IGVFDS1494GAMU	# 10XLane1-8_S27
IGVFDS3283PUFS	# 10XLane1-8_S28
IGVFDS2235YAQX	# 10XLane1-8_S29
IGVFDS9477LTNK	# 10XLane1-8_S30
IGVFDS4379EZIH	# 10XLane1-8_S31
IGVFDS6530QUMD	# 10XLane1-8_S32
IGVFDS9476OVQQ	# 10XLane1-8_S33
IGVFDS1389ZIJJ	# 10XLane1-8_S34
IGVFDS2356SCPB	# 10XLane1-8_S35
IGVFDS7444LMMC	# 10XLane1-8_S36
IGVFDS0023AVMD	# 10XLane1-8_S37
IGVFDS2109LTWS	# 10XLane1-8_S38
IGVFDS5284BXGZ	# 10XLane1-8_S39
IGVFDS7487JNEG	# 10XLane1-8_S40
IGVFDS9602KVCE	# 10XLane1-8_S41
IGVFDS8188RCIA	# 10XLane1-8_S42
IGVFDS1898SBPL	# 10XLane1-8_S43
IGVFDS1935BBXG	# 10XLane1-8_S44
IGVFDS8661STBE	# 10XLane1-8_S45
IGVFDS4029QGAA	# 10XLane1-8_S46
IGVFDS5025ASXN	# 10XLane1-8_S47
