R1_path,R2_path,file_modality,measurement_sets,sequencing_run,lane,seqspec,barcode_onlist,guide_design,barcode_hashtag_map
IGVFFI8769TLDU,IGVFFI0422LBBW,scRNA,IGVFDS8744RTHB,2,2,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI1416XIFP,IGVFFI1207WWAJ,scRNA,IGVFDS8744RTHB,1,6,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI4070SVQG,IGVFFI1214ZJUE,scRNA,IGVFDS8744RTHB,1,4,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2395FQXI,IGVFFI1925RUVP,scRNA,IGVFDS8744RTHB,2,8,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI5384EESI,IGVFFI2172QGUI,scRNA,IGVFDS8744RTHB,2,5,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2747DADV,IGVFFI7570FFEJ,scRNA,IGVFDS8744RTHB,1,7,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI4630LHVE,IGVFFI3073CIFI,scRNA,IGVFDS8744RTHB,1,2,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI3324QPZY,IGVFFI6057PNKG,scRNA,IGVFDS8744RTHB,1,8,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI3392RILN,IGVFFI7723VKZP,scRNA,IGVFDS8744RTHB,1,3,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI4356LUSW,IGVFFI8096ASZZ,scRNA,IGVFDS8744RTHB,2,4,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6105HMHY,IGVFFI4720RQKZ,scRNA,IGVFDS8744RTHB,2,6,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI4772CVXB,IGVFFI9748UAWN,scRNA,IGVFDS8744RTHB,2,3,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI8906UQXD,IGVFFI5075QMUS,scRNA,IGVFDS8744RTHB,1,1,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6311JVYZ,IGVFFI7902RZSK,scRNA,IGVFDS8744RTHB,2,1,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI8658ZBWM,IGVFFI7684FMUF,scRNA,IGVFDS8744RTHB,2,7,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI9890ZHKX,IGVFFI9750XZKR,scRNA,IGVFDS8744RTHB,1,5,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2886DWVS,IGVFFI0136QAWL,gRNA,IGVFDS8744RTHB,1,8,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI4249IEHU,IGVFFI0251RTTQ,gRNA,IGVFDS8744RTHB,1,1,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI9569BDIW,IGVFFI0326BZRS,gRNA,IGVFDS8744RTHB,1,5,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI8167AZOY,IGVFFI0477MUFN,gRNA,IGVFDS8744RTHB,1,4,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI0733RWAZ,IGVFFI8515FMGF,gRNA,IGVFDS8744RTHB,1,3,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI0868WFVM,IGVFFI1521UYZH,gRNA,IGVFDS8744RTHB,1,6,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI3921GCSE,IGVFFI1395PORA,gRNA,IGVFDS8744RTHB,2,7,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI1573SOPD,IGVFFI8241DLEN,gRNA,IGVFDS8744RTHB,1,2,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2063GKLB,IGVFFI8341FHUV,gRNA,IGVFDS8744RTHB,2,4,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6506WLLT,IGVFFI2562GJTI,gRNA,IGVFDS8744RTHB,2,2,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI3065MAJM,IGVFFI3475JEPV,gRNA,IGVFDS8744RTHB,2,1,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI5069ENCB,IGVFFI3328JEGW,gRNA,IGVFDS8744RTHB,2,5,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI3891YGLN,IGVFFI8721IVJT,gRNA,IGVFDS8744RTHB,2,6,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI8193AVRU,IGVFFI6039CJXI,gRNA,IGVFDS8744RTHB,1,7,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI7096UJOR,IGVFFI6708AXBO,gRNA,IGVFDS8744RTHB,2,8,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI9282NJLF,IGVFFI9291PKXI,gRNA,IGVFDS8744RTHB,2,3,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/guide_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2002OJUR,IGVFFI0286PCHL,scRNA,IGVFDS1158JXZE,2,6,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI3595NMEQ,IGVFFI0412ZKUZ,scRNA,IGVFDS1158JXZE,2,7,datasets/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/seqspec/rna_seqspec.yml,IGVFFI9487JPEN,IGVFFI8270UPKB,
