R1_path,R2_path,file_modality,measurement_sets,sequencing_run,lane,seqspec,barcode_onlist,guide_design,barcode_hashtag_map
gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/761fe7d4-5fd5-43d2-91a1-1308296465ea/IGVFFI4846DREQ.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/91054f6d-3d9a-4022-bcb5-cb724e90904f/IGVFFI0049TECG.fastq.gz,scRNA,IGVFDS9602KVCE,2,2,datasets/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/setup/seqspec/rna_seqspec.yml,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/07/23/84d7b52d-effd-4227-92ce-0f84bab0e47f/IGVFFI1697XAXI.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/13/c0a4398c-e50e-4b49-a3e2-e97493062263/IGVFFI0855IBEN.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/13/d7fdbc9f-7781-4fff-a62c-095811ea9712/IGVFFI0392XWZZ.fastq.gz,scRNA,IGVFDS9602KVCE,1,6,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2026/06/02/303b3cb4-e676-49b7-a39e-e79de5b3f63b/IGVFFI1688CTLT.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/07/23/84d7b52d-effd-4227-92ce-0f84bab0e47f/IGVFFI1697XAXI.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/9f817962-c2f8-4b28-8e51-6a29fa22173a/IGVFFI0565BWUY.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/e91666dd-0519-4862-9559-bbb7f7534acb/IGVFFI0767STVW.fastq.gz,scRNA,IGVFDS9602KVCE,2,3,datasets/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/setup/seqspec/rna_seqspec.yml,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/07/23/84d7b52d-effd-4227-92ce-0f84bab0e47f/IGVFFI1697XAXI.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/13/f4bfd19e-3728-4ab0-9d83-f744790e9c46/IGVFFI1996SUJH.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/13/3aa1c8cc-a1c8-4afa-9167-f43e84ab60d3/IGVFFI1642OSAJ.fastq.gz,scRNA,IGVFDS9602KVCE,1,3,datasets/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/setup/seqspec/rna_seqspec.yml,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/07/23/84d7b52d-effd-4227-92ce-0f84bab0e47f/IGVFFI1697XAXI.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/3c732dc8-7f88-4645-ba5c-51c4d1f346c1/IGVFFI2125YZPG.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/5c20354d-772f-4478-98a2-214758ba9f8a/IGVFFI2901DHAJ.fastq.gz,scRNA,IGVFDS9602KVCE,2,5,datasets/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/setup/seqspec/rna_seqspec.yml,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/07/23/84d7b52d-effd-4227-92ce-0f84bab0e47f/IGVFFI1697XAXI.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/bcbcb917-04d4-49c3-9943-bc62b5d9c778/IGVFFI3147SUUT.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/a714a35b-c810-408f-a2b1-4610bad827b1/IGVFFI5934HXNC.fastq.gz,scRNA,IGVFDS9602KVCE,2,1,datasets/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/setup/seqspec/rna_seqspec.yml,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/07/23/84d7b52d-effd-4227-92ce-0f84bab0e47f/IGVFFI1697XAXI.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/5f9c81e1-33e9-443e-939d-261e669a8bba/IGVFFI3280GPXT.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/8f01e4fa-3c6a-4d03-bd5e-5ddae60490c2/IGVFFI7599RAAH.fastq.gz,scRNA,IGVFDS9602KVCE,2,7,datasets/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/setup/seqspec/rna_seqspec.yml,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/07/23/84d7b52d-effd-4227-92ce-0f84bab0e47f/IGVFFI1697XAXI.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/13/6fb0164b-0138-466e-9ea1-b5d15f0e77ed/IGVFFI3310CVOJ.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/13/144cb7f9-7f9a-4029-bc82-4957a0d0757f/IGVFFI8326ETDK.fastq.gz,scRNA,IGVFDS9602KVCE,1,4,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2026/06/02/8cef8a19-35c8-406d-9eed-96972eed94c5/IGVFFI9177EYMQ.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/07/23/84d7b52d-effd-4227-92ce-0f84bab0e47f/IGVFFI1697XAXI.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/7c24174a-6b75-4cbe-ad7f-bea38f0cf545/IGVFFI6471COYZ.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/30c1519a-d0dc-439c-a83c-7b39966f5fc1/IGVFFI3361HGQP.fastq.gz,scRNA,IGVFDS9602KVCE,2,4,datasets/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/setup/seqspec/rna_seqspec.yml,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/07/23/84d7b52d-effd-4227-92ce-0f84bab0e47f/IGVFFI1697XAXI.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/fbf96062-3352-47be-a6ef-c4be36979c6a/IGVFFI3513KOHB.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/10/15/4d559cd9-1857-429d-a404-4cc4ae05bd8e/IGVFFI5006NENP.fastq.gz,scRNA,IGVFDS9602KVCE,2,6,datasets/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/setup/seqspec/rna_seqspec.yml,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2025/07/23/84d7b52d-effd-4227-92ce-0f84bab0e47f/IGVFFI1697XAXI.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq/2026_06_04/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
