R1_path,R2_path,file_modality,measurement_sets,sequencing_run,lane,seqspec,barcode_onlist,guide_design,barcode_hashtag_map
IGVFFI7021YKKX,IGVFFI5953FFLP,scRNA,IGVFDS9699UXJW,1,8,IGVFFI6281ZPWU,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI3825KJON,IGVFFI4863GZFH,scRNA,IGVFDS9568EYXJ,1,4,IGVFFI4474EBAY,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI4593GSYD,IGVFFI4453FDMA,scRNA,IGVFDS9367JFNB,1,6,IGVFFI1143RPTQ,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2742YWGU,IGVFFI2225YAPD,scRNA,IGVFDS8548HJBX,1,4,IGVFFI9154XFLC,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI8861RIGT,IGVFFI2817IGQJ,scRNA,IGVFDS8493OWMF,1,7,IGVFFI4558NWWG,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI7381RZYW,IGVFFI7368ZIJK,scRNA,IGVFDS7696ONVJ,1,8,IGVFFI1313DWZJ,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI0375MPAR,IGVFFI8281ZPNR,scRNA,IGVFDS7181KBXZ,1,7,IGVFFI9051ZCVI,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI7493FAMJ,IGVFFI6438DBDG,scRNA,IGVFDS6990PWDJ,1,4,IGVFFI7117BPUP,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI4558NNBF,IGVFFI2863CHIH,scRNA,IGVFDS6980CXOR,1,8,IGVFFI4956FUMQ,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6185KNVF,IGVFFI6917PGIM,scRNA,IGVFDS6847GSEQ,1,4,IGVFFI9894IGJG,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI9232SFPL,IGVFFI5554HCJF,scRNA,IGVFDS6688BORQ,1,6,IGVFFI2360MPMH,IGVFFI9487JPEN,IGVFFI8270UPKB,
