batch	n_cells	umi_median	umi_mean	umi_std	umi_min	umi_max	umi_q25	umi_q75	genes_median	genes_mean	genes_std	genes_min	genes_max	genes_q25	genes_q75	mito_median	mito_mean	mito_std	mito_min	mito_max	mito_q25	mito_q75
all	1070503	2411.0	2510.702	1634.4839	78.0	58346.0	1452.0	3389.0	1429.0	1387.7451002005598	738.2699395064899	45	7041	944.0	1852.0	3.6501899	4.1939373	2.891643	0.0	14.998764	2.1113243103027344	5.649913311004639
IGVFDS0119GHBM	34859	2517.0	2557.3306	1758.3029	78.0	20965.0	1281.0	3542.0	1475.0	1389.1542499784848	792.7866211677394	62	6008	832.0	1905.0	4.2800145	4.7383604	3.089635	0.0	14.997956	2.444875121116638	6.495408773422241
IGVFDS0814DYDR	38755	3036.0	3002.7712	1812.9238	78.0	29433.0	1938.5	4000.0	1707.0	1600.9405754096247	800.8614574697783	63	6359	1193.0	2097.0	3.0666666	3.5364466	2.4752932	0.0	14.98744	1.89393949508667	4.595350027084351
IGVFDS0860HOHE	41017	2595.0	2665.9312	1628.6907	78.0	20463.0	1686.0	3542.0	1543.0	1485.4607114123412	736.823145762188	56	5583	1097.0	1942.0	3.141361	3.5967233	2.4816306	0.0	14.9937	1.9317713975906372	4.6850996017456055
IGVFDS1042ITOF	39805	2354.0	2335.745	1349.7628	78.0	17045.0	1548.0	3078.0	1398.0	1330.734731817611	649.8742531605204	58	4941	997.0	1729.0	3.03561	3.4946446	2.443053	0.0	14.982578	1.8348623514175415	4.563977241516113
IGVFDS1584ZJUM	39878	2850.0	2862.564	1720.7843	78.0	25577.0	1852.0	3786.0	1657.0	1573.821630974472	776.650508978653	58	5887	1181.0	2053.0	3.0338917	3.5036728	2.4522445	0.0	14.99006	1.8427945673465729	4.5926889181137085
IGVFDS1867JBBD	39609	2557.0	2546.7678	1528.5658	78.0	25558.0	1651.0	3372.0	1494.0	1415.8819460223688	706.6771031561134	58	6354	1052.0	1851.0	3.0031612	3.479214	2.4586496	0.0	14.99683	1.833180546760559	4.536861896514893
IGVFDS2653YSTF	38646	1819.0	2135.5833	1569.9197	78.0	17177.0	1141.0	2873.75	1187.0	1230.4614190343113	701.9857977849541	58	5383	800.0	1646.0	4.0743465	4.505283	2.9349504	0.0	14.995641	2.395209789276123	6.094808101654053
IGVFDS2933CBPV	38905	2271.0	2407.848	1597.3909	78.0	24994.0	1413.0	3236.0	1317.0	1299.827040226192	706.1241866221555	61	5867	888.0	1729.0	4.9318624	5.30623	3.20632	0.0	14.991482	3.0162413120269775	7.234798431396484
IGVFDS3275TXAD	36488	2031.0	2070.158	1298.1793	78.0	17171.0	1262.0	2766.0	1208.0	1169.531023898268	617.8055176636328	61	4914	816.0	1545.0	4.8780484	5.2299967	3.1825945	0.0	14.989817	2.97029709815979	7.127641558647156
IGVFDS3599AKSM	40168	2666.0	2796.539	1781.3914	78.0	30413.0	1691.0	3731.0	1600.0	1547.8243875721969	784.0256125014859	60	6575	1117.0	2033.0	3.030303	3.5041323	2.4553556	0.0	14.994165	1.8412977159023285	4.5737621784210205
IGVFDS4080NNVH	33615	2288.0	2261.1404	1466.9528	78.0	20729.0	1225.5	3090.5	1336.0	1254.1288710397143	693.6744322352462	58	5304	790.0	1696.0	4.777003	5.1506953	3.2568326	0.0	14.992271	2.777777910232544	7.13389778137207
IGVFDS5151YCLI	39692	2265.0	2526.9192	1798.0076	78.0	18894.0	1371.75	3428.0	1369.0	1381.129875037791	782.6378232920127	56	5820	902.0	1862.0	4.610526	4.998358	3.103991	0.0	14.998764	2.7521673440933228	6.777290940284729
IGVFDS5304ZOXD	34572	2431.0	2614.7769	1855.9849	78.0	17889.0	1353.0	3605.0	1460.0	1423.9901943769526	816.3527495406047	60	5459	892.0	1951.0	4.0831223	4.5518	3.080674	0.0	14.993954	2.305573284626007	6.25
IGVFDS5398VEFY	41854	1581.0	1655.3398	983.05664	78.0	12141.0	1063.0	2164.0	995.0	996.1183638361924	497.7368698224641	60	4405	716.0	1287.0	4.6139774	4.992391	3.0006354	0.0	14.995715	2.89326411485672	6.732253670692444
IGVFDS6239SWYS	33720	2387.0	2392.224	1497.654	78.0	17150.0	1435.0	3210.0	1372.0	1302.8301601423489	685.9498013240104	61	5113	902.0	1724.0	4.463148	4.8682013	3.0834394	0.0	14.998325	2.6474708318710327	6.598509669303894
IGVFDS6472JBHY	39377	2662.0	2633.355	1610.0566	78.0	23469.0	1676.0	3528.0	1539.0	1448.3740254463266	740.3051847325427	58	5723	1061.0	1913.0	2.9865441	3.468131	2.4356606	0.0	14.988211	1.8181817531585693	4.52905797958374
IGVFDS6688BORQ	36069	2193.0	2454.0867	1755.2299	78.0	24788.0	1311.0	3336.0	1353.0	1361.004657739333	774.9491630505019	58	6179	872.0	1848.0	4.3406024	4.7594132	3.0630476	0.0	14.998637	2.5531914234161377	6.478455066680908
IGVFDS6847GSEQ	38734	2658.0	2829.5273	1802.9688	78.0	26624.0	1705.0	3805.0	1612.0	1569.4494242784117	789.0559817785141	60	6122	1134.0	2065.0	2.7600827	3.2411697	2.3685284	0.0	14.996054	1.6528924703598022	4.239469647407532
IGVFDS6980CXOR	36162	2307.0	2342.5022	1351.1145	78.0	25161.0	1567.0	3059.0	1375.0	1332.6261268735136	639.2948567908918	56	5789	1002.0	1720.0	3.1967607	3.6761656	2.5210109	0.0	14.995225	1.9704818725585938	4.817195534706116
IGVFDS6990PWDJ	38803	2392.0	2562.0298	1687.4608	78.0	58346.0	1518.0	3421.5	1500.0	1466.9100585006313	752.1610884832462	61	7041	1044.0	1929.0	2.788671	3.2962146	2.4216192	0.0	14.994934	1.6680932641029358	4.284776210784912
IGVFDS7181KBXZ	40568	2165.0	2277.9534	1462.361	78.0	29443.0	1398.0	3026.0	1267.0	1253.983336619996	659.979417020346	60	6252	887.0	1650.0	5.003388	5.3647604	3.1861544	0.0	14.998613	3.125	7.2858463525772095
IGVFDS7696ONVJ	37011	2903.0	2895.2253	1744.6975	78.0	22447.0	1857.5	3856.0	1642.0	1550.4440031342033	776.3207980489046	45	5699	1148.0	2032.0	2.9648356	3.4385655	2.4584017	0.0	14.992389	1.7749128937721252	4.501744508743286
IGVFDS8493OWMF	37348	2374.0	2381.6926	1553.4988	78.0	24177.0	1358.0	3229.0	1357.0	1285.7978204990895	703.8431191148658	58	5534	854.0	1725.0	4.849182	5.198242	3.22758	0.0	14.983888	2.868159770965576	7.142857551574707
IGVFDS8548HJBX	38710	2655.0	2700.9116	1596.901	78.0	27213.0	1769.0	3570.0	1566.0	1504.629759752002	723.9395461276532	58	6173	1136.0	1954.0	3.1657398	3.6355588	2.5011075	0.0	14.993307	1.9275715053081512	4.763563275337219
IGVFDS8747AVMA	36321	2674.0	2650.1418	1710.6962	78.0	22535.0	1475.0	3607.0	1485.0	1394.8137716472563	758.3316187938752	61	5623	911.0	1877.0	4.6011353	4.991201	3.1763368	0.0	14.986377	2.7096405029296875	6.835611820220947
IGVFDS9367JFNB	41904	2010.0	2218.3452	1517.7096	78.0	22696.0	1260.0	2980.0	1264.0	1270.941795532646	692.6356739398094	60	5865	857.0	1693.0	3.960396	4.3847733	2.847009	0.0	14.979757	2.4004024267196655	5.887274980545044
IGVFDS9568EYXJ	38953	2787.0	2885.2317	1748.5956	78.0	22329.0	1815.0	3838.0	1612.0	1550.0536544040253	750.6397231280303	61	5381	1155.0	2021.0	2.9661016	3.4462833	2.4374259	0.0	14.977039	1.7964072227478027	4.488542079925537
IGVFDS9699UXJW	38960	2678.0	2656.815	1563.724	78.0	25965.0	1743.0	3515.0	1538.0	1456.1451745379877	715.6293448753454	60	5953	1095.0	1897.0	3.006896	3.4760993	2.4655077	0.0	14.995315	1.8018018007278442	4.550884246826172
