batch	n_cells	guide_umi_median	guide_umi_mean	guide_umi_std	guide_umi_min	guide_umi_max	guide_umi_q25	guide_umi_q75	guides_per_cell_mean	guides_per_cell_std	guides_per_cell_min	guides_per_cell_max	guides_per_cell_median	n_cells_with_guide	n_cells_exactly_1_guide	frac_cells_with_guide	n_guides_total	cells_per_guide_median	cells_per_guide_mean	cells_per_guide_std	cells_per_guide_min	cells_per_guide_max
all	1070503	199.0	346.5934443901605	427.8189501326877	1.0	9179.0	43.0	483.0	2.3954785740908715	1.5836040401543805	0	49	2.0	1011450	274756	0.9448362125094465	14151.0	143.0	181.21454314182742	193.66933508727286	0.0	5158.0
IGVFDS0119GHBM	34859	130.0	322.0328179236352	507.05625302655176	1.0	8767.0	30.0	372.0	2.3254539717146216	1.5249820200704571	0	14	2.0	32394	9006	0.9292865544048883						
IGVFDS0814DYDR	38755	228.0	360.5433105405754	411.2968489455681	1.0	3915.0	48.0	518.0	2.42164881950716	1.5170058065592824	0	23	2.0	37039	9735	0.9557218423429235						
IGVFDS0860HOHE	41017	208.0	328.7298924836044	376.36135479048005	1.0	5050.0	51.0	467.0	2.3762830046078456	1.531450155051072	0	22	2.0	38833	10703	0.946753785015969						
IGVFDS1042ITOF	39805	193.0	300.56206506720264	335.61257630591297	1.0	4098.0	45.0	431.0	2.3079512624042207	1.5075525322055239	0	23	2.0	37366	10755	0.9387262906670016						
IGVFDS1584ZJUM	39878	224.0	349.6976277646823	392.4964297935036	1.0	5807.0	52.0	502.0	2.3868549074677765	1.4937489540820323	0	14	2.0	37907	10346	0.9505742514669743						
IGVFDS1867JBBD	39609	250.0	395.18308970183546	446.8173534903973	1.0	5420.0	56.0	567.0	2.4370471357519756	1.498259249076704	0	13	2.0	37923	9966	0.957433916534121						
IGVFDS2653YSTF	38646	83.0	216.5891683486001	363.8161251416397	1.0	4106.0	25.0	220.0	2.1911711431972263	1.5817043924012355	0	49	2.0	35365	10976	0.9151011747658231						
IGVFDS2933CBPV	38905	219.0	329.17262562652616	359.2069209187681	1.0	3333.0	46.0	480.0	2.365505719059247	1.595030297545102	0	36	2.0	36454	10287	0.937000385554556						
IGVFDS3275TXAD	36488	270.0	403.9898870861653	436.8344905880277	1.0	4649.0	58.0	593.0	2.549714974786231	2.0110407088191153	0	41	2.0	34681	8877	0.9504768691076518						
IGVFDS3599AKSM	40168	244.0	388.9410476000797	449.4632357587999	1.0	5664.0	58.0	549.0	2.475428201553475	1.5169168935622637	0	17	2.0	38596	9836	0.9608643696474806						
IGVFDS4080NNVH	33615	237.0	404.56804997768853	505.64055241047754	1.0	7230.0	44.0	564.0	2.493351182507809	1.8429136751956012	0	41	2.0	31884	8360	0.9485051316376618						
IGVFDS5151YCLI	39692	97.0	257.40660586516174	442.499767925752	1.0	6407.0	29.0	262.0	2.2808374483523126	1.539307232088821	0	32	2.0	36707	10635	0.9247959286506097						
IGVFDS5304ZOXD	34572	178.0	369.6838482008562	539.0711632838727	1.0	7416.0	38.0	459.0	2.4396621543445565	1.5253978309066043	0	14	2.0	32731	8387	0.946748814069189						
IGVFDS5398VEFY	41854	179.0	261.9021837817174	279.35901530180996	1.0	3429.0	48.0	377.0	2.3330386581927653	1.6858412983354258	0	28	2.0	38898	11263	0.9293735365795384						
IGVFDS6239SWYS	33720	199.0	300.9762158956109	332.1190755856969	1.0	3153.0	41.0	439.0	2.3354389086595493	1.5559482113068301	0	24	2.0	31438	8976	0.9323250296559905						
IGVFDS6472JBHY	39377	248.0	400.2391751530081	461.87338218001497	1.0	4968.0	50.0	575.0	2.433882723417223	1.506555781508284	0	13	2.0	37560	9848	0.9538563120603398						
IGVFDS6688BORQ	36069	125.0	292.3207740719177	464.1261048059672	1.0	6536.0	34.0	328.0	2.369486262441432	1.6256038246551237	0	37	2.0	33684	9244	0.9338767362555103						
IGVFDS6847GSEQ	38734	269.0	425.5958847524139	492.3411682687854	1.0	4966.0	64.0	601.0	2.5272112356069605	1.5090397012380041	0	13	2.0	37461	9136	0.9671348169566789						
IGVFDS6980CXOR	36162	242.0	376.94922847187655	419.41026627274925	1.0	4719.0	62.0	535.0	2.453348819202478	1.5398776334385427	0	28	2.0	34701	9093	0.9595984735357558						
IGVFDS6990PWDJ	38803	269.0	425.5172538205809	492.3481481268453	1.0	9179.0	66.0	599.0	2.5192639744349665	1.5210187441916039	0	17	2.0	37532	9310	0.9672448006597428						
IGVFDS7181KBXZ	40568	201.0	299.6209820548215	324.2104704848209	1.0	3848.0	46.0	436.0	2.386881285742457	1.8453194013927	0	37	2.0	37601	10566	0.9268635377637546						
IGVFDS7696ONVJ	37011	236.0	375.48593661343926	427.65398042962676	1.0	5231.0	50.0	539.0	2.431601415795304	1.4896708124733051	0	24	2.0	35495	9269	0.9590392045608063						
IGVFDS8493OWMF	37348	261.0	401.6545999785798	447.2462637089675	1.0	5420.0	47.0	588.0	2.4105708471671843	1.66562722262725	0	41	2.0	35075	9523	0.9391399807218592						
IGVFDS8548HJBX	38710	277.0	437.2866701110824	499.2302815892601	1.0	6835.0	68.0	619.0	2.483156807026608	1.499235712856665	0	16	2.0	37326	9568	0.9642469646086282						
IGVFDS8747AVMA	36321	239.0	368.4868258032543	410.3016577213815	1.0	5969.0	41.0	541.0	2.3666198617879464	1.5327562372508128	0	23	2.0	34030	9176	0.9369235428539963						
IGVFDS9367JFNB	41904	99.0	235.56913421153112	370.21437212612364	1.0	4652.0	28.0	264.0	2.2217449408171057	1.5397705663153498	0	34	2.0	38585	11796	0.920795150820924						
IGVFDS9568EYXJ	38953	230.0	364.0540394834801	414.5730288413994	1.0	4333.0	56.0	515.0	2.4322901958770826	1.4902440438804163	0	13	2.0	37364	9877	0.9592072497625344						
IGVFDS9699UXJW	38960	214.0	338.5213295687885	382.5640243657371	1.0	4888.0	48.0	489.0	2.3534907597535932	1.4914020312809497	0	16	2.0	36820	10242	0.9450718685831622						
