R1_path,R2_path,file_modality,measurement_sets,sequencing_run,lane,seqspec,barcode_onlist,guide_design,barcode_hashtag_map
gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/ce0a89da-fb06-47e6-877d-53514c48cd3e/IGVFFI7021YKKX.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/e293991c-4a7b-44ff-94af-c9f27d3f0a84/IGVFFI5953FFLP.fastq.gz,scRNA,IGVFDS9699UXJW,1,8,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2025/07/21/1fecf456-ee69-4f83-8203-019bcb2c3fa2/IGVFFI6281ZPWU.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/12/05/996cf65e-5b5c-494d-b8d3-f1f1e8b0181c/IGVFFI9487JPEN.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/7c765dda-ef44-4d91-a911-13b9308a9327/IGVFFI3825KJON.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/900db6c9-e4c5-4b6e-b00c-60716ffe9861/IGVFFI4863GZFH.fastq.gz,scRNA,IGVFDS9568EYXJ,1,4,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2025/07/21/4e37ace5-8d1c-47fd-9a62-b719d439a3e7/IGVFFI4474EBAY.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/12/05/996cf65e-5b5c-494d-b8d3-f1f1e8b0181c/IGVFFI9487JPEN.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/c8d7e444-e86f-4959-9baa-c626d070eea0/IGVFFI4593GSYD.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/abce5a1f-3a4d-44c1-891a-8d646556d638/IGVFFI4453FDMA.fastq.gz,scRNA,IGVFDS9367JFNB,1,6,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2025/07/21/b3d57d66-3de8-4f69-8854-c8275a808b65/IGVFFI1143RPTQ.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/12/05/996cf65e-5b5c-494d-b8d3-f1f1e8b0181c/IGVFFI9487JPEN.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/3934f620-d44a-4b5e-b9b8-6a72a1ee7695/IGVFFI6937HYCE.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/e5975df7-eaa4-404d-826b-aa9c15fe287b/IGVFFI2624LJFU.fastq.gz,scRNA,IGVFDS8747AVMA,1,7,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2025/07/21/ffc6975c-4aac-485f-8e4e-bcf27b7de389/IGVFFI3585YHTP.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/12/05/996cf65e-5b5c-494d-b8d3-f1f1e8b0181c/IGVFFI9487JPEN.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/b85a9cc2-c5c8-4824-96fa-3719f52a65e0/IGVFFI2742YWGU.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/f01ea728-4961-4b01-b355-b3886eaf7008/IGVFFI2225YAPD.fastq.gz,scRNA,IGVFDS8548HJBX,1,4,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2025/07/21/f5dc09b4-03d2-439a-802f-1803c220a5b6/IGVFFI9154XFLC.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/12/05/996cf65e-5b5c-494d-b8d3-f1f1e8b0181c/IGVFFI9487JPEN.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/10cafa59-bbc2-4b59-90cb-5c027c0a547f/IGVFFI8861RIGT.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/4767a327-12f7-42bb-9646-efadf5b70111/IGVFFI2817IGQJ.fastq.gz,scRNA,IGVFDS8493OWMF,1,7,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2025/07/21/c369c4d5-06ba-4695-928f-d71307e9522a/IGVFFI4558NWWG.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/12/05/996cf65e-5b5c-494d-b8d3-f1f1e8b0181c/IGVFFI9487JPEN.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/810243fb-cfe4-43a3-be39-983e7443d474/IGVFFI7381RZYW.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/c2224721-2fd4-4060-8065-1f7dead28757/IGVFFI7368ZIJK.fastq.gz,scRNA,IGVFDS7696ONVJ,1,8,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2025/07/21/400b0efd-2ed5-4030-a4f3-0f7dfb7e5b0f/IGVFFI1313DWZJ.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/12/05/996cf65e-5b5c-494d-b8d3-f1f1e8b0181c/IGVFFI9487JPEN.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/b05aec90-26e3-4aaa-9683-f6a69b1f7ae1/IGVFFI0375MPAR.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/f1b6270a-ffdb-4775-939f-c461d6ece200/IGVFFI8281ZPNR.fastq.gz,scRNA,IGVFDS7181KBXZ,1,7,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2025/07/21/53f46a50-bcba-433e-86ce-cefa40c1b3d0/IGVFFI9051ZCVI.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/12/05/996cf65e-5b5c-494d-b8d3-f1f1e8b0181c/IGVFFI9487JPEN.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/bb5e0cc3-5c9c-40e3-909b-bb36aac7cb95/IGVFFI7493FAMJ.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/0d937ad2-8c8c-458b-b413-dcf0785ffdc8/IGVFFI6438DBDG.fastq.gz,scRNA,IGVFDS6990PWDJ,1,4,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2025/07/21/bac6f919-60a9-4bd1-afcd-861af3208709/IGVFFI7117BPUP.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/12/05/996cf65e-5b5c-494d-b8d3-f1f1e8b0181c/IGVFFI9487JPEN.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/559a4dba-1240-4383-b447-3920901542f6/IGVFFI4558NNBF.fastq.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/22/91a05ab4-6c96-4457-b043-43d1517628b7/IGVFFI2863CHIH.fastq.gz,scRNA,IGVFDS6980CXOR,1,8,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2025/07/21/8b1f3abc-38c6-4211-9095-ec68f7e653ed/IGVFFI4956FUMQ.yaml.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/12/05/996cf65e-5b5c-494d-b8d3-f1f1e8b0181c/IGVFFI9487JPEN.tsv.gz,gs://igvf-pertub-seq-pipeline-data/Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq/2026_04_15/2024/08/21/2dca8d2e-e59f-425d-b0d4-835ec3fb61f9/IGVFFI8270UPKB.csv.gz,
