batch	n_cells	umi_median	umi_mean	umi_std	umi_min	umi_max	umi_q25	umi_q75	genes_median	genes_mean	genes_std	genes_min	genes_max	genes_q25	genes_q75	mito_median	mito_mean	mito_std	mito_min	mito_max	mito_q25	mito_q75
all	1004091	2398.0	2502.341	1638.8444	75.0	58346.0	1441.0	3383.0	1426.0	1386.3791379466602	741.513157106542	45	7041	939.0	1855.0	3.5928144	4.139559	2.869516	0.0	14.998764	2.0812010765075684	5.5651421546936035
IGVFDS0119GHBM	35038	2508.0	2544.3716	1762.4977	75.0	20965.0	1241.25	3534.0	1470.0	1382.2802671385352	796.1158873117045	58	6008	808.0	1902.0	4.269479	4.7308397	3.0922475	0.0	14.997956	2.4390242099761963	6.492918610572815
IGVFDS0814DYDR	38859	3031.0	2995.2854	1816.637	75.0	29433.0	1923.0	3997.0	1705.0	1597.0186057284027	803.5826216001147	56	6359	1187.0	2096.0	3.063291	3.535156	2.478698	0.0	14.98744	1.8901000618934631	4.594594478607178
IGVFDS0860HOHE	41117	2591.0	2660.0208	1631.38	75.0	20463.0	1678.0	3540.0	1543.0	1482.2472943064913	739.0169411397502	56	5583	1092.0	1941.0	3.1393569	3.5958595	2.4848793	0.0	14.9937	1.92887282371521	4.684684753417969
IGVFDS1042ITOF	39931	2349.0	2326.9805	1354.1162	75.0	17045.0	1531.0	3073.0	1396.0	1325.8878815957526	653.1353493719324	58	4941	990.0	1728.0	3.0314372	3.4908068	2.446731	0.0	14.982578	1.828467845916748	4.562183618545532
IGVFDS1584ZJUM	40020	2844.0	2853.3696	1725.5104	75.0	25577.0	1839.0	3782.0	1655.0	1568.8307346326837	780.2477565287612	58	5887	1173.0	2052.0	3.0314066	3.5030115	2.4575758	0.0	14.99006	1.8366501927375793	4.593209624290466
IGVFDS1867JBBD	39738	2552.0	2539.4392	1532.2571	75.0	25558.0	1640.0	3368.0	1492.0	1411.8704766218732	709.4882994723621	56	6354	1045.25	1849.0	3.0014641	3.4793193	2.4630494	0.0	14.99683	1.829268217086792	4.538115620613098
IGVFDS2653YSTF	38914	1810.0	2123.9192	1571.7292	75.0	17177.0	1125.0	2864.0	1185.0	1224.1019170478492	704.5675514301162	55	5383	790.25	1640.0	4.062893	4.4932556	2.939463	0.0	14.995641	2.378326416015625	6.087737083435059
IGVFDS2933CBPV	39043	2266.0	2399.7295	1600.4353	75.0	24994.0	1401.0	3232.0	1314.0	1295.5489588402531	708.5684312328609	46	5867	878.0	1728.0	4.9251246	5.2991934	3.2084808	0.0	14.991482	3.002590775489807	7.229898929595947
IGVFDS3275TXAD	36625	2027.0	2063.6843	1300.8362	75.0	17171.0	1250.0	2763.0	1206.0	1165.9415699658703	619.9036412951909	56	4914	808.0	1544.0	4.8739495	5.224992	3.186645	0.0	14.989817	2.958937168121338	7.127071857452393
