,pval_outlier
non-targeting_00006,1
non-targeting_00010,1
non-targeting_00013,1
non-targeting_00018,1
non-targeting_00020,1
non-targeting_00021,1
non-targeting_00026,1
non-targeting_00037,1
non-targeting_00047,1
non-targeting_00062,1
non-targeting_00081,1
non-targeting_00095,1
non-targeting_00131,1
non-targeting_00148,1
non-targeting_00158,1
non-targeting_00162,1
non-targeting_00164,1
non-targeting_00166,1
non-targeting_00169,1
non-targeting_00170,1
non-targeting_00176,1
non-targeting_00179,0
non-targeting_00183,1
non-targeting_00186,0
non-targeting_00190,1
non-targeting_00205,1
non-targeting_00215,1
non-targeting_00227,1
non-targeting_00234,1
non-targeting_00250,1
non-targeting_00265,1
non-targeting_00271,1
non-targeting_00284,1
non-targeting_00287,1
non-targeting_00289,1
non-targeting_00293,1
non-targeting_00296,1
non-targeting_00298,1
non-targeting_00306,1
non-targeting_00316,0
non-targeting_00320,1
non-targeting_00324,0
non-targeting_00326,1
non-targeting_00327,1
non-targeting_00340,1
non-targeting_00341,1
non-targeting_00347,1
non-targeting_00352,1
non-targeting_00407,1
non-targeting_00410,0
non-targeting_00412,1
non-targeting_00426,1
non-targeting_00431,1
non-targeting_00445,1
non-targeting_00446,1
non-targeting_00461,1
non-targeting_00474,1
non-targeting_00483,1
non-targeting_00484,0
non-targeting_00485,1
non-targeting_00492,1
non-targeting_00496,1
non-targeting_00497,1
non-targeting_00501,1
non-targeting_00503,1
non-targeting_00509,0
non-targeting_00516,1
non-targeting_00517,0
non-targeting_00518,1
non-targeting_00528,1
non-targeting_00531,1
non-targeting_00538,1
non-targeting_00539,1
non-targeting_00544,1
non-targeting_00545,1
non-targeting_00550,1
non-targeting_00559,1
non-targeting_00570,1
non-targeting_00582,1
non-targeting_00599,1
non-targeting_00609,1
non-targeting_00610,1
non-targeting_00611,1
non-targeting_00612,1
non-targeting_00620,1
non-targeting_00629,1
non-targeting_00634,1
non-targeting_00635,1
non-targeting_00642,1
non-targeting_00652,1
non-targeting_00657,1
non-targeting_00659,1
non-targeting_00664,1
non-targeting_00678,1
non-targeting_00688,0
non-targeting_00689,1
non-targeting_00692,1
non-targeting_00696,1
non-targeting_00698,1
non-targeting_00699,1
non-targeting_00702,1
non-targeting_00709,1
non-targeting_00712,1
non-targeting_00718,1
non-targeting_00749,0
non-targeting_00750,1
non-targeting_00753,1
non-targeting_00756,1
non-targeting_00762,1
non-targeting_00769,1
non-targeting_00771,1
non-targeting_00781,0
non-targeting_00784,1
non-targeting_00787,1
non-targeting_00797,1
non-targeting_00803,1
non-targeting_00811,1
non-targeting_00823,1
non-targeting_00827,1
non-targeting_00843,1
non-targeting_00852,1
non-targeting_00856,1
non-targeting_00860,1
non-targeting_00862,1
non-targeting_00863,1
non-targeting_00881,1
non-targeting_00886,1
non-targeting_00903,1
non-targeting_00907,1
non-targeting_00923,1
non-targeting_00932,0
non-targeting_00934,1
non-targeting_00940,1
non-targeting_00954,1
non-targeting_00962,1
non-targeting_00963,1
non-targeting_00977,1
non-targeting_00979,1
non-targeting_00984,0
non-targeting_00986,1
non-targeting_00987,1
non-targeting_00991,1
non-targeting_00996,1
non-targeting_00998,1
non-targeting_00999,1
non-targeting_01008,1
non-targeting_01012,1
non-targeting_01018,1
non-targeting_01031,0
non-targeting_01034,0
non-targeting_01035,1
non-targeting_01044,1
non-targeting_01047,1
non-targeting_01053,1
non-targeting_01055,1
non-targeting_01086,1
non-targeting_01089,1
non-targeting_01093,1
non-targeting_01101,1
non-targeting_01102,1
non-targeting_01107,1
non-targeting_01109,1
non-targeting_01117,1
non-targeting_01130,0
non-targeting_01136,1
non-targeting_01139,1
non-targeting_01142,1
non-targeting_01155,1
non-targeting_01177,1
non-targeting_01185,0
non-targeting_01188,1
