R1_path,R2_path,file_modality,measurement_sets,sequencing_run,lane,seqspec,barcode_onlist,guide_design,barcode_hashtag_map
IGVFFI7083KJXW,IGVFFI3150OXBG,scRNA,IGVFDS2129VHBD,1,5,/carter/users/aklie/projects/tf_perturb_seq/datasets/Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq/tmp/michael-beer_TF-perturb-seq-DE-rep4.yaml.gz,IGVFFI4695IKAL,IGVFFI8270UPKB,
IGVFFI0188JOMR,IGVFFI5252RNDN,scRNA,IGVFDS2129VHBD,1,4,/carter/users/aklie/projects/tf_perturb_seq/datasets/Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq/tmp/michael-beer_TF-perturb-seq-DE-rep4.yaml.gz,IGVFFI4695IKAL,IGVFFI8270UPKB,
IGVFFI0959HZGR,IGVFFI4701UTRL,scRNA,IGVFDS2129VHBD,1,6,/carter/users/aklie/projects/tf_perturb_seq/datasets/Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq/tmp/michael-beer_TF-perturb-seq-DE-rep4.yaml.gz,IGVFFI4695IKAL,IGVFFI8270UPKB,
IGVFFI1657KGLK,IGVFFI4822SPYI,scRNA,IGVFDS2129VHBD,1,1,/carter/users/aklie/projects/tf_perturb_seq/datasets/Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq/tmp/michael-beer_TF-perturb-seq-DE-rep4.yaml.gz,IGVFFI4695IKAL,IGVFFI8270UPKB,
IGVFFI7458SIPF,IGVFFI0551LFGC,scRNA,IGVFDS2129VHBD,1,4,/carter/users/aklie/projects/tf_perturb_seq/datasets/Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq/tmp/michael-beer_TF-perturb-seq-DE-rep4.yaml.gz,IGVFFI4695IKAL,IGVFFI8270UPKB,
IGVFFI0656YPAF,IGVFFI4877LAFA,scRNA,IGVFDS2129VHBD,1,1,/carter/users/aklie/projects/tf_perturb_seq/datasets/Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq/tmp/michael-beer_TF-perturb-seq-DE-rep4.yaml.gz,IGVFFI4695IKAL,IGVFFI8270UPKB,
IGVFFI6879RKMD,IGVFFI7079QPKU,scRNA,IGVFDS2129VHBD,1,1,/carter/users/aklie/projects/tf_perturb_seq/datasets/Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq/tmp/michael-beer_TF-perturb-seq-DE-rep4.yaml.gz,IGVFFI4695IKAL,IGVFFI8270UPKB,
IGVFFI3135CJBE,IGVFFI1127PQGI,scRNA,IGVFDS2129VHBD,1,8,/carter/users/aklie/projects/tf_perturb_seq/datasets/Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq/tmp/michael-beer_TF-perturb-seq-DE-rep4.yaml.gz,IGVFFI4695IKAL,IGVFFI8270UPKB,
IGVFFI3329VNCQ,IGVFFI4239ALDZ,scRNA,IGVFDS2129VHBD,1,2,/carter/users/aklie/projects/tf_perturb_seq/datasets/Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq/tmp/michael-beer_TF-perturb-seq-DE-rep4.yaml.gz,IGVFFI4695IKAL,IGVFFI8270UPKB,
IGVFFI5645UPSQ,IGVFFI4417WKLB,scRNA,IGVFDS2129VHBD,1,2,/carter/users/aklie/projects/tf_perturb_seq/datasets/Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq/tmp/michael-beer_TF-perturb-seq-DE-rep4.yaml.gz,IGVFFI4695IKAL,IGVFFI8270UPKB,
