Lane	Pipeline	Median Tx UMIs/cell	Median sgRNA UMIs/cell	Singlets w/ sgRNA UMIs > 0	Mean assigned sgRNA/cell	Singlets w/ exactly 1 sgRNA assigned
IGVFDS6239SWYS	Hon Lab Internal	3,563	1,001	24,965	1.93	10,895
IGVFDS8747AVMA	Hon Lab Internal	3,948	1,198	26,881	1.95	11,460
IGVFDS8493OWMF	Hon Lab Internal	3,491	1,245	27,596	1.98	11,617
IGVFDS3275TXAD	Hon Lab Internal	2,983	1,311	27,143	1.99	11,388
IGVFDS2933CBPV	Hon Lab Internal	3,517	1,086	28,632	1.96	12,106
IGVFDS7181KBXZ	Hon Lab Internal	3,296	1,074	30,023	1.95	12,854
IGVFDS5398VEFY	Hon Lab Internal	2,374	874	31,651	1.91	13,967
IGVFDS0119GHBM	Hon Lab Internal	3,852	797	23,150	1.8	11,640
IGVFDS5304ZOXD	Hon Lab Internal	3,765	1,014	24,141	1.83	11,503
IGVFDS4080NNVH	Hon Lab Internal	3,434	1,254	24,801	1.93	10,820
IGVFDS6688BORQ	Hon Lab Internal	3,512	701	24,307	1.8	12,066
IGVFDS5151YCLI	Hon Lab Internal	3,676	511	25,661	1.75	13,514
IGVFDS2653YSTF	Hon Lab Internal	3,357	432	22,486	1.73	12,030
IGVFDS9367JFNB	Hon Lab Internal	3,345	518	27,866	1.78	14,120
IGVFDS6472JBHY	Hon Lab Internal	3,738	1,101	28,742	1.92	12,552
IGVFDS1042ITOF	Hon Lab Internal	3,254	848	28,655	1.9	12,829
IGVFDS9699UXJW	Hon Lab Internal	3,747	1,025	28,103	1.9	12,384
IGVFDS1867JBBD	Hon Lab Internal	3,576	1,139	28,352	1.93	12,349
IGVFDS6980CXOR	Hon Lab Internal	3,287	1,139	27,037	1.93	11,742
IGVFDS7696ONVJ	Hon Lab Internal	4,148	1,053	26,967	1.91	11,865
IGVFDS0814DYDR	Hon Lab Internal	4,222	1,004	28,480	1.92	12,514
IGVFDS6990PWDJ	Hon Lab Internal	3,378	1,181	28,279	1.92	12,415
IGVFDS1584ZJUM	Hon Lab Internal	3,956	1,049	28,734	1.92	12,623
IGVFDS6847GSEQ	Hon Lab Internal	3,812	1,241	27,792	1.93	12,088
IGVFDS3599AKSM	Hon Lab Internal	3,787	1,186	29,113	1.93	12,702
IGVFDS8548HJBX	Hon Lab Internal	3,661	1,207	28,088	1.91	12,459
IGVFDS9568EYXJ	Hon Lab Internal	4,044	996	27,762	1.91	12,315
IGVFDS0860HOHE	Hon Lab Internal	3,730	936	29,944	1.91	13,310
