gene	gene_symbol
ENSG00000228794	LINC01128
ENSG00000188290	HES4
ENSG00000169972	PUSL1
ENSG00000127054	INTS11
ENSG00000107404	DVL1
ENSG00000221978	CCNL2
ENSG00000197530	MIB2
ENSG00000008130	NADK
ENSG00000130762	ARHGEF16
ENSG00000162591	MEGF6
ENSG00000158109	TPRG1L
ENSG00000116213	WRAP73
ENSG00000130764	LRRC47
ENSG00000116237	ICMT
ENSG00000171680	PLEKHG5
ENSG00000204859	ZBTB48
ENSG00000049245	VAMP3
ENSG00000116285	ERRFI1
ENSG00000049239	H6PD
ENSG00000116670	MAD2L2
ENSG00000177674	AGTRAP
ENSG00000120937	NPPB
ENSG00000116685	KIAA2013
ENSG00000116691	MIIP
ENSG00000162496	DHRS3
ENSG00000142627	EPHA2
ENSG00000127481	UBR4
ENSG00000158747	NBL1
ENSG00000162545	CAMK2N1
ENSG00000184677	ZBTB40
ENSG00000261326	LINC01355
ENSG00000057757	PITHD1
ENSG00000011009	LYPLA2
ENSG00000179163	FUCA1
ENSG00000117614	SYF2
ENSG00000142684	ZNF593
ENSG00000158062	UBXN11
ENSG00000176092	CRYBG2
ENSG00000131914	LIN28A
ENSG00000117676	RPS6KA1
ENSG00000158156	XKR8
ENSG00000126698	DNAJC8
ENSG00000130770	ATP5IF1
ENSG00000180098	TRNAU1AP
ENSG00000116353	MECR
ENSG00000162512	SDC3
ENSG00000116863	ADPRS
ENSG00000116871	MAP7D1
ENSG00000181817	LSM10
ENSG00000163879	DNALI1
ENSG00000134697	GNL2
ENSG00000134690	CDCA8
ENSG00000197982	C1orf122
ENSG00000204084	INPP5B
ENSG00000183386	FHL3
ENSG00000183520	UTP11
ENSG00000090621	PABPC4
ENSG00000116990	MYCL
ENSG00000049089	COL9A2
ENSG00000117010	ZNF684
ENSG00000127125	PPCS
ENSG00000117385	P3H1
ENSG00000117394	SLC2A1
ENSG00000117399	CDC20
ENSG00000159479	MED8
ENSG00000117411	B4GALT2
ENSG00000126107	HECTD3
ENSG00000126088	UROD
ENSG00000117481	NSUN4
ENSG00000186377	CYP4X1
ENSG00000123091	RNF11
ENSG00000162377	COA7
ENSG00000116171	SCP2
ENSG00000236253	SLC25A3P1
ENSG00000116212	LRRC42
ENSG00000116209	TMEM59
ENSG00000116133	DHCR24
ENSG00000134709	HOOK1
ENSG00000116717	GADD45A
ENSG00000024526	DEPDC1
ENSG00000066557	LRRC40
ENSG00000137955	RABGGTB
ENSG00000142867	BCL10
ENSG00000142871	CCN1
ENSG00000154511	DIPK1A
ENSG00000117505	DR1
ENSG00000122435	TRMT13
ENSG00000137996	RTCA
ENSG00000233184	DPH5-DT
ENSG00000162636	FAM102B
ENSG00000134186	PRPF38B
ENSG00000197780	TAF13
ENSG00000215717	TMEM167B
