accession	lab	auxiliary_type	measurement_sets	status	creation_timestamp
IGVFDS4476UNSW	Gary Hon, UT		IGVFDS7696ONVJ	released	
IGVFDS1278DTYO	Gary Hon, UT		IGVFDS2933CBPV	released	
IGVFDS6995IJAL	Gary Hon, UT		IGVFDS6990PWDJ	released	
IGVFDS7759NVYW	Gary Hon, UT		IGVFDS9367JFNB	released	
IGVFDS9718OGWQ	Gary Hon, UT		IGVFDS3975OFAO	released	
IGVFDS2600XYHD	Gary Hon, UT		IGVFDS4028IRAH	released	
IGVFDS5654OECZ	Gary Hon, UT		IGVFDS1867JBBD	released	
IGVFDS4479WGWW	Gary Hon, UT		IGVFDS7181KBXZ	released	
IGVFDS8838RHBV	Gary Hon, UT		IGVFDS0119GHBM	released	
IGVFDS1937JPZI	Gary Hon, UT		IGVFDS2692VBHQ	released	
IGVFDS7027VRZT	Gary Hon, UT		IGVFDS7733OTCA	released	
IGVFDS7246AEMI	Gary Hon, UT		IGVFDS6472JBHY	released	
IGVFDS2612LSTD	Gary Hon, UT		IGVFDS2143BSOH	released	
IGVFDS6526BHTC	Gary Hon, UT		IGVFDS8548HJBX	released	
IGVFDS8787VKWW	Gary Hon, UT		IGVFDS6472JBHY	released	
IGVFDS8139DLEM	Gary Hon, UT		IGVFDS2628PYOH	released	
IGVFDS6435UNUZ	Gary Hon, UT		IGVFDS4080NNVH	released	
IGVFDS0361LHKV	Gary Hon, UT		IGVFDS7696ONVJ	released	
IGVFDS4379QIZJ	Gary Hon, UT		IGVFDS8548HJBX	released	
IGVFDS3636IYVW	Gary Hon, UT		IGVFDS0814DYDR	released	
IGVFDS3567LQMB	Gary Hon, UT		IGVFDS8810ABUD	released	
IGVFDS7986GKWR	Gary Hon, UT		IGVFDS8810ABUD	released	
IGVFDS3485JPGG	Gary Hon, UT		IGVFDS9568EYXJ	released	
IGVFDS2373RGIJ	Gary Hon, UT		IGVFDS2692VBHQ	released	
IGVFDS5228AHGR	Gary Hon, UT		IGVFDS4852MAUM	released	
IGVFDS6231TYIS	Gary Hon, UT		IGVFDS7834BXBN	released	
IGVFDS6503WNZT	Gary Hon, UT		IGVFDS3975OFAO	released	
IGVFDS1128FXRR	Gary Hon, UT		IGVFDS5429CXNB	released	
IGVFDS2549GCKW	Gary Hon, UT		IGVFDS2143BSOH	released	
IGVFDS6015JDKU	Gary Hon, UT		IGVFDS3495FUIW	released	
IGVFDS1931QVXR	Gary Hon, UT		IGVFDS3495FUIW	released	
IGVFDS6861GRJI	Gary Hon, UT		IGVFDS4852MAUM	released	
IGVFDS8280AMDA	Gary Hon, UT		IGVFDS7834BXBN	released	
IGVFDS3465KEWH	Gary Hon, UT		IGVFDS5429CXNB	released	
IGVFDS0997MTQA	Gary Hon, UT		IGVFDS7733OTCA	released	
IGVFDS0109SCQO	Gary Hon, UT		IGVFDS2628PYOH	released	
IGVFDS2693DPLW	Gary Hon, UT		IGVFDS0657YBVN	released	
IGVFDS5339UNRP	Gary Hon, UT		IGVFDS0657YBVN	released	
IGVFDS4262EBDF	Gary Hon, UT		IGVFDS4028IRAH	released	
IGVFDS8551VFYN	Gary Hon, UT		IGVFDS5398VEFY	released	
IGVFDS4764SHVM	Gary Hon, UT		IGVFDS8493OWMF	released	
IGVFDS0148BHTV	Gary Hon, UT		IGVFDS9699UXJW	released	
IGVFDS3054TWZC	Gary Hon, UT		IGVFDS5304ZOXD	released	
IGVFDS0391TWQH	Gary Hon, UT		IGVFDS0814DYDR	released	
IGVFDS7278IUJW	Gary Hon, UT		IGVFDS1042ITOF	released	
IGVFDS0781TWMH	Gary Hon, UT		IGVFDS2933CBPV	released	
IGVFDS7767NWNB	Gary Hon, UT		IGVFDS0860HOHE	released	
IGVFDS9585CRXD	Gary Hon, UT		IGVFDS2653YSTF	released	
IGVFDS3280TSQW	Gary Hon, UT		IGVFDS1584ZJUM	released	
