accession	lab	samples_summaries	preferred_assay_titles	control_type	auxiliary_sets	construct_library_sets	files	status	creation_timestamp
IGVFDS1042ITOF	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW323) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS3495FUIW	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) cell line (cellular sub pool: subpool_LW289) modified with CRISPRi Sp-dCas9, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci	Perturb-seq					released	
IGVFDS7696ONVJ	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW327) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS5151YCLI	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW319) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS9699UXJW	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW324) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS6847GSEQ	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW331) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS2143BSOH	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to neural stem cell for 20 days, (cellular sub pool: subpool_LW281) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci	Perturb-seq					released	
IGVFDS7834BXBN	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW277) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci	Perturb-seq					released	
IGVFDS2692VBHQ	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) cell line (cellular sub pool: subpool_LW287) modified with CRISPRi Sp-dCas9, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci	Perturb-seq					released	
IGVFDS5429CXNB	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) cell line (cellular sub pool: subpool_LW286) modified with CRISPRi Sp-dCas9, transduced (lentivirus) with a guide (sgRNA) library targeting accessible genome regions in many genomic loci	Perturb-seq					released	
