intended_target_name	tf_gene_symbol	tf_family	n_sig_trans_targets	median_abs_log2fc	median_log2fc_signed	min_fdr	top_targets
ENSG00000016082	ISL1		2769	0.49776617	0.23014796	2.4384862668880463e-133	ENSG00000169760;ENSG00000163377;ENSG00000120049;ENSG00000157168;ENSG00000224897
ENSG00000176887	SOX11		2552	0.271685525	0.13871991	5.476273273323071e-234	ENSG00000118137;ENSG00000176887;ENSG00000146674;ENSG00000122176;ENSG00000135919
ENSG00000173011	TADA2B		1990	0.268728805	0.13824529000000002	1.8118842547597664e-121	ENSG00000157168;ENSG00000107796;ENSG00000075043;ENSG00000144331;ENSG00000254987
ENSG00000124766	SOX4	SOX-related factors	1873	0.23792914	0.09567614	1.9739488036592912e-94	ENSG00000081181;ENSG00000185559;ENSG00000146674;ENSG00000124766;ENSG00000185567
ENSG00000164532	TBX20	TBX1-related factors	1859	0.5790003	0.25605246	2.788837850922411e-162	ENSG00000081181;ENSG00000135363;ENSG00000085276;ENSG00000140945;ENSG00000152128
ENSG00000142409	ZNF787		1754	0.252359065	0.14574865999999997	2.8376041580308413e-140	ENSG00000142409;ENSG00000189171;ENSG00000144331;ENSG00000146674;ENSG00000175206
ENSG00000081189	MEF2C	Regulators of differentiation	1743	0.31839868	0.15799752	2.1222623077044093e-139	ENSG00000081189;ENSG00000204248;ENSG00000224897;ENSG00000182836;ENSG00000156885
ENSG00000167771	RCOR2		1712	0.442681335	0.24736049	2.1723646693710933e-195	ENSG00000146674;ENSG00000185559;ENSG00000081181;ENSG00000168542;ENSG00000221869
ENSG00000113196	HAND1		1638	0.23978445999999998	0.10127704500000001	0.0	ENSG00000113196;ENSG00000131981;ENSG00000125845;ENSG00000172572;ENSG00000092054
ENSG00000198824	CHAMP1		1585	0.31818724	0.15836218	3.8039429266880693e-119	ENSG00000189409;ENSG00000185187;ENSG00000286863;ENSG00000198824;ENSG00000129991
ENSG00000189079	ARID2		1252	0.36940067	0.234346905	6.566558589783338e-62	ENSG00000111907;ENSG00000075043;ENSG00000168899;ENSG00000162444;ENSG00000197956
ENSG00000197714	ZNF460	More than 3 adjacent zinc fingers	1233	0.27534473	0.13630794	1.0280984427579622e-148	ENSG00000197714;ENSG00000147872;ENSG00000154277;ENSG00000188517;ENSG00000163923
ENSG00000183072	NKX2-5	NK	1210	0.45727125999999996	0.18867952999999998	8.207232020847183e-115	ENSG00000156395;ENSG00000183072;ENSG00000175206;ENSG00000112769;ENSG00000198796
ENSG00000141052	MYOCD		1137	0.33197567	0.216356	5.308216477041901e-282	ENSG00000100628;ENSG00000160808;ENSG00000092054;ENSG00000006740;ENSG00000141052
