intended_target_name	tf_gene_symbol	tf_family	n_sig_trans_targets	median_abs_log2fc	median_log2fc_signed	min_fdr	top_targets
ENSG00000164736	SOX17		4361	0.41364545	-0.21839143	0.0	ENSG00000168702;ENSG00000179915;ENSG00000137766;ENSG00000149571;ENSG00000153976
ENSG00000160973	FOXH1	FOX	3862	0.482057975	-0.199305995	0.0	ENSG00000169744;ENSG00000114541;ENSG00000102755;ENSG00000204262;ENSG00000198626
ENSG00000143379	SETDB1		2405	0.2870464	-0.15382771	0.0	ENSG00000154645;ENSG00000251326;ENSG00000286746;ENSG00000249174;ENSG00000251026
ENSG00000173473	SMARCC1		1677	0.21946405	0.058329523	3.405601822607092e-140	ENSG00000234710;ENSG00000155886;ENSG00000237819;ENSG00000189056;ENSG00000154265
ENSG00000117713	ARID1A		1305	0.17701684	0.06600419	1.21931414543231e-71	ENSG00000197635;ENSG00000250349;ENSG00000204262;ENSG00000137766;ENSG00000254101
ENSG00000176887	SOX11		1084	0.232908255	-0.13670174000000002	1.3905670622859466e-43	ENSG00000100095;ENSG00000100292;ENSG00000180537;ENSG00000187699;ENSG00000184156
ENSG00000157259	GATAD1		967	0.25142676	-0.10452568	1.549215293893853e-32	ENSG00000157259;ENSG00000232079;ENSG00000225249;ENSG00000250337;ENSG00000236532
ENSG00000109851	DBX1		951	0.4219996	0.20843326	2.3262887089160544e-215	ENSG00000114541;ENSG00000168702;ENSG00000169744;ENSG00000204262;ENSG00000114698
ENSG00000124766	SOX4	SOX-related factors	783	0.19591124	-0.092204034	2.4429145571381176e-41	ENSG00000125675;ENSG00000233056;ENSG00000197635;ENSG00000231535;ENSG00000234323
ENSG00000166949	SMAD3	SMAD factors	765	0.21331269	-0.09221002	3.4777116048758465e-51	ENSG00000166949;ENSG00000248322;ENSG00000153363;ENSG00000166426;ENSG00000225249
ENSG00000169714	CNBP		764	0.1903935	-0.07929545199999999	0.0	ENSG00000169714;ENSG00000289469;ENSG00000002746;ENSG00000120937;ENSG00000107262
