intended_target_name	tf_gene_symbol	tf_family	n_sig_trans_targets	median_abs_log2fc	median_log2fc_signed	min_fdr	top_targets
ENSG00000023734	STRAP		938	0.25422728	-0.099820305	1.2876745166845698e-224	ENSG00000023734;ENSG00000185668;ENSG00000147481;ENSG00000289195;ENSG00000205364
ENSG00000143379	SETDB1		712	0.342865475	-0.09563529800000001	1.370692858735342e-195	ENSG00000196104;ENSG00000249464;ENSG00000251026;ENSG00000003096;ENSG00000271860
ENSG00000167771	RCOR2		508	0.41579216	-0.13805036999999998	8.776460839606965e-70	ENSG00000290551;ENSG00000215866;ENSG00000271860;ENSG00000205364;ENSG00000134595
ENSG00000101115	SALL4		461	0.43305266	0.17538832	1.6042558481942328e-60	ENSG00000104327;ENSG00000056291;ENSG00000141431;ENSG00000026025;ENSG00000138639
ENSG00000129084	PSMA1		384	0.30450312999999996	0.20026834	6.525411083487273e-51	ENSG00000198947;ENSG00000154645;ENSG00000154556;ENSG00000069399;ENSG00000124762
ENSG00000083307	GRHL2	Grainyhead-related factors	365	0.33559656	0.15924071	2.3249402244520552e-203	ENSG00000026025;ENSG00000083307;ENSG00000104435;ENSG00000148357;ENSG00000182985
ENSG00000204531	POU5F1	POU domain factors	270	0.741664085	0.518183115	2.0623939170440979e-97	ENSG00000108821;ENSG00000026025;ENSG00000115414;ENSG00000245532;ENSG00000138083
ENSG00000014164	ZC3H3		260	0.58581583	0.53758078	0.0	ENSG00000287431;ENSG00000260260;ENSG00000228649;ENSG00000242622;ENSG00000257815
ENSG00000108773	KAT2A		198	0.38230211999999997	0.15910616	1.0625997942871448e-33	ENSG00000133636;ENSG00000104332;ENSG00000122507;ENSG00000129682;ENSG00000265972
ENSG00000130816	DNMT1		186	0.44093634	0.275155235	1.319755354775917e-90	ENSG00000236253;ENSG00000233056;ENSG00000267374;ENSG00000281131;ENSG00000290551
ENSG00000157259	GATAD1		179	0.23820147	0.10857673	6.241146996947083e-31	ENSG00000157259;ENSG00000290551;ENSG00000251129;ENSG00000197462;ENSG00000260362
ENSG00000117595	IRF6	Interferon-regulatory factors	158	0.27932738	-0.10789336	3.4297919068508725e-82	ENSG00000170542;ENSG00000224825;ENSG00000183742;ENSG00000198963;ENSG00000233834
ENSG00000156983	BRPF1		150	0.28068053000000004	-0.098402918	9.231723223491271e-33	ENSG00000085276;ENSG00000237136;ENSG00000104332;ENSG00000196104;ENSG00000116833
ENSG00000008018	PSMB1		140	0.31382246	0.2851914	1.1735951559167145e-134	ENSG00000008018;ENSG00000154556;ENSG00000206052;ENSG00000271860;ENSG00000230937
ENSG00000176887	SOX11		120	0.32521871	0.14148232500000002	1.1765835371204998e-18	ENSG00000290551;ENSG00000101265;ENSG00000174871;ENSG00000226673;ENSG00000205364
ENSG00000117505	DR1		99	0.20905785	0.12163387	3.00100933395933e-72	ENSG00000223745;ENSG00000117505;ENSG00000289195;ENSG00000197462;ENSG00000259664
ENSG00000121481	RNF2		98	0.28625153000000003	0.21437684	3.0902991560266196e-32	ENSG00000121481;ENSG00000112541;ENSG00000104332;ENSG00000182985;ENSG00000163873
ENSG00000162601	MYSM1		96	0.28189215	-0.18985870999999999	3.4873098635551745e-52	ENSG00000122507;ENSG00000162601;ENSG00000124762;ENSG00000224592;ENSG00000120889
ENSG00000160973	FOXH1	FOX	93	0.4480777	0.2664026	6.348137571738133e-108	ENSG00000250103;ENSG00000156049;ENSG00000105974;ENSG00000289195;ENSG00000183098
ENSG00000100393	EP300		92	0.3523328	-0.23583585	4.391071532906252e-15	ENSG00000229140;ENSG00000169933;ENSG00000138646;ENSG00000184672;ENSG00000100393
ENSG00000163159	VPS72		90	0.306798475	0.14217578	2.144006382262658e-14	ENSG00000163159;ENSG00000290551;ENSG00000169306;ENSG00000165379;ENSG00000185565
ENSG00000135365	PHF21A		79	0.2293836	-0.057288162	6.949851810963284e-27	ENSG00000135365;ENSG00000088992;ENSG00000138639;ENSG00000138083;ENSG00000026025
ENSG00000054267	ARID4B		70	0.19105293499999998	0.0291326	4.853890815399422e-16	ENSG00000170873;ENSG00000231672;ENSG00000281566;ENSG00000054267;ENSG00000106605
ENSG00000071655	MBD3		64	0.307730165	0.2387849	1.4727481946646502e-23	ENSG00000256661;ENSG00000154645;ENSG00000198947;ENSG00000248215;ENSG00000198010
ENSG00000124216	SNAI1	More than 3 adjacent zinc fingers	61	0.4280497	0.3801982	1.3774662010817856e-08	ENSG00000172348;ENSG00000277586;ENSG00000102981;ENSG00000170542;ENSG00000116117
ENSG00000156374	PCGF6		60	0.49164063	0.43691071000000004	1.373284050146988e-22	ENSG00000156374;ENSG00000133863;ENSG00000131477;ENSG00000112414;ENSG00000144229
ENSG00000205981			59	0.13121796	0.10351627	4.517856234088151e-74	ENSG00000205981;ENSG00000205981;ENSG00000251629;ENSG00000151012;ENSG00000145681
ENSG00000177697			55	0.08453432	-0.05685898	0.0005746642754331	ENSG00000224557;ENSG00000165055;ENSG00000053900;ENSG00000210195;ENSG00000140718
ENSG00000101544	ADNP2		54	0.532915595	0.51527043	4.027145789068633e-16	ENSG00000226674;ENSG00000228697;ENSG00000287352;ENSG00000267374;ENSG00000241316
ENSG00000117713	ARID1A		52	0.20435588999999998	0.135781535	1.9830433541732441e-13	ENSG00000289195;ENSG00000154556;ENSG00000184672;ENSG00000255367;ENSG00000106018
ENSG00000136451	VEZF1	More than 3 adjacent zinc fingers	50	0.203136305	-0.052158248500000004	4.938195802353549e-16	ENSG00000136451;ENSG00000182866;ENSG00000205364;ENSG00000175376;ENSG00000164692
ENSG00000130182	ZSCAN10		48	0.45894868	0.26754317	1.1358957170765365e-21	ENSG00000130182;ENSG00000101439;ENSG00000140836;ENSG00000104435;ENSG00000078114
ENSG00000198791	CNOT7		48	0.44091143	0.33886984	4.8478313988350584e-60	ENSG00000130066;ENSG00000145681;ENSG00000183287;ENSG00000078114;ENSG00000223715
ENSG00000106462	EZH2		48	0.362788915	0.320324045	2.6355347483808304e-12	ENSG00000134595;ENSG00000129682;ENSG00000184349;ENSG00000133636;ENSG00000182050
ENSG00000113716	HMGXB3		44	0.4209927	-0.401957985	3.241472558268654e-28	ENSG00000113716;ENSG00000164182;ENSG00000180376;ENSG00000108306;ENSG00000249898
ENSG00000147596	PRDM14		43	0.38156763	0.31661442	1.061189357283216e-58	ENSG00000104332;ENSG00000145147;ENSG00000139318;ENSG00000148200;ENSG00000110841
ENSG00000074657	ZNF532		42	0.487386345	0.47706714	2.249273465621397e-52	ENSG00000290551;ENSG00000290551;ENSG00000289195;ENSG00000185565;ENSG00000260362
