gene_symbol	ncbi_gene_id	n_disease_associations	mondo_ids	omim_ids	all_disease_ids
COL2A1	NCBIGene:1280	17		OMIM:108300;OMIM:132450;OMIM:150600;OMIM:151210;OMIM:156550;OMIM:183900;OMIM:184250;OMIM:184253;OMIM:184255;OMIM:200610	OMIM:108300;OMIM:132450;OMIM:150600;OMIM:151210;OMIM:156550;OMIM:183900;OMIM:184250;OMIM:184253;OMIM:184255;OMIM:200610;OMIM:271700;OMIM:604864;OMIM:608805;OMIM:609162;OMIM:609508;OMIM:616583;OMIM:619248
PIK3CA	NCBIGene:5290	15		OMIM:114480;OMIM:114500;OMIM:114550;OMIM:155500;OMIM:162900;OMIM:167000;OMIM:182000;OMIM:211980;OMIM:602501;OMIM:606773	OMIM:114480;OMIM:114500;OMIM:114550;OMIM:155500;OMIM:162900;OMIM:167000;OMIM:182000;OMIM:211980;OMIM:602501;OMIM:606773;OMIM:612918;OMIM:613089;OMIM:613659;OMIM:615108;OMIM:619538
FGFR3	NCBIGene:2261	14		OMIM:100800;OMIM:109800;OMIM:114500;OMIM:146000;OMIM:162900;OMIM:187600;OMIM:187601;OMIM:273300;OMIM:602849;OMIM:603956	OMIM:100800;OMIM:109800;OMIM:114500;OMIM:146000;OMIM:162900;OMIM:187600;OMIM:187601;OMIM:273300;OMIM:602849;OMIM:603956;OMIM:610474;OMIM:612247;OMIM:616482;OMIM:620192
TP53	NCBIGene:7157	12		OMIM:114480;OMIM:114500;OMIM:114550;OMIM:137800;OMIM:151623;OMIM:202300;OMIM:259500;OMIM:260350;OMIM:260500;OMIM:607107	OMIM:114480;OMIM:114500;OMIM:114550;OMIM:137800;OMIM:151623;OMIM:202300;OMIM:259500;OMIM:260350;OMIM:260500;OMIM:607107;OMIM:614740;OMIM:618165
KRAS	NCBIGene:3845	12		OMIM:108010;OMIM:109800;OMIM:114480;OMIM:163200;OMIM:211980;OMIM:260350;OMIM:600268;OMIM:601626;OMIM:609942;OMIM:613659	OMIM:108010;OMIM:109800;OMIM:114480;OMIM:163200;OMIM:211980;OMIM:260350;OMIM:600268;OMIM:601626;OMIM:609942;OMIM:613659;OMIM:614470;OMIM:615278
TRPV4	NCBIGene:59341	11		OMIM:113500;OMIM:156530;OMIM:168400;OMIM:181405;OMIM:184095;OMIM:184252;OMIM:600175;OMIM:606071;OMIM:606835;OMIM:613508	OMIM:113500;OMIM:156530;OMIM:168400;OMIM:181405;OMIM:184095;OMIM:184252;OMIM:600175;OMIM:606071;OMIM:606835;OMIM:613508;OMIM:617383
SLC4A1	NCBIGene:6521	11		OMIM:110500;OMIM:112010;OMIM:112050;OMIM:166900;OMIM:179800;OMIM:185020;OMIM:601550;OMIM:601551;OMIM:611162;OMIM:611590	OMIM:110500;OMIM:112010;OMIM:112050;OMIM:166900;OMIM:179800;OMIM:185020;OMIM:601550;OMIM:601551;OMIM:611162;OMIM:611590;OMIM:612653
LMNA	NCBIGene:4000	11		OMIM:115200;OMIM:151660;OMIM:176670;OMIM:181350;OMIM:212112;OMIM:248370;OMIM:605588;OMIM:610140;OMIM:613205;OMIM:616516	OMIM:115200;OMIM:151660;OMIM:176670;OMIM:181350;OMIM:212112;OMIM:248370;OMIM:605588;OMIM:610140;OMIM:613205;OMIM:616516;OMIM:619793
FGFR2	NCBIGene:2263	11		OMIM:101200;OMIM:101400;OMIM:101600;OMIM:123150;OMIM:123500;OMIM:123790;OMIM:149730;OMIM:207410;OMIM:609579;OMIM:613659	OMIM:101200;OMIM:101400;OMIM:101600;OMIM:123150;OMIM:123500;OMIM:123790;OMIM:149730;OMIM:207410;OMIM:609579;OMIM:613659;OMIM:614592
FLNA	NCBIGene:2316	9		OMIM:300048;OMIM:300049;OMIM:300244;OMIM:300321;OMIM:304120;OMIM:305620;OMIM:309350;OMIM:311300;OMIM:314400	OMIM:300048;OMIM:300049;OMIM:300244;OMIM:300321;OMIM:304120;OMIM:305620;OMIM:309350;OMIM:311300;OMIM:314400
GDF5	NCBIGene:8200	9		OMIM:112600;OMIM:113100;OMIM:200700;OMIM:201250;OMIM:228900;OMIM:610017;OMIM:612400;OMIM:615072;OMIM:615298	OMIM:112600;OMIM:113100;OMIM:200700;OMIM:201250;OMIM:228900;OMIM:610017;OMIM:612400;OMIM:615072;OMIM:615298
-	NCBIGene:105259599	9		OMIM:130650;OMIM:174500;OMIM:176270;OMIM:180860;OMIM:188740;OMIM:194071;OMIM:194190;OMIM:609893;OMIM:613985	OMIM:130650;OMIM:174500;OMIM:176270;OMIM:180860;OMIM:188740;OMIM:194071;OMIM:194190;OMIM:609893;OMIM:613985
NRAS	NCBIGene:4893	8		OMIM:114500;OMIM:137550;OMIM:162900;OMIM:163200;OMIM:188470;OMIM:249400;OMIM:613224;OMIM:614470	OMIM:114500;OMIM:137550;OMIM:162900;OMIM:163200;OMIM:188470;OMIM:249400;OMIM:613224;OMIM:614470
SCN4A	NCBIGene:6329	8		OMIM:168300;OMIM:170400;OMIM:170500;OMIM:608390;OMIM:613345;OMIM:614198;OMIM:620351;OMIM:620369	OMIM:168300;OMIM:170400;OMIM:170500;OMIM:608390;OMIM:613345;OMIM:614198;OMIM:620351;OMIM:620369
WT1	NCBIGene:7490	8		OMIM:106210;OMIM:136680;OMIM:156240;OMIM:194070;OMIM:194072;OMIM:194080;OMIM:256370;OMIM:608978	OMIM:106210;OMIM:136680;OMIM:156240;OMIM:194070;OMIM:194072;OMIM:194080;OMIM:256370;OMIM:608978
FBN1	NCBIGene:2200	8		OMIM:102370;OMIM:129600;OMIM:154700;OMIM:184900;OMIM:604308;OMIM:608328;OMIM:614185;OMIM:616914	OMIM:102370;OMIM:129600;OMIM:154700;OMIM:184900;OMIM:604308;OMIM:608328;OMIM:614185;OMIM:616914
GNAS	NCBIGene:2778	8		OMIM:103580;OMIM:166350;OMIM:174800;OMIM:219080;OMIM:603233;OMIM:612462;OMIM:612463;OMIM:617686	OMIM:103580;OMIM:166350;OMIM:174800;OMIM:219080;OMIM:603233;OMIM:612462;OMIM:612463;OMIM:617686
COL1A1	NCBIGene:1277	8		OMIM:114000;OMIM:130060;OMIM:166200;OMIM:166210;OMIM:166220;OMIM:166710;OMIM:259420;OMIM:619115	OMIM:114000;OMIM:130060;OMIM:166200;OMIM:166210;OMIM:166220;OMIM:166710;OMIM:259420;OMIM:619115
GJB2	NCBIGene:2706	8		OMIM:124500;OMIM:148210;OMIM:148350;OMIM:149200;OMIM:220290;OMIM:304400;OMIM:601544;OMIM:602540	OMIM:124500;OMIM:148210;OMIM:148350;OMIM:149200;OMIM:220290;OMIM:304400;OMIM:601544;OMIM:602540
SCN5A	NCBIGene:6331	8		OMIM:113900;OMIM:272120;OMIM:601144;OMIM:601154;OMIM:603829;OMIM:603830;OMIM:608567;OMIM:614022	OMIM:113900;OMIM:272120;OMIM:601144;OMIM:601154;OMIM:603829;OMIM:603830;OMIM:608567;OMIM:614022
BRCA2	NCBIGene:675	8		OMIM:114480;OMIM:155255;OMIM:176807;OMIM:194070;OMIM:605724;OMIM:612555;OMIM:613029;OMIM:613347	OMIM:114480;OMIM:155255;OMIM:176807;OMIM:194070;OMIM:605724;OMIM:612555;OMIM:613029;OMIM:613347
FGFR1	NCBIGene:2260	8		OMIM:101600;OMIM:123150;OMIM:146110;OMIM:147950;OMIM:166250;OMIM:190440;OMIM:613001;OMIM:615465	OMIM:101600;OMIM:123150;OMIM:146110;OMIM:147950;OMIM:166250;OMIM:190440;OMIM:613001;OMIM:615465
