short_name	gene_name	n_cells_assigned	n_guides	label_canonical
Hon CM	AARS	11	3	positive_control
Hon CM	AATF	23	6	tf_targeting
Hon CM	ADNP	373	6	tf_targeting
Hon CM	ADNP2	1011	6	tf_targeting
Hon CM	AEBP1	792	6	tf_targeting
Hon CM	AEBP2	386	6	tf_targeting
Hon CM	AFF1	1996	6	tf_targeting
Hon CM	AFF2	1675	6	tf_targeting
Hon CM	AFF3	1155	6	tf_targeting
Hon CM	AFF4	3161	6	tf_targeting
Hon CM	AHCTF1	179	6	tf_targeting
Hon CM	AHCY	1708	6	tf_targeting
Hon CM	AHDC1	698	6	tf_targeting
Hon CM	AHR	2377	6	tf_targeting
Hon CM	AHRR	1472	6	tf_targeting
Hon CM	AIRE	3114	6	tf_targeting
Hon CM	AKAP8	1266	6	tf_targeting
Hon CM	AKAP8L	1092	6	tf_targeting
Hon CM	AKNA	2358	12	tf_targeting
Hon CM	ALX1	812	6	tf_targeting
Hon CM	ALX3	1679	6	tf_targeting
Hon CM	ALX4	926	6	tf_targeting
Hon CM	ALYREF	502	6	tf_targeting
Hon CM	ANHX	1175	6	tf_targeting
Hon CM	ANKRD1	1033	6	tf_targeting
Hon CM	ANKRD30A	1220	6	tf_targeting
Hon CM	ANKZF1	1047	6	tf_targeting
Hon CM	APITD1	2178	6	tf_targeting
Hon CM	AR	993	6	tf_targeting
Hon CM	ARGFX	1010	6	tf_targeting
Hon CM	ARHGAP35	1209	6	tf_targeting
Hon CM	ARID1A	239	6	tf_targeting
Hon CM	ARID1B	3071	12	tf_targeting
Hon CM	ARID2	1265	6	tf_targeting
Hon CM	ARID3A	1641	6	tf_targeting
Hon CM	ARID3B	973	6	tf_targeting
Hon CM	ARID3C	652	6	tf_targeting
Hon CM	ARID4A	1547	6	tf_targeting
Hon CM	ARID4B	790	6	tf_targeting
Hon CM	ARID5A	1161	6	tf_targeting
Hon CM	ARID5B	611	6	tf_targeting
Hon CM	ARNT	1221	6	tf_targeting
Hon CM	ARNT2	2219	6	tf_targeting
Hon CM	ARNTL	1233	6	tf_targeting
Hon CM	ARNTL2	5523	6	tf_targeting
Hon CM	ARX	2785	12	tf_targeting
Hon CM	ASCL1	1092	6	tf_targeting
Hon CM	ASCL2	2133	6	tf_targeting
Hon CM	ASCL3	840	6	tf_targeting
Hon CM	ASCL4	926	6	tf_targeting
Hon CM	ASCL5	1632	6	tf_targeting
Hon CM	ASH1L	1217	6	tf_targeting
Hon CM	ATF1	1250	6	tf_targeting
Hon CM	ATF2	811	6	tf_targeting
Hon CM	ATF3	1704	6	tf_targeting
Hon CM	ATF4	1261	6	tf_targeting
Hon CM	ATF5	5	6	tf_targeting
Hon CM	ATF6	720	6	tf_targeting
Hon CM	ATF6B	483	6	tf_targeting
Hon CM	ATF7	738	6	tf_targeting
Hon CM	ATMIN	1541	6	tf_targeting
Hon CM	ATN1	1939	6	tf_targeting
Hon CM	ATOH1	928	6	tf_targeting
Hon CM	ATOH7	1380	6	tf_targeting
Hon CM	ATOH8	1088	6	tf_targeting
Hon CM	ATXN7	2284	12	tf_targeting
Hon CM	B2M	1071	1	positive_control
Hon CM	BACH1	2070	6	tf_targeting
Hon CM	BACH2	2286	6	tf_targeting
Hon CM	BARHL1	1171	6	tf_targeting
Hon CM	BARHL2	1180	6	tf_targeting
Hon CM	BARX1	3433	6	tf_targeting
Hon CM	BARX2	1339	6	tf_targeting
Hon CM	BATF	314	6	tf_targeting
Hon CM	BATF2	706	6	tf_targeting
Hon CM	BATF3	1318	6	tf_targeting
Hon CM	BAZ1B	934	6	tf_targeting
Hon CM	BAZ2A	4026	12	tf_targeting
Hon CM	BAZ2B	933	6	tf_targeting
Hon CM	BBX	810	6	tf_targeting
Hon CM	BCL11A	854	6	tf_targeting
Hon CM	BCL11B	563	6	tf_targeting
Hon CM	BCL3	1532	6	tf_targeting
Hon CM	BCL6	1041	6	tf_targeting
Hon CM	BCL6B	709	6	tf_targeting
Hon CM	BCLAF1	935	6	tf_targeting
Hon CM	BDP1	18	6	tf_targeting
Hon CM	BHLHA15	1204	6	tf_targeting
Hon CM	BHLHA9	1586	6	tf_targeting
Hon CM	BHLHB9	947	6	tf_targeting
Hon CM	BHLHE22	1372	6	tf_targeting
Hon CM	BHLHE23	1989	6	tf_targeting
Hon CM	BHLHE40	3125	6	tf_targeting
Hon CM	BHLHE41	464	6	tf_targeting
Hon CM	BID	2528	6	tf_targeting
Hon CM	BLZF1	1683	6	tf_targeting
Hon CM	BMP2	2703	12	tf_targeting
Hon CM	BNC1	2253	6	tf_targeting
Hon CM	BNC2	1010	6	tf_targeting
Hon CM	BOLA1	2172	12	tf_targeting
Hon CM	BOLA3	1206	6	tf_targeting
Hon CM	BPTF	939	6	tf_targeting
Hon CM	BRF2	255	6	tf_targeting
Hon CM	BRIP1	4	6	tf_targeting
Hon CM	BRPF1	412	6	tf_targeting
Hon CM	BSX	652	6	tf_targeting
Hon CM	C11orf95	3066	6	tf_targeting
Hon CM	C1orf85	2394	12	tf_targeting
Hon CM	CAMTA1	2544	6	tf_targeting
Hon CM	CAMTA2	613	6	tf_targeting
Hon CM	CAPN15	826	6	tf_targeting
Hon CM	CARF	103	6	tf_targeting
Hon CM	CARHSP1	1409	6	tf_targeting
Hon CM	CASZ1	1345	6	tf_targeting
Hon CM	CBFA2T2	641	6	tf_targeting
Hon CM	CBFA2T3	4037	12	tf_targeting
Hon CM	CBFB	1137	6	tf_targeting
Hon CM	CBL	787	6	tf_targeting
Hon CM	CBX2	953	6	tf_targeting
Hon CM	CC2D1A	2360	6	tf_targeting
Hon CM	CCDC169-SOHLH2	1766	6	tf_targeting
Hon CM	CCDC17	657	6	tf_targeting
Hon CM	CCDC79	1283	6	tf_targeting
Hon CM	CCNT2	666	6	tf_targeting
Hon CM	CD151	5652	2	positive_control
Hon CM	CD29	460	1	positive_control
Hon CM	CD55	1190	1	positive_control
Hon CM	CD81	7095	2	positive_control
Hon CM	CDC5L	16	6	tf_targeting
Hon CM	CDCA7L	2173	6	tf_targeting
Hon CM	CDIP1	1201	6	tf_targeting
Hon CM	CDK1	207	6	tf_targeting
Hon CM	CDK2	764	6	tf_targeting
Hon CM	CDK7	28	6	tf_targeting
Hon CM	CDK9	554	6	tf_targeting
Hon CM	CDX1	1589	6	tf_targeting
Hon CM	CDX2	538	6	tf_targeting
Hon CM	CDX4	642	6	tf_targeting
Hon CM	CEBPA	3144	6	tf_targeting
Hon CM	CEBPB	1357	6	tf_targeting
Hon CM	CEBPD	1346	6	tf_targeting
Hon CM	CEBPE	799	6	tf_targeting
Hon CM	CEBPG	1241	6	tf_targeting
Hon CM	CEBPZ	116	6	tf_targeting
Hon CM	CENPA	1167	12	tf_targeting
Hon CM	CENPB	1320	6	tf_targeting
Hon CM	CENPBD1	1132	6	tf_targeting
Hon CM	CENPT	14	6	tf_targeting
Hon CM	CGGBP1	2770	12	tf_targeting
Hon CM	CHAMP1	1759	6	tf_targeting
Hon CM	CHCHD3	275	6	tf_targeting
Hon CM	CHD7	2990	6	tf_targeting
Hon CM	CHMP2A	39	6	tf_targeting
Hon CM	CIC	1248	6	tf_targeting
Hon CM	CIR1	67	6	tf_targeting
Hon CM	CIZ1	1625	6	tf_targeting
Hon CM	CLOCK	1432	6	tf_targeting
Hon CM	CNBP	2011	6	tf_targeting
Hon CM	CNOT7	828	6	tf_targeting
Hon CM	CNOT8	1090	6	tf_targeting
Hon CM	COX20	911	6	tf_targeting
Hon CM	CPEB1	2412	12	tf_targeting
Hon CM	CPXCR1	1079	6	tf_targeting
Hon CM	CRAMP1L	2927	12	tf_targeting
Hon CM	CREB1	1122	6	tf_targeting
Hon CM	CREB3	1025	6	tf_targeting
Hon CM	CREB3L1	1223	6	tf_targeting
Hon CM	CREB3L2	1052	6	tf_targeting
Hon CM	CREB3L3	354	6	tf_targeting
Hon CM	CREB3L4	895	6	tf_targeting
Hon CM	CREB5	1362	12	tf_targeting
Hon CM	CREBBP	1805	6	tf_targeting
Hon CM	CREBL2	1561	6	tf_targeting
Hon CM	CREBRF	1430	12	tf_targeting
Hon CM	CREBZF	2082	6	tf_targeting
Hon CM	CREM	1577	6	tf_targeting
Hon CM	CRTC1	2035	6	tf_targeting
Hon CM	CRTC2	2284	6	tf_targeting
Hon CM	CRTC3	1509	6	tf_targeting
Hon CM	CRX	742	6	tf_targeting
Hon CM	CSNK2A1	328	6	tf_targeting
Hon CM	CSRNP1	2541	6	tf_targeting
Hon CM	CSRNP2	1028	6	tf_targeting
Hon CM	CSRNP3	2257	12	tf_targeting
Hon CM	CTBP1	2677	6	tf_targeting
Hon CM	CTBP2	1542	6	tf_targeting
Hon CM	CTCF	444	6	tf_targeting
Hon CM	CTCFL	1011	6	tf_targeting
Hon CM	CTNNB1	73	6	tf_targeting
Hon CM	CUX1	1246	6	tf_targeting
Hon CM	CUX2	3346	6	tf_targeting
Hon CM	CXXC1	63	6	tf_targeting
Hon CM	CXXC4	1093	6	tf_targeting
Hon CM	CXXC5	1317	6	tf_targeting
Hon CM	DACH1	475	6	tf_targeting
Hon CM	DACH2	832	6	tf_targeting
Hon CM	DAXX	1089	12	tf_targeting
Hon CM	DBP	922	6	tf_targeting
Hon CM	DBX1	2003	6	tf_targeting
