batch	n_cells	guide_umi_median	guide_umi_mean	guide_umi_std	guide_umi_min	guide_umi_max	guide_umi_q25	guide_umi_q75	guides_per_cell_mean	guides_per_cell_std	guides_per_cell_min	guides_per_cell_max	guides_per_cell_median	n_cells_with_guide	n_cells_exactly_1_guide	frac_cells_with_guide	n_guides_total	cells_per_guide_median	cells_per_guide_mean	cells_per_guide_std	cells_per_guide_min	cells_per_guide_max	dataset	short_name
all	1004091	303.0	528.3820988336714	646.4916785044965	1.0	12863.0	65.0	739.0	2.691406456187736	1.6984656798170945	0	75	2.0	975113	212264	0.9711400659900348	14151.0	147.0	190.97003745318352	228.6444919428892	0.0	9532.0	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS0119GHBM	35038	197.0	453.933044123523	690.2842633384688	1.0	12486.0	43.0	547.0	2.6389063302699927	1.6405213840670765	0	18	2.0	33498	7606	0.9560477196186996							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS0814DYDR	38859	341.0	544.4474124398466	626.5738049181494	1.0	6138.0	70.0	780.0	2.711135129571013	1.5916305030950784	0	27	2.0	37999	7903	0.9778687048045498							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS0860HOHE	41117	346.0	548.7430989615001	627.7548418274009	1.0	7851.0	83.0	780.0	2.693606051025124	1.641900533934185	0	32	2.0	40134	8634	0.9760926137607316							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS1042ITOF	39931	322.0	509.5883899727029	574.0894641228572	1.0	5852.0	73.0	729.0	2.615060980190829	1.5899454171179292	0	35	2.0	38817	8777	0.972101875735644							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS1584ZJUM	40020	377.0	593.7179660169915	670.3295625093177	1.0	9755.0	86.0	850.0	2.72976011994003	1.552534691896852	0	14	2.0	39251	8159	0.980784607696152							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS1867JBBD	39738	372.0	591.8071870753434	672.9884035513373	1.0	8228.0	82.0	850.0	2.711132920630128	1.5458620827483156	0	14	2.0	38918	8097	0.9793648397000352							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS2653YSTF	38914	130.0	319.3358431412859	521.8418037473696	1.0	5887.0	37.0	341.0	2.4358071645166266	1.789030687103409	0	75	2.0	36616	9743	0.940946702986072							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS2933CBPV	39043	362.0	549.8302896806085	604.8779827325984	1.0	5504.0	74.0	802.0	2.6895730348590017	1.6576490733409517	0	39	2.0	37887	8181	0.9703916194964526							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS3275TXAD	36625	413.0	627.6835494880546	684.639394451703	1.0	7235.0	87.0	920.0	2.880136518771331	2.286467249850445	0	49	3.0	35823	7160	0.9781023890784984							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS3599AKSM	40301	391.0	618.8114438847671	707.6592838288307	1.0	8351.0	91.0	881.0	2.825488201285328	1.6001369243492876	0	19	3.0	39654	7632	0.9839458077963326							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS4080NNVH	33743	329.0	554.5144178051744	681.9823414689756	1.0	9484.0	59.0	779.0	2.769996740064606	2.0084430339574104	0	55	2.0	32730	6992	0.9699789585988206							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
