batch	dataset	short_name	n_cells	umi_median	genes_median	mito_median	guide_umi_median	guides_per_cell_mean
IGVFDS0119GHBM	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	35038	2508.0	1470.0	4.269479	197.0	2.6389063302699927
IGVFDS0814DYDR	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	38859	3031.0	1705.0	3.063291	341.0	2.711135129571013
IGVFDS0860HOHE	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	41117	2591.0	1543.0	3.1393569	346.0	2.693606051025124
IGVFDS1042ITOF	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	39931	2349.0	1396.0	3.0314372	322.0	2.615060980190829
IGVFDS1584ZJUM	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	40020	2844.0	1655.0	3.0314066	377.0	2.72976011994003
IGVFDS1867JBBD	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	39738	2552.0	1492.0	3.0014641	372.0	2.711132920630128
IGVFDS2653YSTF	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	38914	1810.0	1185.0	4.062893	130.0	2.4358071645166266
IGVFDS2933CBPV	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	39043	2266.0	1314.0	4.9251246	362.0	2.6895730348590017
IGVFDS3275TXAD	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	36625	2027.0	1206.0	4.8739495	413.0	2.880136518771331
IGVFDS3599AKSM	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	40301	2662.0	1598.0	3.0277545	391.0	2.825488201285328
IGVFDS4080NNVH	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	33743	2282.0	1332.0	4.770559	329.0	2.769996740064606
IGVFDS5151YCLI	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	39927	2257.0	1365.0	4.60199	143.0	2.5281638991158863
IGVFDS5304ZOXD	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	34722	2425.0	1457.0	4.076219	256.0	2.7532400207361327
IGVFDS5398VEFY	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	41988	1580.0	994.0	4.60951	272.0	2.55361055539678
IGVFDS6472JBHY	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	39492	2657.0	1538.0	2.9848876	348.0	2.681150612782336
IGVFDS6688BORQ	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	36235	2187.0	1349.0	4.334171	202.0	2.702469987581068
IGVFDS6847GSEQ	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	38803	2657.0	1610.0	2.7598355	405.0	2.842177151251192
IGVFDS6980CXOR	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	36255	2304.0	1373.0	3.1939163	353.0	2.705392359674528
IGVFDS6990PWDJ	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	38914	2388.0	1499.0	2.7873218	389.0	2.8141799866372
IGVFDS7181KBXZ	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	40718	2163.0	1266.0	5.0	306.0	2.6541333071368927
IGVFDS7696ONVJ	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	37110	2900.5	1641.0	2.9636025	346.0	2.718889787119375
IGVFDS8493OWMF	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	37509	2368.0	1354.0	4.845115	394.0	2.700738489429204
IGVFDS8548HJBX	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	38802	2653.0	1564.0	3.1653514	416.0	2.7831039637132107
IGVFDS9367JFNB	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	42155	2006.0	1263.0	3.9544237	158.0	2.4840232475388446
IGVFDS9568EYXJ	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	39053	2783.0	1610.0	2.9632556	361.0	2.7302383939774155
IGVFDS9699UXJW	Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	39079	2674.0	1536.0	3.0054646	353.0	2.681261035338673
IGVFDS0788TUIL	Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE	30351	6241.0	3170.0	3.9581518	428.0	7.815788606635696
IGVFDS1313VGHL	Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE	27292	6519.0	3249.0	4.249593	636.5	8.030485123845816
IGVFDS1403KZYV	Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE	31953	6044.0	3092.0	3.8830898	391.0	7.121553531749758
IGVFDS1437XFJK	Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE	33773	5490.0	2903.0	4.248806	407.0	7.88857963461937
IGVFDS2129VHBD	Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE	43344	4535.0	2533.0	3.82023	188.0	5.911775562938353
IGVFDS2520ZEYH	Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE	27054	6918.0	3379.0	4.0816326	515.0	7.612663561765358
IGVFDS3434HGEI	Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE	44166	4592.0	2530.0	3.9215689	165.0	5.713920210116379
