dataset	short_name	modality	measurement_set	total_reads	paired_reads_mapped	alignment_pct	detected_barcodes	pct_reads_in_onlist
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	scRNA	IGVFDS0119GHBM	512000000.0	471000000.0	91.9	16500000.0	87.0
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	scRNA	IGVFDS0814DYDR	662000000.0	593000000.0	89.7	22800000.0	85.4
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	scRNA	IGVFDS0860HOHE	530000000.0	489000000.0	92.4	22700000.0	84.5
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	scRNA	IGVFDS1042ITOF	445000000.0	409000000.0	92.0	18900000.0	85.5
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	scRNA	IGVFDS1584ZJUM	553000000.0	506000000.0	91.4	22500000.0	84.5
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	scRNA	IGVFDS1867JBBD	505000000.0	457000000.0	90.6	19700000.0	85.6
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	scRNA	IGVFDS2653YSTF	540000000.0	498000000.0	92.1	17900000.0	87.5
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	scRNA	IGVFDS2933CBPV	604000000.0	555000000.0	91.9	19300000.0	85.8
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	scRNA	IGVFDS3275TXAD	475000000.0	435000000.0	91.6	15700000.0	86.1
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	scRNA	IGVFDS3599AKSM	523000000.0	481000000.0	92.0	22600000.0	84.2
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM	scRNA	IGVFDS4080NNVH	471000000.0	434000000.0	92.2	16500000.0	86.7
