target	n_cells	n_guides	is_ntc
ENSG00000141510	53017.0	6	False
ENSG00000176887	8564.0	6	False
ENSG00000106462	5218.0	6	False
ENSG00000196482	5139.0	30	False
ENSG00000139687	5037.0	6	False
ENSG00000163320	4901.0	12	False
ENSG00000074657	4779.0	12	False
ENSG00000124766	4727.0	12	False
ENSG00000120149	4469.0	6	False
ENSG00000110651	3996.0	2	False
ENSG00000177697	3920.0	2	False
ENSG00000159692	3808.0	6	False
ENSG00000167380	3561.0	12	False
ENSG00000099364	3463.0	6	False
ENSG00000178951	3453.0	12	False
ENSG00000101096	3418.0	12	False
ENSG00000277258	3413.0	12	False
ENSG00000067369	3317.0	12	False
ENSG00000175279	3272.0	6	False
ENSG00000160973	3215.0	6	False
ENSG00000173011	3205.0	6	False
ENSG00000196110	3185.0	12	False
ENSG00000076108	3109.0	12	False
ENSG00000128604	3087.0	12	False
ENSG00000170689	3038.0	6	False
ENSG00000064218	2982.0	6	False
ENSG00000128563	2972.0	12	False
ENSG00000164107	2969.0	12	False
ENSG00000177732	2966.0	6	False
ENSG00000245848	2881.0	6	False
ENSG00000121413	2818.0	12	False
ENSG00000129993	2817.0	12	False
ENSG00000125845	2789.0	12	False
ENSG00000049618	2782.0	12	False
ENSG00000131668	2766.0	6	False
ENSG00000188981	2747.0	6	False
ENSG00000171476	2744.0	12	False
ENSG00000175550	2742.0	6	False
ENSG00000161642	2730.0	12	False
ENSG00000169131	2713.0	6	False
ENSG00000069812	2702.0	12	False
ENSG00000162419	2698.0	6	False
ENSG00000119950	2686.0	12	False
ENSG00000106038	2680.0	6	False
ENSG00000131196	2671.0	12	False
ENSG00000118689	2638.0	12	False
ENSG00000146587	2637.0	12	False
ENSG00000177311	2607.0	12	False
ENSG00000089775	2601.0	6	False
ENSG00000102349	2594.0	6	False
ENSG00000175387	2568.0	6	False
ENSG00000123411	2548.0	12	False
ENSG00000144655	2519.0	6	False
ENSG00000184486	2497.0	6	False
ENSG00000108924	2495.0	12	False
ENSG00000188290	2470.0	6	False
ENSG00000161405	2466.0	6	False
ENSG00000121653	2456.0	12	False
ENSG00000184937	2423.0	6	False
ENSG00000198040	2417.0	6	False
ENSG00000130816	2408.0	6	False
ENSG00000136826	2394.0	12	False
ENSG00000198728	2391.0	12	False
ENSG00000107187	2388.0	12	False
ENSG00000004848	2388.0	12	False
ENSG00000059122	2387.0	6	False
ENSG00000007237	2386.0	6	False
ENSG00000157554	2384.0	12	False
ENSG00000114861	2381.0	18	False
ENSG00000134954	2378.0	6	False
ENSG00000029153	2368.0	6	False
ENSG00000185219	2362.0	6	False
ENSG00000179348	2361.0	12	False
ENSG00000166987	2360.0	6	False
ENSG00000130522	2357.0	6	False
ENSG00000181315	2353.0	6	False
ENSG00000084093	2350.0	12	False
ENSG00000130589	2343.0	12	False
ENSG00000179195	2336.0	6	False
ENSG00000179627	2328.0	6	False
ENSG00000162676	2308.0	12	False
ENSG00000105997	2306.0	12	False
ENSG00000173153	2302.0	6	False
ENSG00000007545	2294.0	12	False
ENSG00000011052	2279.0	6	False
ENSG00000130675	2272.0	6	False
ENSG00000213999	2249.0	6	False
ENSG00000214575	2242.0	12	False
ENSG00000157557	2236.0	6	False
ENSG00000198807	2230.0	12	False
ENSG00000053254	2226.0	12	False
ENSG00000106948	2225.0	12	False
ENSG00000142599	2213.0	6	False
ENSG00000256463	2212.0	6	False
ENSG00000112242	2210.0	12	False
ENSG00000183621	2204.0	12	False
ENSG00000121297	2201.0	6	False
ENSG00000118922	2187.0	6	False
ENSG00000118260	2184.0	6	False
ENSG00000123609	2172.0	6	False
ENSG00000118495	2168.0	12	False
ENSG00000198816	2163.0	12	False
ENSG00000110693	2163.0	18	False
ENSG00000185129	2160.0	12	False
ENSG00000176692	2154.0	6	False
ENSG00000162992	2149.0	6	False
ENSG00000249709	2139.0	5	False
ENSG00000020256	2124.0	6	False
ENSG00000170515	2123.0	6	False
ENSG00000150051	2115.0	12	False
ENSG00000067646	2112.0	6	False
ENSG00000020633	2111.0	12	False
ENSG00000129173	2110.0	6	False
ENSG00000105556	2110.0	6	False
ENSG00000184939	2106.0	12	False
ENSG00000214022	2105.0	6	False
ENSG00000131759	2102.0	12	False
ENSG00000131848	2100.0	12	False
