target	n_cells	n_guides	is_ntc
ENSG00000149480	10508.0	6	False
ENSG00000110651	7095.0	2	False
ENSG00000196482	6595.0	30	False
ENSG00000140009	6493.0	6	False
ENSG00000124766	6277.0	12	False
ENSG00000141510	6060.0	6	False
ENSG00000177697	5652.0	2	False
ENSG00000171476	5602.0	12	False
ENSG00000188981	5589.0	6	False
ENSG00000029153	5523.0	6	False
ENSG00000118900	5392.0	6	False
ENSG00000169926	5123.0	6	False
ENSG00000104177	4908.0	6	False
ENSG00000142599	4807.0	6	False
ENSG00000141905	4804.0	12	False
ENSG00000196378	4639.0	6	False
ENSG00000007968	4325.0	6	False
ENSG00000177732	4276.0	6	False
ENSG00000164107	4201.0	12	False
ENSG00000167380	4150.0	12	False
ENSG00000131196	4120.0	12	False
ENSG00000074657	4101.0	12	False
ENSG00000069812	4079.0	12	False
ENSG00000084093	4077.0	12	False
ENSG00000113196	4077.0	6	False
ENSG00000129993	4037.0	12	False
ENSG00000076108	4026.0	12	False
ENSG00000099956	3973.0	12	False
ENSG00000277258	3901.0	12	False
ENSG00000137871	3885.0	6	False
ENSG00000178951	3836.0	12	False
ENSG00000125740	3613.0	12	False
ENSG00000064218	3457.0	6	False
ENSG00000121653	3444.0	12	False
ENSG00000121413	3436.0	12	False
ENSG00000131668	3433.0	6	False
ENSG00000164900	3391.0	12	False
ENSG00000146587	3376.0	12	False
ENSG00000168779	3361.0	6	False
ENSG00000114861	3360.0	18	False
ENSG00000020633	3350.0	12	False
ENSG00000166261	3348.0	6	False
ENSG00000111249	3346.0	6	False
ENSG00000123411	3342.0	12	False
ENSG00000101096	3313.0	12	False
ENSG00000185129	3290.0	12	False
ENSG00000108924	3288.0	12	False
ENSG00000064961	3253.0	12	False
ENSG00000214022	3248.0	6	False
ENSG00000128604	3234.0	12	False
ENSG00000118689	3217.0	12	False
ENSG00000173153	3217.0	6	False
ENSG00000118495	3171.0	12	False
non-targeting|160	3164.0	6	True
ENSG00000072364	3161.0	6	False
ENSG00000136826	3145.0	12	False
ENSG00000245848	3144.0	6	False
ENSG00000134107	3125.0	6	False
ENSG00000160224	3114.0	6	False
ENSG00000049618	3071.0	12	False
ENSG00000188070	3066.0	6	False
ENSG00000213999	3052.0	6	False
ENSG00000198521	3039.0	12	False
ENSG00000067646	3013.0	6	False
ENSG00000180787	2994.0	6	False
ENSG00000171316	2990.0	6	False
ENSG00000198807	2987.0	12	False
ENSG00000213015	2986.0	12	False
ENSG00000131759	2984.0	12	False
ENSG00000064490	2984.0	6	False
ENSG00000176887	2984.0	6	False
ENSG00000112242	2982.0	12	False
ENSG00000005513	2961.0	6	False
ENSG00000119950	2952.0	12	False
ENSG00000198646	2947.0	6	False
ENSG00000181449	2947.0	6	False
ENSG00000162676	2937.0	12	False
ENSG00000007545	2927.0	12	False
ENSG00000091831	2924.0	12	False
ENSG00000269404	2916.0	6	False
ENSG00000165891	2913.0	6	False
ENSG00000107187	2909.0	12	False
ENSG00000011052	2907.0	6	False
ENSG00000053254	2903.0	12	False
ENSG00000153234	2896.0	12	False
ENSG00000067082	2893.0	6	False
ENSG00000011332	2861.0	12	False
