target	n_cells	n_guides	is_ntc
ENSG00000110651	9773.0	2	False
ENSG00000177697	6507.0	2	False
ENSG00000150093	6134.0	1	False
ENSG00000205981	5215.0	3	False
non-targeting|157	3984.0	6	True
ENSG00000196482	3865.0	30	False
non-targeting|113	3725.0	6	True
ENSG00000072274	3584.0	1	False
non-targeting|117	3499.0	6	True
ENSG00000166681	3216.0	1	False
ENSG00000124766	3076.0	12	False
ENSG00000163635	2931.0	12	False
non-targeting|133	2811.0	6	True
ENSG00000167380	2729.0	12	False
non-targeting|140	2664.0	6	True
non-targeting|171	2656.0	6	True
non-targeting|169	2653.0	6	True
non-targeting|103	2600.0	6	True
non-targeting|22	2584.0	6	False
ENSG00000196352	2580.0	1	False
ENSG00000169554	2556.0	12	False
ENSG00000117713	2514.0	6	False
ENSG00000166710	2511.0	1	False
ENSG00000120068	2502.0	12	False
ENSG00000198521	2498.0	12	False
non-targeting|142	2458.0	6	True
ENSG00000157554	2384.0	12	False
non-targeting|149	2327.0	6	True
ENSG00000167766	2309.0	18	False
non-targeting|154	2305.0	6	True
non-targeting|164	2292.0	6	True
non-targeting|109	2268.0	6	True
non-targeting|195	2258.0	6	True
ENSG00000109686	2246.0	12	False
non-targeting|138	2217.0	6	True
non-targeting|145	2198.0	6	True
ENSG00000178913	2198.0	6	False
non-targeting|130	2185.0	6	True
non-targeting|196	2179.0	6	True
non-targeting|33	2176.0	6	False
non-targeting|110	2173.0	6	True
non-targeting|96	2162.0	6	False
non-targeting|158	2145.0	6	True
non-targeting|147	2144.0	6	True
ENSG00000114861	2106.0	18	False
non-targeting|150	2104.0	6	True
non-targeting|108	2090.0	6	True
non-targeting|175	2078.0	6	True
ENSG00000214575	2073.0	12	False
non-targeting|16	2072.0	6	False
ENSG00000116132	2072.0	12	False
non-targeting|172	2070.0	6	True
non-targeting|18	2068.0	6	False
non-targeting|32	2066.0	6	False
ENSG00000163320	2057.0	12	False
ENSG00000173320	2057.0	12	False
ENSG00000172534	2055.0	6	False
ENSG00000148516	2047.0	12	False
ENSG00000185129	2047.0	12	False
ENSG00000123636	2044.0	6	False
ENSG00000114126	2020.0	12	False
ENSG00000069812	2016.0	12	False
non-targeting|137	2014.0	6	True
ENSG00000173473	2012.0	6	False
non-targeting|14	2010.0	6	False
ENSG00000110693	2005.0	18	False
ENSG00000102935	2002.0	12	False
non-targeting|53	1995.0	6	False
ENSG00000166949	1990.0	6	False
ENSG00000186141	1989.0	6	False
non-targeting|194	1989.0	6	True
ENSG00000123411	1988.0	12	False
ENSG00000148400	1985.0	12	False
non-targeting|62	1984.0	6	False
ENSG00000153234	1972.0	12	False
non-targeting|54	1971.0	6	False
non-targeting|83	1969.0	6	False
ENSG00000169714	1968.0	6	False
ENSG00000074657	1966.0	12	False
ENSG00000135638	1965.0	12	False
ENSG00000089225	1955.0	12	False
non-targeting|15	1942.0	6	False
non-targeting|136	1938.0	6	True
ENSG00000144802	1932.0	12	False
non-targeting|185	1930.0	6	True
non-targeting|192	1928.0	6	True
ENSG00000141646	1925.0	6	False
non-targeting|85	1923.0	6	False
ENSG00000181894	1921.0	12	False
non-targeting|8	1899.0	6	False
ENSG00000172819	1887.0	12	False
non-targeting|180	1886.0	6	True
ENSG00000121653	1884.0	12	False
ENSG00000171827	1878.0	12	False
non-targeting|178	1873.0	6	True
non-targeting|68	1860.0	6	False
ENSG00000197213	1859.0	12	False
ENSG00000132005	1856.0	6	False
ENSG00000109132	1854.0	6	False
ENSG00000136367	1841.0	12	False
non-targeting|5	1838.0	6	False
ENSG00000182568	1836.0	12	False
ENSG00000104447	1832.0	6	False
ENSG00000059145	1822.0	6	False
ENSG00000116044	1821.0	12	False
non-targeting|135	1817.0	6	True
ENSG00000137310	1809.0	12	False
ENSG00000181722	1809.0	12	False
non-targeting|105	1801.0	6	True
ENSG00000174652	1798.0	6	False
ENSG00000020633	1797.0	12	False
ENSG00000153975	1797.0	6	False
non-targeting|2	1797.0	6	False
ENSG00000213096	1793.0	6	False
non-targeting|70	1793.0	6	False
ENSG00000173451	1793.0	12	False
ENSG00000107187	1786.0	12	False
non-targeting|57	1783.0	6	False
non-targeting|184	1782.0	6	True
ENSG00000074047	1780.0	12	False
non-targeting|123	1779.0	6	True
ENSG00000120738	1777.0	12	False
non-targeting|12	1771.0	6	False
ENSG00000189308	1770.0	12	False
ENSG00000100906	1769.0	12	False
non-targeting|127	1763.0	6	True
ENSG00000067369	1762.0	12	False
non-targeting|71	1758.0	6	False
ENSG00000124440	1752.0	12	False
non-targeting|152	1751.0	6	True
ENSG00000128710	1741.0	12	False
non-targeting|139	1739.0	6	True
non-targeting|132	1733.0	6	True
ENSG00000161642	1732.0	12	False
non-targeting|41	1730.0	6	False
non-targeting|155	1728.0	6	True
non-targeting|159	1721.0	6	True
ENSG00000171843	1720.0	6	False
ENSG00000100625	1718.0	6	False
non-targeting|188	1714.0	6	True
ENSG00000169375	1712.0	12	False
ENSG00000272333	1705.0	12	False
ENSG00000143379	1697.0	6	False
ENSG00000006194	1690.0	12	False
ENSG00000152784	1686.0	12	False
non-targeting|107	1686.0	6	True
non-targeting|163	1685.0	6	True
non-targeting|116	1683.0	6	True
ENSG00000234444	1682.0	12	False
ENSG00000138795	1680.0	12	False
ENSG00000066422	1675.0	6	False
non-targeting|189	1674.0	6	True
non-targeting|49	1665.0	6	False
ENSG00000146007	1663.0	12	False
non-targeting|93	1659.0	6	False
ENSG00000008441	1656.0	12	False
ENSG00000116580	1654.0	12	False
non-targeting|124	1654.0	6	True
ENSG00000131848	1653.0	12	False
ENSG00000136826	1651.0	12	False
non-targeting|162	1650.0	6	True
ENSG00000066827	1636.0	12	False
ENSG00000204644	1629.0	6	False
non-targeting|118	1627.0	6	True
ENSG00000166407	1627.0	12	False
ENSG00000128713	1627.0	6	False
ENSG00000119950	1627.0	12	False
ENSG00000112837	1624.0	12	False
ENSG00000144026	1623.0	12	False
ENSG00000179348	1623.0	12	False
ENSG00000049618	1607.0	12	False
ENSG00000151702	1603.0	6	False
ENSG00000164749	1602.0	12	False
non-targeting|78	1602.0	6	False
non-targeting|79	1598.0	6	False
ENSG00000166188	1597.0	12	False
ENSG00000167604	1595.0	12	False
ENSG00000164107	1595.0	12	False
ENSG00000131759	1587.0	12	False
ENSG00000167986	1584.0	12	False
ENSG00000112242	1584.0	12	False
ENSG00000196498	1576.0	12	False
ENSG00000198807	1576.0	12	False
ENSG00000153187	1574.0	6	False
ENSG00000164900	1571.0	12	False
ENSG00000126012	1570.0	6	False
ENSG00000126456	1569.0	6	False
ENSG00000184939	1566.0	12	False
ENSG00000185947	1561.0	12	False
non-targeting|4	1555.0	6	False
non-targeting|187	1555.0	6	True
non-targeting|45	1554.0	6	False
ENSG00000179059	1550.0	12	False
ENSG00000078900	1546.0	6	False
non-targeting|182	1545.0	6	True
ENSG00000122592	1544.0	6	False
ENSG00000084093	1543.0	12	False
ENSG00000100105	1542.0	12	False
non-targeting|183	1539.0	6	True
ENSG00000167625	1539.0	6	False
ENSG00000171817	1539.0	12	False
non-targeting|190	1532.0	6	True
ENSG00000062194	1528.0	6	False
non-targeting|181	1515.0	6	True
ENSG00000187140	1514.0	12	False
ENSG00000178096	1514.0	12	False
ENSG00000113387	1511.0	12	False
non-targeting|69	1504.0	6	False
ENSG00000168916	1499.0	12	False
ENSG00000064961	1498.0	12	False
non-targeting|104	1498.0	6	True
ENSG00000137709	1496.0	12	False
ENSG00000153487	1491.0	12	False
ENSG00000124920	1490.0	12	False
ENSG00000167377	1485.0	12	False
ENSG00000117505	1481.0	6	False
ENSG00000076108	1479.0	12	False
ENSG00000001167	1479.0	6	False
ENSG00000010803	1477.0	12	False
non-targeting|77	1475.0	6	False
ENSG00000178662	1469.0	12	False
ENSG00000196110	1465.0	12	False
ENSG00000197714	1464.0	6	False
ENSG00000185869	1463.0	6	False
non-targeting|198	1463.0	6	True
ENSG00000120075	1461.0	6	False
non-targeting|165	1460.0	6	True
non-targeting|115	1459.0	6	True
ENSG00000106004	1459.0	6	False
ENSG00000142409	1459.0	6	False
ENSG00000171476	1458.0	12	False
ENSG00000078246	1457.0	12	False
ENSG00000187098	1454.0	12	False
non-targeting|179	1453.0	6	True
non-targeting|177	1449.0	6	True
non-targeting|52	1446.0	6	False
non-targeting|174	1439.0	6	True
ENSG00000196417	1435.0	12	False
ENSG00000127124	1434.0	14	False
non-targeting|160	1434.0	6	True
ENSG00000182903	1430.0	12	False
ENSG00000196670	1429.0	6	False
ENSG00000163666	1427.0	12	False
ENSG00000129993	1425.0	12	False
non-targeting|170	1424.0	6	True
non-targeting|193	1423.0	6	True
ENSG00000079102	1422.0	12	False
non-targeting|30	1422.0	6	False
ENSG00000167840	1420.0	12	False
ENSG00000105419	1418.0	12	False
non-targeting|31	1416.0	6	False
non-targeting|119	1413.0	6	True
ENSG00000129535	1412.0	12	False
ENSG00000198453	1408.0	6	False
non-targeting|166	1406.0	6	True
non-targeting|131	1405.0	6	True
ENSG00000132010	1404.0	7	False
ENSG00000134532	1403.0	12	False
ENSG00000137203	1400.0	12	False
ENSG00000164463	1399.0	12	False
non-targeting|111	1399.0	6	True
ENSG00000136451	1399.0	6	False
ENSG00000101665	1399.0	6	False
ENSG00000235109	1399.0	12	False
ENSG00000197013	1393.0	6	False
non-targeting|35	1391.0	6	False
non-targeting|101	1387.0	6	True
non-targeting|20	1387.0	6	False
non-targeting|197	1384.0	6	True
non-targeting|168	1384.0	6	True
ENSG00000277258	1383.0	12	False
non-targeting|97	1382.0	6	False
ENSG00000134323	1382.0	12	False
ENSG00000173120	1381.0	6	False
ENSG00000105997	1377.0	12	False
ENSG00000170954	1376.0	6	False
ENSG00000030419	1376.0	12	False
ENSG00000128573	1372.0	12	False
non-targeting|67	1372.0	6	False
ENSG00000159140	1369.0	12	False
ENSG00000175727	1364.0	6	False
non-targeting|92	1356.0	6	False
ENSG00000174963	1356.0	12	False
ENSG00000168453	1355.0	12	False
ENSG00000162367	1352.0	12	False
non-targeting|128	1351.0	6	True
non-targeting|106	1347.0	6	True
ENSG00000197128	1347.0	6	False
non-targeting|3	1346.0	6	False
ENSG00000185650	1340.0	12	False
ENSG00000039600	1339.0	12	False
ENSG00000126351	1338.0	6	False
ENSG00000116833	1337.0	12	False
non-targeting|114	1332.0	6	True
ENSG00000163565	1329.0	6	False
non-targeting|24	1329.0	6	False
non-targeting|66	1327.0	6	False
ENSG00000181007	1326.0	6	False
ENSG00000108924	1324.0	12	False
non-targeting|186	1320.0	6	True
ENSG00000141905	1319.0	12	False
ENSG00000213015	1319.0	12	False
ENSG00000198039	1316.0	12	False
non-targeting|90	1316.0	6	False
non-targeting|121	1315.0	6	True
ENSG00000077463	1314.0	6	False
ENSG00000019485	1312.0	12	False
ENSG00000155090	1312.0	12	False
ENSG00000070444	1310.0	6	False
ENSG00000183621	1308.0	12	False
non-targeting|84	1308.0	6	False
ENSG00000180257	1304.0	12	False
non-targeting|61	1300.0	6	False
ENSG00000146618	1297.0	6	False
non-targeting|144	1297.0	6	True
ENSG00000100084	1297.0	12	False
non-targeting|91	1294.0	6	False
ENSG00000182979	1293.0	6	False
ENSG00000106852	1293.0	12	False
ENSG00000184828	1291.0	12	False
ENSG00000265763	1289.0	12	False
ENSG00000160062	1287.0	6	False
ENSG00000267508	1287.0	6	False
ENSG00000121481	1285.0	6	False
non-targeting|39	1284.0	6	False
ENSG00000188994	1282.0	6	False
ENSG00000106948	1282.0	12	False
ENSG00000274529	1279.0	6	False
ENSG00000103479	1279.0	12	False
ENSG00000016082	1277.0	12	False
ENSG00000184481	1275.0	6	False
non-targeting|21	1273.0	6	False
ENSG00000162714	1272.0	6	False
ENSG00000177888	1270.0	6	False
ENSG00000178935	1265.0	6	False
ENSG00000010539	1263.0	6	False
ENSG00000159216	1262.0	6	False
ENSG00000133884	1255.0	12	False
ENSG00000213793	1253.0	12	False
ENSG00000184895	1250.0	6	False
ENSG00000121075	1248.0	12	False
ENSG00000121413	1244.0	12	False
ENSG00000162676	1242.0	12	False
ENSG00000186184	1239.0	3	False
ENSG00000197863	1238.0	12	False
ENSG00000138136	1234.0	6	False
ENSG00000131061	1233.0	12	False
ENSG00000120656	1232.0	6	False
ENSG00000011332	1230.0	12	False
ENSG00000156030	1229.0	12	False
ENSG00000089094	1226.0	12	False
non-targeting|50	1223.0	6	False
ENSG00000198830	1222.0	6	False
non-targeting|148	1218.0	6	True
ENSG00000048540	1218.0	12	False
ENSG00000197114	1217.0	6	False
ENSG00000101126	1210.0	6	False
non-targeting|19	1209.0	6	False
non-targeting|120	1206.0	6	True
ENSG00000164093	1205.0	12	False
ENSG00000213999	1204.0	6	False
ENSG00000125845	1201.0	12	False
ENSG00000198715	1199.0	12	False
ENSG00000115956	1197.0	6	False
non-targeting|176	1197.0	6	True
non-targeting|40	1193.0	6	False
ENSG00000125740	1193.0	12	False
ENSG00000179922	1193.0	6	False
ENSG00000197037	1193.0	6	False
non-targeting|167	1192.0	6	True
non-targeting|143	1192.0	6	True
ENSG00000144218	1191.0	6	False
non-targeting|122	1189.0	6	True
ENSG00000104177	1187.0	6	False
non-targeting|151	1187.0	6	True
non-targeting|146	1186.0	6	True
ENSG00000181666	1186.0	12	False
ENSG00000102038	1185.0	6	False
ENSG00000137699	1184.0	12	False
ENSG00000139445	1182.0	6	False
ENSG00000150051	1181.0	12	False
ENSG00000185551	1181.0	6	False
ENSG00000165259	1181.0	6	False
ENSG00000130844	1178.0	12	False
ENSG00000204209	1175.0	12	False
ENSG00000197302	1175.0	6	False
ENSG00000103363	1175.0	6	False
non-targeting|25	1173.0	6	False
ENSG00000089116	1173.0	6	False
ENSG00000184677	1172.0	6	False
non-targeting|63	1169.0	6	False
ENSG00000176542	1166.0	6	False
non-targeting|161	1166.0	6	True
non-targeting|65	1165.0	6	False
ENSG00000198551	1164.0	6	False
ENSG00000197933	1163.0	6	False
ENSG00000103460	1163.0	6	False
ENSG00000090447	1162.0	6	False
non-targeting|102	1159.0	6	True
ENSG00000135148	1159.0	6	False
non-targeting|42	1157.0	6	False
non-targeting|94	1155.0	6	False
ENSG00000112200	1153.0	6	False
ENSG00000125968	1153.0	6	False
ENSG00000213928	1152.0	6	False
ENSG00000072310	1152.0	12	False
ENSG00000141510	1151.0	6	False
ENSG00000105856	1151.0	6	False
ENSG00000186496	1150.0	6	False
ENSG00000204519	1149.0	6	False
ENSG00000101444	1148.0	6	False
ENSG00000115053	1148.0	12	False
ENSG00000186448	1148.0	6	False
ENSG00000135374	1146.0	6	False
ENSG00000124201	1143.0	6	False
ENSG00000146592	1142.0	12	False
ENSG00000131196	1142.0	12	False
ENSG00000198728	1140.0	12	False
ENSG00000130699	1140.0	6	False
non-targeting|9	1137.0	6	False
ENSG00000101096	1136.0	12	False
ENSG00000198517	1136.0	6	False
ENSG00000135100	1136.0	6	False
ENSG00000104881	1134.0	12	False
ENSG00000186103	1130.0	6	False
ENSG00000109787	1128.0	6	False
ENSG00000171940	1128.0	12	False
ENSG00000128272	1125.0	6	False
ENSG00000087510	1124.0	6	False
ENSG00000119574	1123.0	6	False
ENSG00000171540	1122.0	6	False
ENSG00000198131	1119.0	6	False
ENSG00000129173	1118.0	6	False
non-targeting|23	1116.0	6	False
ENSG00000103449	1115.0	6	False
non-targeting|43	1114.0	6	False
ENSG00000125398	1114.0	6	False
ENSG00000198160	1113.0	12	False
ENSG00000184486	1113.0	6	False
ENSG00000175197	1112.0	6	False
ENSG00000025434	1110.0	12	False
ENSG00000105866	1105.0	6	False
non-targeting|199	1103.0	6	True
ENSG00000173039	1102.0	6	False
ENSG00000197857	1102.0	6	False
ENSG00000214022	1100.0	6	False
ENSG00000144485	1100.0	6	False
ENSG00000197937	1098.0	6	False
ENSG00000135829	1096.0	6	False
ENSG00000004848	1096.0	12	False
ENSG00000177311	1096.0	12	False
ENSG00000256463	1095.0	6	False
ENSG00000023287	1095.0	12	False
ENSG00000236609	1093.0	12	False
ENSG00000054598	1093.0	6	False
ENSG00000132170	1090.0	12	False
ENSG00000083838	1090.0	6	False
non-targeting|191	1090.0	6	True
ENSG00000132274	1089.0	6	False
ENSG00000123268	1088.0	6	False
ENSG00000075426	1087.0	6	False
non-targeting|134	1086.0	6	True
ENSG00000010818	1086.0	6	False
ENSG00000140382	1085.0	6	False
ENSG00000135457	1084.0	6	False
ENSG00000147488	1084.0	6	False
ENSG00000112561	1084.0	12	False
non-targeting|36	1084.0	6	False
ENSG00000157259	1083.0	6	False
non-targeting|17	1082.0	6	False
ENSG00000119608	1080.0	6	False
ENSG00000155966	1079.0	6	False
ENSG00000100281	1078.0	6	False
ENSG00000091010	1078.0	6	False
ENSG00000183850	1078.0	6	False
ENSG00000069667	1078.0	6	False
ENSG00000159692	1077.0	6	False
ENSG00000170370	1075.0	6	False
ENSG00000234616	1073.0	12	False
ENSG00000162613	1072.0	6	False
ENSG00000095574	1072.0	6	False
ENSG00000185668	1071.0	6	False
non-targeting|10	1070.0	6	False
ENSG00000179361	1069.0	6	False
ENSG00000109101	1068.0	6	False
non-targeting|47	1067.0	6	False
ENSG00000122180	1066.0	6	False
ENSG00000277462	1066.0	6	False
ENSG00000159086	1065.0	6	False
ENSG00000196152	1065.0	6	False
ENSG00000213676	1063.0	6	False
ENSG00000146587	1062.0	12	False
non-targeting|95	1062.0	6	False
ENSG00000164458	1060.0	6	False
ENSG00000176887	1060.0	6	False
ENSG00000156925	1060.0	6	False
non-targeting|60	1058.0	6	False
ENSG00000169016	1058.0	6	False
ENSG00000135903	1057.0	6	False
non-targeting|59	1057.0	6	False
ENSG00000171291	1056.0	6	False
non-targeting|173	1056.0	6	True
ENSG00000198816	1054.0	12	False
ENSG00000140262	1053.0	12	False
non-targeting|56	1053.0	6	False
non-targeting|88	1053.0	6	False
ENSG00000011007	1052.0	6	False
non-targeting|55	1052.0	6	False
non-targeting|156	1052.0	6	True
ENSG00000165512	1051.0	6	False
ENSG00000180053	1051.0	6	False
non-targeting|153	1051.0	6	True
ENSG00000104885	1051.0	6	False
ENSG00000175745	1050.0	6	False
ENSG00000136807	1050.0	6	False
ENSG00000108511	1049.0	12	False
ENSG00000029363	1048.0	6	False
ENSG00000057657	1047.0	6	False
ENSG00000179627	1046.0	6	False
ENSG00000196150	1045.0	6	False
ENSG00000170365	1045.0	6	False
ENSG00000105991	1043.0	6	False
ENSG00000110851	1043.0	6	False
ENSG00000105392	1042.0	6	False
ENSG00000054267	1042.0	6	False
ENSG00000196357	1041.0	6	False
non-targeting|129	1040.0	6	True
non-targeting|44	1039.0	6	False
ENSG00000166268	1039.0	6	False
ENSG00000187987	1039.0	6	False
non-targeting|80	1037.0	6	False
ENSG00000059122	1035.0	6	False
ENSG00000099949	1035.0	6	False
ENSG00000197124	1034.0	6	False
ENSG00000204514	1033.0	6	False
non-targeting|74	1033.0	6	False
ENSG00000090612	1033.0	6	False
ENSG00000106689	1030.0	6	False
ENSG00000186895	1029.0	6	False
non-targeting|99	1029.0	6	False
ENSG00000184436	1028.0	6	False
ENSG00000187187	1028.0	6	False
ENSG00000118526	1026.0	6	False
ENSG00000174282	1023.0	12	False
ENSG00000169926	1022.0	6	False
ENSG00000126368	1021.0	6	False
ENSG00000153896	1021.0	6	False
ENSG00000197782	1019.0	6	False
ENSG00000213588	1017.0	6	False
ENSG00000121417	1016.0	6	False
ENSG00000127616	1016.0	6	False
ENSG00000160224	1015.0	6	False
non-targeting|27	1015.0	6	False
ENSG00000197921	1014.0	6	False
ENSG00000188295	1013.0	6	False
ENSG00000083307	1013.0	6	False
ENSG00000137504	1013.0	6	False
