target	n_cells	n_guides	is_ntc
ENSG00000110651	7513.0	2	False
ENSG00000205981	5909.0	3	False
ENSG00000150093	5289.0	1	False
ENSG00000177697	4594.0	2	False
non-targeting|157	3061.0	6	True
ENSG00000196482	2982.0	30	False
non-targeting|113	2952.0	6	True
ENSG00000072274	2760.0	1	False
non-targeting|117	2732.0	6	True
ENSG00000163635	2289.0	12	False
ENSG00000167380	2250.0	12	False
ENSG00000166681	2166.0	1	False
non-targeting|133	2157.0	6	True
non-targeting|169	2095.0	6	True
non-targeting|171	2082.0	6	True
non-targeting|140	2060.0	6	True
non-targeting|103	2049.0	6	True
non-targeting|149	2042.0	6	True
non-targeting|22	2004.0	6	False
non-targeting|142	1923.0	6	True
ENSG00000124766	1920.0	12	False
ENSG00000166710	1909.0	1	False
non-targeting|33	1882.0	6	False
ENSG00000120068	1852.0	12	False
ENSG00000186184	1840.0	3	False
ENSG00000169554	1838.0	12	False
ENSG00000157554	1837.0	12	False
non-targeting|109	1834.0	6	True
non-targeting|154	1825.0	6	True
non-targeting|110	1793.0	6	True
non-targeting|164	1792.0	6	True
non-targeting|145	1784.0	6	True
ENSG00000167766	1780.0	18	False
ENSG00000198521	1768.0	12	False
ENSG00000172534	1738.0	6	False
ENSG00000163320	1734.0	12	False
non-targeting|18	1728.0	6	False
non-targeting|195	1712.0	6	True
ENSG00000196352	1711.0	1	False
ENSG00000123636	1710.0	6	False
non-targeting|158	1705.0	6	True
non-targeting|150	1698.0	6	True
non-targeting|130	1684.0	6	True
non-targeting|147	1673.0	6	True
non-targeting|96	1663.0	6	False
non-targeting|138	1657.0	6	True
ENSG00000178913	1653.0	6	False
non-targeting|14	1629.0	6	False
ENSG00000109686	1628.0	12	False
non-targeting|70	1610.0	6	False
non-targeting|108	1606.0	6	True
non-targeting|175	1603.0	6	True
ENSG00000148516	1599.0	12	False
non-targeting|16	1592.0	6	False
ENSG00000114126	1589.0	12	False
non-targeting|53	1587.0	6	False
non-targeting|137	1576.0	6	True
ENSG00000102935	1575.0	12	False
non-targeting|62	1567.0	6	False
non-targeting|71	1563.0	6	False
non-targeting|172	1560.0	6	True
ENSG00000169375	1547.0	12	False
non-targeting|15	1539.0	6	False
ENSG00000114861	1533.0	18	False
non-targeting|196	1529.0	6	True
ENSG00000089225	1523.0	12	False
non-targeting|32	1518.0	6	False
ENSG00000214575	1518.0	12	False
non-targeting|8	1517.0	6	False
non-targeting|83	1492.0	6	False
non-targeting|85	1490.0	6	False
non-targeting|135	1488.0	6	True
ENSG00000173320	1481.0	12	False
non-targeting|180	1480.0	6	True
non-targeting|41	1478.0	6	False
non-targeting|2	1475.0	6	False
non-targeting|136	1470.0	6	True
non-targeting|57	1468.0	6	False
ENSG00000116132	1460.0	12	False
non-targeting|178	1452.0	6	True
ENSG00000197213	1437.0	12	False
ENSG00000110693	1437.0	18	False
ENSG00000141646	1432.0	6	False
non-targeting|68	1428.0	6	False
non-targeting|118	1427.0	6	True
non-targeting|194	1426.0	6	True
ENSG00000123411	1424.0	12	False
ENSG00000146007	1421.0	12	False
