ensembl_gene_id	gene_symbol	hgnc_approved_symbol	jaspar_tf_family	lambert_2018_dbd	n_disease_associations	mondo_ids	omim_ids	distance_mean_HuangfuDE	distance_rank_HuangfuDE	sig_dist_gt_NC_max_HuangfuDE	distance_mean_HuangfuESC	distance_rank_HuangfuESC	sig_dist_gt_NC_max_HuangfuESC	n_datasets_with_data	n_datasets_significant	min_distance_across_datasets	max_distance_across_datasets	distance_range	distance_max_over_min	classification	convergence_class
ENSG00000068305	MEF2A	MEF2A	Regulators of differentiation	MADS box	1		OMIM:608320	81.89170532226562	1926.0	False	657.3028869628906	4.0	True	2	1	81.89170532226562	657.3028869628906	575.411181640625	8.026489183199068	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000168724	DNAJC21	DNAJC21		Unknown	2		OMIM:260400;OMIM:617052	106.30411376953126	155.0	False	639.0901763916015	6.0	True	2	1	106.30411376953126	639.0901763916015	532.7860626220703	6.011904466624477	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000139687	RB1	RB1		Unknown	4		OMIM:109800;OMIM:180200;OMIM:182280;OMIM:259500	80.20593872070313	1992.0	False	635.9707275390625	9.0	True	2	1	80.20593872070313	635.9707275390625	555.7647888183594	7.929222420220896	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000104881	PPP1R13L	PPP1R13L		Unknown	1		OMIM:620519	93.21106567382812	1082.0	False	628.1986907958984	18.0	True	2	1	93.21106567382812	628.1986907958984	534.9876251220703	6.7395291133581	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000140968	IRF8	IRF8	Interferon-regulatory factors	IRF	2		OMIM:226990;OMIM:614893	91.5994384765625	1251.0	False	628.0620147705079	19.0	True	2	1	91.5994384765625	628.0620147705079	536.4625762939454	6.856614245852716	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000099956	SMARCB1	SMARCB1		Unknown	3		OMIM:162091;OMIM:609322;OMIM:614608	98.11099853515626	643.0	False	622.359017944336	29.0	True	2	1	98.11099853515626	622.359017944336	524.2480194091797	6.343417427571335	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000134323	MYCN	MYCN	bHLH-ZIP	bHLH	2		OMIM:164280;OMIM:620748	92.708349609375	1125.0	False	620.1442443847657	35.0	True	2	1	92.708349609375	620.1442443847657	527.4358947753907	6.689195169558432	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000060566	CREB3L3	CREB3L3	CREB-related	bZIP	1		OMIM:619324	106.13850708007811	160.0	False	618.4975860595703	38.0	True	2	1	106.13850708007811	618.4975860595703	512.3590789794921	5.827268567033203	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000168477	TNXB	TNXB			2		OMIM:606408;OMIM:615963	92.8318359375	1113.0	False	614.0398315429687	47.0	True	2	1	92.8318359375	614.0398315429687	521.2079956054687	6.6145393478631345	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000125812	GZF1	GZF1		C2H2 ZF	1		OMIM:617662	102.69319458007811	311.0	False	613.6231964111328	49.0	True	2	1	102.69319458007811	613.6231964111328	510.93000183105465	5.975305363907455	HuangfuESC-specific	divergent_HuangfuESC
