family	n_members	n_disease_genes	fraction_disease_genes	n_members_with_data_HuangfuDE	n_members_sig_HuangfuDE	max_distance_HuangfuDE	mean_distance_HuangfuDE	n_members_with_data_HuangfuESC	n_members_sig_HuangfuESC	max_distance_HuangfuESC	mean_distance_HuangfuESC	n_sig_in_any_lineage	n_lineages_with_any_sig_member	candidate_for_deepdive
DBD:C2H2 ZF	483	47	0.09730848861283643	472	11	116.64827270507811	92.95858596543134	472	15	664.8975555419922	527.2793398065082	26	2	True
More than 3 adjacent zinc fingers	177	18	0.1016949152542373	174	3	114.56685180664064	93.74838232281564	174	6	649.0390594482421	523.7662517328372	9	2	True
DBD:Homeodomain	52	18	0.34615384615384615	50	5	112.6226806640625	95.46224450683594	50	4	637.5805694580079	544.4969588012696	9	2	True
DBD:bHLH	49	9	0.1836734693877551	49	3	115.99132080078124	94.12465583645567	49	3	625.1783905029297	530.8872037926499	6	2	True
Three-zinc finger Kruppel-related	28	5	0.17857142857142858	28	2	116.35934448242188	96.38938903808594	28	4	625.4072631835937	536.1102552141463	6	2	True
HOX	49	12	0.24489795918367346	49	2	113.39930419921876	94.42662228954082	49	2	631.0649383544921	534.7670600112604	4	2	True
DBD:Myb/SANT	28	4	0.14285714285714285	28	2	119.111474609375	94.05414799281529	28	2	638.3725006103516	544.5584186008998	4	2	True
Paired-related HD factors	28	16	0.5714285714285714	28	2	112.20086669921876	94.95648629324776	28	1	605.2818969726562	532.7709910801478	3	2	True
Ets-related	27	6	0.2222222222222222	27	1	116.06377563476562	93.74063969364872	27	2	618.6721221923829	529.4095985695168	3	2	True
Factors with multiple dispersed zinc fingers	47	11	0.23404255319148937	46	1	134.39690551757812	92.84667822796366	46	1	602.4493835449218	528.7977799788765	2	2	True
FOX	27	10	0.37037037037037035	27	0	106.88345336914062	94.55370777271412	27	2	617.4149536132812	538.3467152913412	2	1	True
Tal-related	21	8	0.38095238095238093	21	0	105.12757568359376	91.19083426339286	21	2	614.0195373535156	521.7338530040922	2	1	True
HD-LIM	8	2	0.25	8	1	109.92597045898438	92.89019241333008	8	1	605.4789672851563	532.2086967468261	2	2	True
unannotated	359	117	0.32590529247910865	350	19	125.413818359375	94.74307932826451	350	18	697.5328063964844	529.9923429652623	37	2	False
DMRT factors	4	0	0.0	4	2	113.53890991210938	97.14115753173827	4	0	551.5504577636718	510.490966796875	2	1	False
NK	32	10	0.3125	32	0	106.84959106445312	92.0239028930664	32	1	622.5060485839844	533.8564137458801	1	1	False
DBD:HMG/Sox	30	10	0.3333333333333333	29	1	112.61698608398436	93.34042295258621	29	0	598.1994476318359	538.4323290594692	1	1	False
DBD:Forkhead	18	7	0.3888888888888889	17	0	105.97767333984376	92.32438569910386	17	1	607.4080169677734	523.4913333668428	1	1	False
POU domain factors	18	8	0.4444444444444444	18	1	110.92860107421876	92.16398688422309	18	0	584.0865234375	537.7263498942058	1	1	False
bHLH-ZIP	17	9	0.5294117647058824	16	0	107.24592895507811	92.58976745605469	16	1	620.1442443847657	533.6254642486572	1	1	False
Thyroid hormone receptor-related factors (NR1)	16	10	0.625	16	1	113.08827514648438	96.54039611816407	16	0	587.0199645996094	525.2333208084107	1	1	False
DBD:AT hook	15	10	0.6666666666666666	15	0	106.76753540039064	91.55893351236979	15	1	618.0992706298828	519.8528651936849	1	1	False
DBD:bZIP	14	1	0.07142857142857142	14	0	98.39826049804688	91.68834054129465	14	1	622.8770050048828	539.3718113490513	1	1	False
DBD:ARID/BRIGHT	11	4	0.36363636363636365	11	0	102.9640869140625	90.24337713068182	11	1	603.5595886230469	520.3200722434304	1	1	False
DBD:THAP finger	10	0	0.0	10	1	110.50912475585938	97.94591003417968	10	0	588.9266815185547	542.5501083374023	1	1	False
Hairy-related factors	10	2	0.2	10	1	118.669189453125	93.1309326171875	10	0	586.1889587402344	541.0796383666992	1	1	False
Jun-related	10	3	0.3	10	0	106.40780029296874	97.99523071289062	10	1	602.4256958007812	539.6990594482422	1	1	False
Interferon-regulatory factors	9	8	0.8888888888888888	9	0	103.84732666015626	93.97545301649306	9	1	628.0620147705079	556.8070665147569	1	1	False
Other factors with up to three adjacent zinc fingers	9	1	0.1111111111111111	9	1	113.98397827148438	94.85886501736111	9	0	587.7926055908204	522.6339803059896	1	1	False
DBD:CENPB	8	0	0.0	8	1	120.48828735351564	95.36489486694336	8	0	578.1957397460938	521.9990692138672	1	1	False
