Lane	Pipeline	Median Tx UMIs/cell	Median sgRNA UMIs/cell	Singlets w/ sgRNA UMIs > 0	Mean assigned sgRNA/cell	Singlets w/ exactly 1 sgRNA assigned
IGVFDS6239SWYS	Hon Lab Internal	3563	1001	24965	1.93	10895
IGVFDS8747AVMA	Hon Lab Internal	3948	1198	26881	1.95	11460
IGVFDS8493OWMF	Hon Lab Internal	3491	1245	27596	1.98	11617
IGVFDS3275TXAD	Hon Lab Internal	2983	1311	27143	1.99	11388
IGVFDS2933CBPV	Hon Lab Internal	3517	1086	28632	1.96	12106
IGVFDS7181KBXZ	Hon Lab Internal	3296	1074	30023	1.95	12854
IGVFDS5398VEFY	Hon Lab Internal	2374	874	31651	1.91	13967
IGVFDS0119GHBM	Hon Lab Internal	3852	797	23150	1.8	11640
IGVFDS5304ZOXD	Hon Lab Internal	3765	1014	24141	1.83	11503
IGVFDS4080NNVH	Hon Lab Internal	3434	1254	24801	1.93	10820
IGVFDS6688BORQ	Hon Lab Internal	3512	701	24307	1.8	12066
IGVFDS5151YCLI	Hon Lab Internal	3676	511	25661	1.75	13514
IGVFDS2653YSTF	Hon Lab Internal	3357	432	22486	1.73	12030
IGVFDS9367JFNB	Hon Lab Internal	3345	518	27866	1.78	14120
IGVFDS6472JBHY	Hon Lab Internal	3738	1101	28742	1.92	12552
IGVFDS1042ITOF	Hon Lab Internal	3254	848	28655	1.9	12829
IGVFDS9699UXJW	Hon Lab Internal	3747	1025	28103	1.9	12384
IGVFDS1867JBBD	Hon Lab Internal	3576	1139	28352	1.93	12349
IGVFDS6980CXOR	Hon Lab Internal	3287	1139	27037	1.93	11742
IGVFDS7696ONVJ	Hon Lab Internal	4148	1053	26967	1.91	11865
IGVFDS0814DYDR	Hon Lab Internal	4222	1004	28480	1.92	12514
IGVFDS6990PWDJ	Hon Lab Internal	3378	1181	28279	1.92	12415
IGVFDS1584ZJUM	Hon Lab Internal	3956	1049	28734	1.92	12623
IGVFDS6847GSEQ	Hon Lab Internal	3812	1241	27792	1.93	12088
IGVFDS3599AKSM	Hon Lab Internal	3787	1186	29113	1.93	12702
IGVFDS8548HJBX	Hon Lab Internal	3661	1207	28088	1.91	12459
IGVFDS9568EYXJ	Hon Lab Internal	4044	996	27762	1.91	12315
IGVFDS0860HOHE	Hon Lab Internal	3730	936	29944	1.91	13310
IGVFDS0119GHBM	CRISPR Pipeline v0.0.4 (02/05/2026)	2871	668	28624	7.18	799
IGVFDS0814DYDR	CRISPR Pipeline v0.0.4 (02/05/2026)	3290	844	33390	5.54	691
IGVFDS0860HOHE	CRISPR Pipeline v0.0.4 (02/05/2026)	2826	799	35843	5.32	1013
IGVFDS1042ITOF	CRISPR Pipeline v0.0.4 (02/05/2026)	2546	739	34354	4.92	1118
IGVFDS1584ZJUM	CRISPR Pipeline v0.0.4 (02/05/2026)	3078	912	34715	5.61	762
IGVFDS1867JBBD	CRISPR Pipeline v0.0.4 (02/05/2026)	2775	987	34033	6.17	525
IGVFDS2653YSTF	CRISPR Pipeline v0.0.4 (02/05/2026)	2064	304	32602	4.97	2704
IGVFDS2933CBPV	CRISPR Pipeline v0.0.4 (02/05/2026)	2538	861	33292	5.31	865
IGVFDS3275TXAD	CRISPR Pipeline v0.0.4 (02/05/2026)	2254	1099	30909	6.32	464
IGVFDS3599AKSM	CRISPR Pipeline v0.0.4 (02/05/2026)	2915	1028	34980	6.67	469
IGVFDS4080NNVH	CRISPR Pipeline v0.0.4 (02/05/2026)	2571	1022	27858	7.04	391
IGVFDS5151YCLI	CRISPR Pipeline v0.0.4 (02/05/2026)	2561	409	33689	6.15	1837
IGVFDS5304ZOXD	CRISPR Pipeline v0.0.4 (02/05/2026)	2791	850	28806	7.52	535
IGVFDS5398VEFY	CRISPR Pipeline v0.0.4 (02/05/2026)	1743	724	36039	5.38	816
IGVFDS6472JBHY	CRISPR Pipeline v0.0.4 (02/05/2026)	2905	934	33502	6.11	497
IGVFDS6688BORQ	CRISPR Pipeline v0.0.4 (02/05/2026)	2496	574	30495	6.83	1103
IGVFDS6847GSEQ	CRISPR Pipeline v0.0.4 (02/05/2026)	2907	1084	33831	6.89	441
IGVFDS6980CXOR	CRISPR Pipeline v0.0.4 (02/05/2026)	2482	931	31628	6.19	467
IGVFDS6990PWDJ	CRISPR Pipeline v0.0.4 (02/05/2026)	2637	1051	33875	6.69	461
IGVFDS7181KBXZ	CRISPR Pipeline v0.0.4 (02/05/2026)	2384	858	34921	6.0	533
IGVFDS7696ONVJ	CRISPR Pipeline v0.0.4 (02/05/2026)	3147	870	31882	5.66	612
IGVFDS8493OWMF	CRISPR Pipeline v0.0.4 (02/05/2026)	2654	1049	31239	5.63	634
IGVFDS8548HJBX	CRISPR Pipeline v0.0.4 (02/05/2026)	2864	1066	34167	6.44	551
IGVFDS9367JFNB	CRISPR Pipeline v0.0.4 (02/05/2026)	2259	397	35746	5.36	2216
IGVFDS9568EYXJ	CRISPR Pipeline v0.0.4 (02/05/2026)	3026	844	34233	5.52	793
IGVFDS9699UXJW	CRISPR Pipeline v0.0.4 (02/05/2026)	2892	879	33702	5.67	691
