gene	gene_symbol
ENSG00000187608	ISG15
ENSG00000176022	B3GALT6
ENSG00000107404	DVL1
ENSG00000175756	AURKAIP1
ENSG00000242485	MRPL20
ENSG00000160075	SSU72
ENSG00000197530	MIB2
ENSG00000248333	CDK11B
ENSG00000178821	TMEM52
ENSG00000162585	FAAP20
ENSG00000157916	RER1
ENSG00000158109	TPRG1L
ENSG00000130764	LRRC47
ENSG00000198912	C1orf174
ENSG00000116251	RPL22
ENSG00000041988	THAP3
ENSG00000049245	VAMP3
ENSG00000116288	PARK7
ENSG00000116285	ERRFI1
ENSG00000049239	H6PD
ENSG00000116661	FBXO2
ENSG00000116688	MFN2
ENSG00000162493	PDPN
ENSG00000179743	SPEN-AS1
ENSG00000142632	ARHGEF19
ENSG00000179051	RCC2
ENSG00000053372	MRTO4
ENSG00000158825	CDA
ENSG00000117318	ID3
ENSG00000011009	LYPLA2
ENSG00000189266	PNRC2
ENSG00000117614	SYF2
ENSG00000183726	TMEM50A
ENSG00000117632	STMN1
ENSG00000142669	SH3BGRL3
ENSG00000131914	LIN28A
ENSG00000117676	RPS6KA1
ENSG00000090273	NUDC
ENSG00000142765	SYTL1
ENSG00000117751	PPP1R8
ENSG00000126698	DNAJC8
ENSG00000130770	ATP5IF1
ENSG00000197989	SNHG12
ENSG00000162512	SDC3
ENSG00000084652	TXLNA
ENSG00000160050	CCDC28B
ENSG00000084623	EIF3I
ENSG00000182866	LCK
ENSG00000126067	PSMB2
ENSG00000181817	LSM10
ENSG00000116898	MRPS15
ENSG00000197982	C1orf122
ENSG00000168653	NDUFS5
ENSG00000090621	PABPC4
ENSG00000084072	PPIE
ENSG00000171960	PPIH
ENSG00000065978	YBX1
ENSG00000117395	EBNA1BP2
ENSG00000117399	CDC20
ENSG00000066322	ELOVL1
ENSG00000117410	ATP6V0B
ENSG00000178028	DMAP1
ENSG00000126107	HECTD3
ENSG00000126088	UROD
ENSG00000186603	HPDL
ENSG00000117450	PRDX1
ENSG00000132780	NASP
ENSG00000162368	CMPK1
ENSG00000123091	RNF11
ENSG00000116171	SCP2
ENSG00000162385	MAGOH
ENSG00000236253	SLC25A3P1
ENSG00000116212	LRRC42
ENSG00000169174	PCSK9
ENSG00000230798	FOXD3-AS1
ENSG00000187140	FOXD3
