gene	gene_symbol	genomic_element	n_guides
ENSG00000275700	AATF	promoter	6
ENSG00000101126	ADNP	promoter	6
ENSG00000101544	ADNP2	promoter	6
ENSG00000106624	AEBP1	promoter	6
ENSG00000139154	AEBP2	promoter	6
ENSG00000172493	AFF1	promoter	6
ENSG00000155966	AFF2	promoter	6
ENSG00000144218	AFF3	promoter	6
ENSG00000072364	AFF4	promoter	6
ENSG00000153207	AHCTF1	promoter	6
ENSG00000101444	AHCY	promoter	6
ENSG00000126705	AHDC1	promoter	6
ENSG00000106546	AHR	promoter	6
ENSG00000063438	AHRR	promoter	6
ENSG00000160224	AIRE	promoter	6
ENSG00000105127	AKAP8	promoter	6
ENSG00000011243	AKAP8L	promoter	6
ENSG00000106948	AKNA	promoter	12
ENSG00000180318	ALX1	promoter	6
ENSG00000156150	ALX3	promoter	6
ENSG00000052850	ALX4	promoter	6
ENSG00000183684	ALYREF	promoter	6
ENSG00000227059	ANHX	promoter	6
ENSG00000148677	ANKRD1	promoter	6
ENSG00000148513	ANKRD30A	promoter	6
ENSG00000163516	ANKZF1	promoter	6
ENSG00000175279	APITD1	promoter	6
ENSG00000169083	AR	promoter	6
ENSG00000186103	ARGFX	promoter	6
ENSG00000160007	ARHGAP35	promoter	6
ENSG00000117713	ARID1A	promoter	6
ENSG00000049618	ARID1B	promoter	12
ENSG00000189079	ARID2	promoter	6
ENSG00000116017	ARID3A	promoter	6
ENSG00000179361	ARID3B	promoter	6
ENSG00000205143	ARID3C	promoter	6
ENSG00000032219	ARID4A	promoter	6
ENSG00000054267	ARID4B	promoter	6
ENSG00000196843	ARID5A	promoter	6
ENSG00000150347	ARID5B	promoter	6
ENSG00000143437	ARNT	promoter	6
ENSG00000172379	ARNT2	promoter	6
ENSG00000133794	ARNTL	promoter	6
ENSG00000029153	ARNTL2	promoter	6
ENSG00000004848	ARX	promoter	12
ENSG00000139352	ASCL1	promoter	6
ENSG00000183734	ASCL2	promoter	6
ENSG00000176009	ASCL3	promoter	6
ENSG00000187855	ASCL4	promoter	6
ENSG00000232237	ASCL5	promoter	6
ENSG00000116539	ASH1L	promoter	6
ENSG00000123268	ATF1	promoter	6
ENSG00000115966	ATF2	promoter	6
ENSG00000162772	ATF3	promoter	6
ENSG00000128272	ATF4	promoter	6
ENSG00000169136	ATF5	promoter	6
ENSG00000118217	ATF6	promoter	6
ENSG00000213676	ATF6B	promoter	6
