ensembl_gene_id	gene_symbol	hgnc_approved_symbol	jaspar_tf_family	lambert_2018_dbd	n_disease_associations	mondo_ids	omim_ids	distance_mean_HonCM	distance_rank_HonCM	sig_dist_gt_NC_max_HonCM	distance_mean_HuangfuDE	distance_rank_HuangfuDE	sig_dist_gt_NC_max_HuangfuDE	distance_mean_HuangfuESC	distance_rank_HuangfuESC	sig_dist_gt_NC_max_HuangfuESC	n_datasets_with_data	n_datasets_significant	min_distance_across_datasets	max_distance_across_datasets	distance_range	distance_max_over_min	classification	convergence_class
ENSG00000134323	MYCN	MYCN	bHLH-ZIP	bHLH	2		OMIM:164280;OMIM:620748	5.512445068359375	145.0	True	92.708349609375	1125.0	False	620.1442443847657	35.0	True	3	2	5.512445068359375	620.1442443847657	614.6317993164063	112.49894315397401	discordant_partial	divergent_partial
ENSG00000101115	SALL4	SALL4		C2H2 ZF	2		OMIM:147750;OMIM:607323	5.8590576171875	140.0	True	94.88806762695312	942.0	False	606.4042266845703	68.0	True	3	2	5.8590576171875	606.4042266845703	600.5451690673827	103.49859419468554	discordant_partial	divergent_partial
ENSG00000136492	BRIP1	BRIP1			2		OMIM:114480;OMIM:609054	192.7327667236328	2.0	True	125.413818359375	2.0	True	394.6179748535157	2155.0	False	3	2	125.413818359375	394.6179748535157	269.2041564941407	3.146527073457986	discordant_partial	divergent_partial
ENSG00000068305	MEF2A	MEF2A	Regulators of differentiation	MADS box	1		OMIM:608320	1.922198486328125	511.0	False	81.89170532226562	1926.0	False	657.3028869628906	4.0	True	3	1	1.922198486328125	657.3028869628906	655.3806884765625	341.95370126344335	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000168724	DNAJC21	DNAJC21		Unknown	2		OMIM:260400;OMIM:617052	1.2744964599609374	1007.0	False	106.30411376953126	155.0	False	639.0901763916015	6.0	True	3	1	1.2744964599609374	639.0901763916015	637.8156799316406	501.44523462324037	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000139687	RB1	RB1		Unknown	4		OMIM:109800;OMIM:180200;OMIM:182280;OMIM:259500	1.3086029052734376	970.0	False	80.20593872070313	1992.0	False	635.9707275390625	9.0	True	3	1	1.3086029052734376	635.9707275390625	634.6621246337891	485.9921409131932	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000104881	PPP1R13L	PPP1R13L		Unknown	1		OMIM:620519	1.5647247314453123	718.0	False	93.21106567382812	1082.0	False	628.1986907958984	18.0	True	3	1	1.5647247314453123	628.1986907958984	626.6339660644531	401.4755299583211	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000140968	IRF8	IRF8	Interferon-regulatory factors	IRF	2		OMIM:226990;OMIM:614893	1.1156402587890626	1248.0	False	91.5994384765625	1251.0	False	628.0620147705079	19.0	True	3	1	1.1156402587890626	628.0620147705079	626.9463745117188	562.9610529223985	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000099956	SMARCB1	SMARCB1		Unknown	3		OMIM:162091;OMIM:609322;OMIM:614608	1.2232269287109374	1085.0	False	98.11099853515626	643.0	False	622.359017944336	29.0	True	3	1	1.2232269287109374	622.359017944336	621.135791015625	508.78459534911576	HuangfuESC-specific	divergent_HuangfuESC
ENSG00000060566	CREB3L3	CREB3L3	CREB-related	bZIP	1		OMIM:619324	1.8289581298828128	549.0	False	106.13850708007811	160.0	False	618.4975860595703	38.0	True	3	1	1.8289581298828128	618.4975860595703	616.6686279296874	338.16935224164996	HuangfuESC-specific	divergent_HuangfuESC
