query	score	qStart	qEnd	qSize	identity	chrom	strand	tStart	tEnd	span
AARS#C	21	1	22	22	100.0%	chr16	-	70289393	70289415	22
AARS#chr16:70289419-70289437(-)	21	1	22	22	100.0%	chr16	-	70289415	70289437	22
AARS#chr16:70289477-70289495(-)	21	1	22	22	100.0%	chr16	-	70289473	70289495	22
B2M#chr15:44711560-44711578(-)	21	1	22	22	100.0%	chr15	-	44711556	44711578	22
CD151#chr11:833006-833024(+)	21	1	22	22	100.0%	chr11	+	833005	833027	22
CD151#chr11:833042-833060(-)	21	1	22	22	100.0%	chr11	-	833038	833060	22
CD29#chr10:32958199-32958217(-)	21	1	22	22	100.0%	chr10	-	32958195	32958217	22
CD55#chr1:207321714-207321732(+)	21	1	22	22	100.0%	chr1	+	207321713	207321735	22
CD81#chr11:2377315-2377333(+)	21	1	22	22	100.0%	chr11	+	2377314	2377336	22
CD81#weak	21	1	22	22	100.0%	chr11	+	2377314	2377336	22
DNAJC19# main	21	1	22	22	100.0%	chr3	-	180989298	180989320	22
DNAJC19#chr3:180989327-180989345(-)	21	1	22	22	100.0%	chr3	-	180989323	180989345	22
DNAJC19#chr3:180989630-180989648(-)	21	1	22	22	100.0%	chr3	-	180989626	180989648	22
MALAT1	21	1	22	22	100.0%	chr11	-	65497792	65497814	22
NGFRAP1	21	1	22	22	100.0%	chrX	+	103376319	103376341	22
POLR1D#C	21	1	22	22	100.0%	chr13	-	27621859	27621881	22
POLR1D#chr13:27621883-27621901(-)	21	1	22	22	100.0%	chr13	-	27621879	27621901	22
POLR1D#chr13:27621915-27621933(-)	21	1	22	22	100.0%	chr13	-	27621911	27621933	22
TFRC#chr3:196082075-196082093(-)	21	1	22	22	100.0%	chr3	-	196082071	196082093	22
