,n_cells_crispr,n_cells_hon,delta,abs_delta
AFF4#chr5:132963540-132963558(+),105,68,37,37
AFF4#chr5:132963567-132963585(+),320,143,177,177
AFF4#chr5:132963570-132963588(+),154,154,0,0
AFF4#chr5:132963573-132963591(+),89,84,5,5
AFF4#chr5:132963579-132963597(-),75,70,5,5
AFF4#chr5:132963620-132963638(+),84,81,3,3
ARID1A#chr1:26696017-26696035(-),49,44,5,5
ARID1A#chr1:26696019-26696037(+),67,59,8,8
ARID1A#chr1:26696034-26696052(+),30,27,3,3
ARID1A#chr1:26696089-26696107(-),70,59,11,11
ARID1A#chr1:26696255-26696273(+),48,46,2,2
ARID1A#chr1:26696464-26696482(-),83,75,8,8
ARID1B#chr6:156777663-156777681(+),84,79,5,5
ARID1B#chr6:156777673-156777691(-),90,87,3,3
ARID1B#chr6:156777838-156777856(+),60,54,6,6
ARID1B#chr6:156777964-156777982(+),63,60,3,3
ARID1B#chr6:156777978-156777996(+),35,34,1,1
ARID1B#chr6:156777991-156778009(+),69,63,6,6
ARID1B#chr6:156779041-156779059(-),105,101,4,4
ARID1B#chr6:156779148-156779166(+),78,61,17,17
ARID1B#chr6:156779151-156779169(+),81,74,7,7
ARID1B#chr6:156779179-156779197(-),59,55,4,4
ARID1B#chr6:156779185-156779203(-),108,85,23,23
ARID1B#chr6:156779212-156779230(+),53,49,4,4
ARNT#chr1:150876336-150876354(-),2,1,1,1
ARNT#chr1:150876496-150876514(-),93,87,6,6
ARNT#chr1:150876534-150876552(-),94,93,1,1
ARNT#chr1:150876540-150876558(-),94,90,4,4
ARNT#chr1:150876545-150876563(-),102,97,5,5
ARNT#chr1:150876694-150876712(+),64,58,6,6
BATF#chr14:75522489-75522507(-),4,3,1,1
BATF#chr14:75522501-75522519(+),47,45,2,2
BATF#chr14:75522513-75522531(+),75,73,2,2
BATF#chr14:75522520-75522538(+),54,50,4,4
BATF#chr14:75522535-75522553(+),49,47,2,2
BATF#chr14:75522554-75522572(+),55,52,3,3
BMAL1#chr11:13277791-13277809(+),59,58,1,1
BMAL1#chr11:13277812-13277830(+),65,63,2,2
BMAL1#chr11:13277815-13277833(+),9,9,0,0
BMAL1#chr11:13277842-13277860(-),96,71,25,25
BMAL1#chr11:13277874-13277892(-),88,83,5,5
BMAL1#chr11:13277877-13277895(-),61,59,2,2
CD151#strong,432,448,-16,16
CD151#weak,604,612,-8,8
CD55#strong,473,492,-19,19
CD81#strong,602,622,-20,20
CD81#weak,669,694,-25,25
CLOCK#chr4:55546719-55546737(+),63,59,4,4
CLOCK#chr4:55546763-55546781(+),7,5,2,2
CLOCK#chr4:55546775-55546793(+),46,43,3,3
CLOCK#chr4:55546778-55546796(+),87,81,6,6
CLOCK#chr4:55546809-55546827(-),38,35,3,3
CLOCK#chr4:55546817-55546835(-),35,32,3,3
CREBBP#chr16:3880184-3880202(-),58,55,3,3
CREBBP#chr16:3880190-3880208(+),104,102,2,2
CREBBP#chr16:3880623-3880641(+),19,14,5,5
CREBBP#chr16:3880650-3880668(-),52,47,5,5
CREBBP#chr16:3880656-3880674(+),32,27,5,5
CREBBP#chr16:3880675-3880693(+),67,64,3,3
CTNNB1#chr3:41199511-41199529(-),53,47,6,6
CTNNB1#chr3:41199513-41199531(+),53,53,0,0
CTNNB1#chr3:41199530-41199548(+),65,62,3,3
CTNNB1#chr3:41199540-41199558(+),0,0,0,0
CTNNB1#chr3:41199687-41199705(-),62,57,5,5
CTNNB1#chr3:41199692-41199710(-),66,65,1,1
EED#chr11:86244776-86244794(+),60,56,4,4
EED#chr11:86244781-86244799(+),52,50,2,2
EED#chr11:86244792-86244810(+),60,58,2,2
EED#chr11:86244814-86244832(+),78,71,7,7
EED#chr11:86244821-86244839(+),37,34,3,3
EED#chr11:86245196-86245214(+),27,25,2,2
EP300#chr22:41091729-41091747(-),49,45,4,4
EP300#chr22:41091732-41091750(+),45,40,5,5
EP300#chr22:41091738-41091756(+),38,34,4,4
