guide_id	n_cells_detected	frac_cells_detected	n_cells_assigned	frac_cells_assigned	total_umi	mean_umi	median_umi	std_umi	max_umi	total_cells	label	gene_name
AARS#chr16:70289397-70289415(-)	3	2.8467859786301266e-06	0	0.0	8.0	2.6666666666666665	2.0	1.699673171197595	5.0	1053820	positive_control	AARS
AARS#chr16:70289419-70289437(-)	4	3.7957146381735023e-06	0	0.0	4.0	1.0	1.0	0.0	1.0	1053820	positive_control	AARS
AARS#chr16:70289477-70289495(-)	4	3.7957146381735023e-06	0	0.0	10.0	2.5	2.5	1.5	4.0	1053820	positive_control	AARS
B2M#chr15:44711560-44711578(-)	5592	0.0053064090641665555	561	0.0005323489780038337	53898.0	9.638412017167383	1.0	29.90283761821563	463.0	1053820	positive_control	B2M
CD151#chr11:833006-833024(+)	14032	0.013315366950712646	1184	0.0011235315328993567	137323.0	9.78641676168757	1.0	34.980163065429046	640.0	1053820	positive_control	CD151
CD151#chr11:833042-833060(-)	118110	0.11207796397866808	2736	0.0025962688125106756	1766489.0	14.956303445940225	1.0	127.13743536033456	5787.0	1053820	positive_control	CD151
CD29#chr10:32958199-32958217(-)	4881	0.004631720787231216	415	0.00039380539371050083	57644.0	11.809875025609506	1.0	46.46624557545247	713.0	1053820	positive_control	CD29
CD55#chr1:207321714-207321732(+)	16874	0.016012222201134917	1221	0.0011586418933024615	206876.0	12.260045039706057	1.0	55.342383035990366	1427.0	1053820	positive_control	CD55
CD81#chr11:2377315-2377333(+)#strong	53710	0.0509669583040747	1800	0.001708071587178076	679254.0	12.646695215043753	1.0	89.14144783848116	4129.0	1053820	positive_control	CD81
CD81#chr11:2377315-2377333(+)#weak	63099	0.05987644948852745	2196	0.0020838473363572526	755899.0	11.979571784021934	1.0	78.4431408031	1847.0	1053820	positive_control	CD81
DNAJC19#chr3:180989302-180989320(-)	1047	0.0009935283065419143	121	0.00011482036780474844	9917.0	9.471824259789877	1.0	22.328127780387884	223.0	1053820	positive_control	DNAJC19
DNAJC19#chr3:180989327-180989345(-)	7075	0.006713670266269382	187	0.00017744965933461123	96749.0	13.674770318021201	1.0	98.9749275075457	1775.0	1053820	positive_control	DNAJC19
DNAJC19#chr3:180989630-180989648(-)	27938	0.026511168890322824	374	0.00035489931866922246	415807.0	14.883205669697187	1.0	157.52814205081117	4216.0	1053820	positive_control	DNAJC19
MALAT1#chr11:65497796-65497814(-)	10444	0.009910610920271014	390	0.00037008217722191643	141042.0	13.504595940252777	1.0	87.30442978624896	2106.0	1053820	positive_control	MALAT1
NGFRAP1#chrX:103376320-103376338(+)	28844	0.027370898255869122	1002	0.0009508265168624623	337125.0	11.687872694494523	1.0	81.33292071749018	3391.0	1053820	positive_control	NGFRAP1
POLR1D#chr13:27621863-27621881(-)	10	9.489286595433756e-06	1	9.489286595433756e-07	404.0	40.4	1.0	116.86847307978316	391.0	1053820	positive_control	POLR1D
POLR1D#chr13:27621883-27621901(-)	4	3.7957146381735023e-06	0	0.0	25.0	6.25	1.5	8.525696452489967	21.0	1053820	positive_control	POLR1D
POLR1D#chr13:27621915-27621933(-)	371	0.0003520525326905923	2	1.8978573190867511e-06	533.0	1.4366576819407009	1.0	3.2194077302342743	53.0	1053820	positive_control	POLR1D
TFRC#chr3:196082075-196082093(-)	15640	0.014841244235258393	953	0.0009043290125448369	203907.0	13.037531969309462	1.0	64.23103727090226	1478.0	1053820	positive_control	TFRC
non-targeting_00006	333	0.000315993243627944	24	2.2774287829041013e-05	2363.0	7.096096096096096	1.0	19.59246384236013	210.0	1053820	non_targeting	
non-targeting_00010	978	0.0009280522290334213	82	7.78121500825568e-05	13261.0	13.559304703476483	1.0	58.44178985940241	916.0	1053820	non_targeting	
non-targeting_00013	6289	0.005967812339868288	103	9.773965193296767e-05	76704.0	12.196533630147878	1.0	118.1394261358216	2722.0	1053820	non_targeting	
non-targeting_00018	554	0.00052570647738703	51	4.839536163671215e-05	5947.0	10.734657039711191	1.0	35.913705100588736	405.0	1053820	non_targeting	
non-targeting_00020	2432	0.0023077945000094893	94	8.91992939970773e-05	24025.0	9.878700657894736	1.0	59.48945760447701	1028.0	1053820	non_targeting	
non-targeting_00021	3189	0.0030261334952838247	131	0.0001243096544001822	46984.0	14.733145186578865	1.0	92.86740178206546	1753.0	1053820	non_targeting	
non-targeting_00026	1217	0.001154846178664288	44	4.1752861019908525e-05	13537.0	11.123253903040263	1.0	76.82316776811626	1657.0	1053820	non_targeting	
non-targeting_00037	232	0.00022015144901406313	24	2.2774287829041013e-05	2068.0	8.913793103448276	1.0	24.165046346380368	156.0	1053820	non_targeting	
non-targeting_00047	814	0.0007724279288683077	72	6.832286348712303e-05	9856.0	12.108108108108109	1.0	43.265458053145686	395.0	1053820	non_targeting	
non-targeting_00062	359	0.0003406653887760718	21	1.9927501850410885e-05	5575.0	15.529247910863509	1.0	75.83388683478235	868.0	1053820	non_targeting	
non-targeting_00081	380	0.0003605928906264827	20	1.8978573190867512e-05	4909.0	12.91842105263158	1.0	68.08973319031276	801.0	1053820	non_targeting	
non-targeting_00095	300	0.00028467859786301264	32	3.036571710538802e-05	2393.0	7.976666666666667	1.0	14.298815413250926	93.0	1053820	non_targeting	
non-targeting_00131	183	0.00017365394469643773	9	8.540357935890379e-06	807.0	4.409836065573771	1.0	13.948825732562144	105.0	1053820	non_targeting	
non-targeting_00148	1726	0.0016378508663718661	87	8.255679338027367e-05	26593.0	15.407300115874856	1.0	82.6114495921645	1154.0	1053820	non_targeting	
non-targeting_00158	571	0.0005418382645992674	40	3.7957146381735024e-05	4105.0	7.189141856392294	1.0	25.659005058547923	266.0	1053820	non_targeting	
non-targeting_00162	5059	0.004800630088629937	119	0.00011292251048566169	60277.0	11.914805297489622	1.0	95.59940455686656	2540.0	1053820	non_targeting	
non-targeting_00164	11126	0.010557780266079597	277	0.000262853238693515	149950.0	13.477440230091677	1.0	106.95207079096936	3184.0	1053820	non_targeting	
non-targeting_00166	6603	0.006265775938964909	421	0.0003994989656677611	70960.0	10.746630319551718	1.0	48.56196341640616	763.0	1053820	non_targeting	
non-targeting_00169	3834	0.003638192480689302	74	7.022072080620979e-05	88389.0	23.05399061032864	1.0	214.39723212148058	5931.0	1053820	non_targeting	
non-targeting_00170	4276	0.004057618948207474	83	7.876107874210018e-05	47318.0	11.065949485500468	1.0	110.80692995251542	3214.0	1053820	non_targeting	
non-targeting_00176	7439	0.00705908029834317	127	0.00012051393976200869	111164.0	14.94340637182417	1.0	149.51456386917894	4499.0	1053820	non_targeting	
non-targeting_00179	747	0.0007088497086789015	46	4.365071833899527e-05	8312.0	11.127175368139223	1.0	45.16886238294303	501.0	1053820	non_targeting	
non-targeting_00183	7547	0.0071615645935738555	122	0.00011576929646429182	106875.0	14.161256128262886	1.0	145.45296704527095	4038.0	1053820	non_targeting	
non-targeting_00186	491	0.00046592397183579736	54	5.124214761534228e-05	5181.0	10.55193482688391	1.0	28.404175765910946	282.0	1053820	non_targeting	
non-targeting_00190	12391	0.011758175020401966	222	0.00021066216241862938	191158.0	15.427164877733839	1.0	141.36550768942462	3309.0	1053820	non_targeting	
non-targeting_00205	3849	0.0036524264105824524	279	0.00026475109601260176	51005.0	13.251493894518056	1.0	58.19961116630501	1441.0	1053820	non_targeting	
non-targeting_00215	8668	0.008225313620921978	112	0.00010628000986885806	126946.0	14.645362251961236	1.0	156.92967947870088	3591.0	1053820	non_targeting	
non-targeting_00227	1901	0.0018039133817919569	86	8.160786472073029e-05	19100.0	10.047343503419253	1.0	53.122439235047075	837.0	1053820	non_targeting	
non-targeting_00234	2471	0.002344802717731681	204	0.0001935814465468486	26294.0	10.641036017806556	1.0	40.120904886133246	531.0	1053820	non_targeting	
non-targeting_00250	5851	0.00555218158698829	103	9.773965193296767e-05	60407.0	10.32421808237908	1.0	100.45580615188611	2758.0	1053820	non_targeting	
non-targeting_00265	200	0.00018978573190867512	13	1.2336072574063882e-05	3687.0	18.435	1.0	96.56089154000186	979.0	1053820	non_targeting	
non-targeting_00271	1306	0.0012393008293636485	51	4.839536163671215e-05	17502.0	13.401225114854517	1.0	83.97324082473747	1403.0	1053820	non_targeting	
non-targeting_00284	822	0.0007800193581446547	32	3.036571710538802e-05	8082.0	9.832116788321168	1.0	56.77810173935939	824.0	1053820	non_targeting	
non-targeting_00287	2382	0.0022603480670323204	57	5.408893359397241e-05	29663.0	12.45298068849706	1.0	103.2322917480058	2263.0	1053820	non_targeting	
