guide_id	n_cells_detected	frac_cells_detected	n_cells_assigned	frac_cells_assigned	total_umi	mean_umi	median_umi	std_umi	max_umi	total_cells	label	gene_name
AARS#chr16:70289397-70289415(-)	17	1.693073635756122e-05	10	9.959256680918363e-06	139.0	8.176470588235293	8.0	7.106213471054312	29.0	1004091	positive_control	AARS
AARS#chr16:70289419-70289437(-)	4	3.9837026723673455e-06	1	9.959256680918364e-07	12.0	3.0	2.0	2.449489742783178	7.0	1004091	positive_control	AARS
AARS#chr16:70289477-70289495(-)	1	9.959256680918364e-07	0	0.0	1.0	1.0	1.0	0.0	1.0	1004091	positive_control	AARS
B2M#chr15:44711560-44711578(-)	3042	0.003029605882335366	1071	0.0010666363905263566	45740.0	15.036160420775806	1.0	32.38023003762002	337.0	1004091	positive_control	B2M
CD151#chr11:833006-833024(+)	5264	0.005242552716835426	1885	0.0018773198843531115	137571.0	26.1343085106383	1.0	60.21168654660224	825.0	1004091	positive_control	CD151
CD151#chr11:833042-833060(-)	44619	0.044437207384589644	3767	0.0037516519917019475	1256331.0	28.156861426746453	1.0	142.923277022921	3955.0	1004091	positive_control	CD151
CD29#chr10:32958199-32958217(-)	1046	0.0010417382488240607	460	0.0004581258073222447	20452.0	19.552581261950287	1.0	35.97862399189929	279.0	1004091	positive_control	CD29
CD55#chr1:207321714-207321732(+)	2914	0.002902127396819611	1190	0.0011851515450292851	44127.0	15.143102264927935	1.0	31.842684078003415	503.0	1004091	positive_control	CD55
CD81#chr11:2377315-2377333(+)#strong	29661	0.029540151241271958	3358	0.0033443183934523863	766639.0	25.846701055257746	1.0	105.62098427010342	2806.0	1004091	positive_control	CD81
CD81#chr11:2377315-2377333(+)#weak	37347	0.03719483592622581	3737	0.003721774221659192	927278.0	24.828714488446195	1.0	106.78892578178514	2635.0	1004091	positive_control	CD81
DNAJC19#chr3:180989302-180989320(-)	632	0.0006294250222340405	297	0.00029578992342327537	9079.0	14.365506329113924	2.0	25.44541713599216	230.0	1004091	positive_control	DNAJC19
DNAJC19#chr3:180989327-180989345(-)	3245	0.003231778792958009	334	0.00033263917314267335	85766.0	26.43020030816641	1.0	119.88733211115465	1546.0	1004091	positive_control	DNAJC19
DNAJC19#chr3:180989630-180989648(-)	11188	0.011142416374611464	849	0.000845540892209969	410745.0	36.712996067214874	1.0	224.0215996353465	4100.0	1004091	positive_control	DNAJC19
MALAT1#chr11:65497796-65497814(-)	647	0.000644363907255418	121	0.0001205070058391122	12331.0	19.058732612055643	1.0	76.20220161115783	1006.0	1004091	positive_control	MALAT1
