chromosome	start	end	seq_name	seq_class	seq_score	gene_name
chr1	778326	778796	intergenic|chr1:778176-778946	intergenic	0.036547	FAM41C
chr1	778326	778796	intergenic|chr1:778176-778946	intergenic	0.093148	LINC01128
chr1	778326	778796	intergenic|chr1:778176-778946	intergenic	0.09329	LINC00115
chr1	778326	778796	intergenic|chr1:778176-778946	intergenic	0.128446	FAM87B
chr1	778326	778796	intergenic|chr1:778176-778946	intergenic	0.021932	OR4F5
chr1	778326	778796	intergenic|chr1:778176-778946	intergenic	0.021449	FAM138F
chr1	778326	778796	intergenic|chr1:778176-778946	intergenic	0.021449	FAM138A
chr1	869829	870029	genic|chr1:869679-870179	genic	0.117447	FAM41C
chr1	869829	870029	genic|chr1:869679-870179	genic	0.022821	LINC01128
chr1	869829	870029	genic|chr1:869679-870179	genic	0.022786	LINC00115
chr1	869829	870029	genic|chr1:869679-870179	genic	0.019848	FAM87B
chr1	904676	904876	intergenic|chr1:904526-905026	intergenic	0.021201	SAMD11
chr1	904676	904876	intergenic|chr1:904526-905026	intergenic	0.03426	FAM41C
chr1	904676	904876	intergenic|chr1:904526-905026	intergenic	0.015153	LINC01128
chr1	904676	904876	intergenic|chr1:904526-905026	intergenic	0.015141	LINC00115
chr1	905376	905576	intergenic|chr1:905226-905726	intergenic	0.017197	FAM41C
chr1	912919	913119	intergenic|chr1:912769-913269	intergenic	0.015964	SAMD11
chr1	919736	919936	intergenic|chr1:919586-920086	intergenic	0.028737	SAMD11
chr1	921145	921345	intergenic|chr1:920995-921495	intergenic	0.02004	PLEKHN1
chr1	921145	921345	intergenic|chr1:920995-921495	intergenic	0.023511	KLHL17
chr1	921145	921345	intergenic|chr1:920995-921495	intergenic	0.024516	NOC2L
chr1	921145	921345	intergenic|chr1:920995-921495	intergenic	0.160264	SAMD11
chr1	921145	921345	intergenic|chr1:920995-921495	intergenic	0.037138	FAM41C
chr1	921145	921345	intergenic|chr1:920995-921495	intergenic	0.021648	LINC01128
chr1	921145	921345	intergenic|chr1:920995-921495	intergenic	0.021634	LINC00115
chr1	921145	921345	intergenic|chr1:920995-921495	intergenic	0.021131	FAM87B
chr1	923717	923917	intergenic|chr1:923567-924067	intergenic	0.079941	SAMD11
chr1	923717	923917	intergenic|chr1:923567-924067	intergenic	0.017487	FAM41C
chr1	924776	924976	intergenic|chr1:924626-925126	intergenic	0.053356	SAMD11
chr1	928914	929114	genic|chr1:928764-929264	genic	0.031574	SAMD11
chr1	931667	931867	genic|chr1:931517-932017	genic	0.021993	SAMD11
chr1	932237	932726	genic|chr1:932087-932876	genic	0.029363	SAMD11
chr1	933680	933880	genic|chr1:933530-934030	genic	0.015868	SAMD11
chr1	935868	936068	genic|chr1:935718-936218	genic	0.023558	SAMD11
chr1	940337	940537	genic|chr1:940187-940687	genic	0.017717	KLHL17
chr1	940337	940537	genic|chr1:940187-940687	genic	0.019104	NOC2L
chr1	940337	940537	genic|chr1:940187-940687	genic	0.020173	SAMD11
chr1	940849	941049	genic|chr1:940699-941199	genic	0.017953	PLEKHN1
chr1	940849	941049	genic|chr1:940699-941199	genic	0.023893	KLHL17
chr1	940849	941049	genic|chr1:940699-941199	genic	0.025811	NOC2L
chr1	940849	941049	genic|chr1:940699-941199	genic	0.025585	SAMD11
chr1	941635	942096	genic|chr1:941485-942246	genic	0.022383	PLEKHN1
chr1	941635	942096	genic|chr1:941485-942246	genic	0.030135	KLHL17
chr1	941635	942096	genic|chr1:941485-942246	genic	0.032669	NOC2L
chr1	941635	942096	genic|chr1:941485-942246	genic	0.02894	SAMD11
chr1	941635	942096	genic|chr1:941485-942246	genic	0.015057	FAM41C
chr1	942509	942709	genic|chr1:942359-942859	genic	0.015346	NOC2L
chr1	951444	951644	genic|chr1:951294-951794	genic	0.017069	KLHL17
chr1	951444	951644	genic|chr1:951294-951794	genic	0.020132	NOC2L
chr1	971812	972189	genic|chr1:971662-972339	genic	0.016958	PERM1
chr1	971812	972189	genic|chr1:971662-972339	genic	0.034151	PLEKHN1
chr1	971812	972189	genic|chr1:971662-972339	genic	0.016449	KLHL17
chr1	973391	973591	genic|chr1:973241-973741	genic	0.018838	PLEKHN1
chr1	975881	976325	genic|chr1:975731-976475	genic	0.054828	PERM1
chr1	975881	976325	genic|chr1:975731-976475	genic	0.036646	PLEKHN1
chr1	975881	976325	genic|chr1:975731-976475	genic	0.022798	KLHL17
chr1	975881	976325	genic|chr1:975731-976475	genic	0.021175	NOC2L
chr1	984013	984433	intergenic|chr1:983863-984583	intergenic	0.022781	HES4
