gene_symbol	hgnc_approved_symbol	n_promoters_in_target_library	ensembl_gene_id	ensembl_gene_id_source	in_lambert_2018	lambert_2018_is_tf	lambert_2018_dbd	lambert_2018_tf_assessment	lambert_2018_binding_mode	in_jaspar_core	jaspar_matrix_ids	jaspar_base_ids	jaspar_tf_class	jaspar_tf_family	jaspar_uniprot_ids
AATF	AATF	1	ENSG00000275700	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
ADNP	ADNP	1	ENSG00000101126	gtf_direct	True	Yes	Homeodomain	Likely to be sequence specific TF	Monomer or homomultimer	False					
ADNP2	ADNP2	1	ENSG00000101544	gtf_direct	True	Yes	Homeodomain	Likely to be sequence specific TF	Monomer or homomultimer	False					
AEBP1	AEBP1	1	ENSG00000106624	gtf_direct	True	Yes	Unknown	Likely to be sequence specific TF	Monomer or homomultimer	False					
AEBP2	AEBP2	1	ENSG00000139154	gtf_direct	True	Yes	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer	False					
AFF1	AFF1	1	ENSG00000172493	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
AFF2	AFF2	1	ENSG00000155966	gtf_direct	False					False					
AFF3	AFF3	1	ENSG00000144218	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
AFF4	AFF4	1	ENSG00000072364	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
AHCTF1	AHCTF1	1	ENSG00000153207	gtf_direct	True	Yes	AT hook	Likely to be sequence specific TF	Monomer or homomultimer	False					
AHCY	AHCY	1	ENSG00000101444	gtf_direct	False					False					
AHDC1	AHDC1	1	ENSG00000126705	gtf_direct	True	Yes	AT hook	Likely to be sequence specific TF	Monomer or homomultimer	False					
AHR	AHR	1	ENSG00000106546	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	False					
AHRR	AHRR	1	ENSG00000063438	gtf_direct	True	Yes	bHLH	Inferred motif	Monomer or homomultimer	False					
AIRE	AIRE	1	ENSG00000160224	gtf_direct	True	Yes	SAND	Known motif	Monomer or homomultimer	False					
AKAP8	AKAP8	1	ENSG00000105127	gtf_direct	True	Yes	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer	False					
AKAP8L	AKAP8L	1	ENSG00000011243	gtf_direct	True	Yes	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer	False					
AKNA	AKNA	2	ENSG00000106948	gtf_direct	True	Yes	AT hook	Likely to be sequence specific TF	Monomer or homomultimer	False					
ALX1	ALX1	1	ENSG00000180318	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	False					
ALX3	ALX3	1	ENSG00000156150	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	True	MA0634.1;MA0634.2	MA0634	Homeo domain factors	Paired-related HD factors	O95076
ALX4	ALX4	1	ENSG00000052850	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	False					
ALYREF	ALYREF	1	ENSG00000183684	gtf_direct	False					False					
ANHX	ANHX	1	ENSG00000227059	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	False					
ANKRD1	ANKRD1	1	ENSG00000148677	gtf_direct	False					False					
ANKRD30A	ANKRD30A	1	ENSG00000148513	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
ANKZF1	ANKZF1	1	ENSG00000163516	gtf_direct	True	Yes	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer	False					
APITD1	CENPS	1	ENSG00000175279	hgnc_alias	True	Yes	Unknown	Likely to be sequence specific TF	Low specificity DNA-binding protein	False					
APITD1-CORT	CENPS-CORT	1	ENSG00000251503	hgnc_alias	False					False					
AR	AR	1	ENSG00000169083	gtf_direct	True	Yes	Nuclear receptor	Known motif	Monomer or homomultimer	True	MA0007.2	MA0007	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	P10275
ARGFX	ARGFX	1	ENSG00000186103	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	True	MA1463.1;MA1463.2	MA1463	Homeo domain factors	Paired-related HD factors	A6NJG6
ARHGAP35	ARHGAP35	1	ENSG00000160007	gtf_direct	True	Yes	Unknown	Likely to be sequence specific TF	Monomer or homomultimer	False					
