gene_id	gene_id_versioned	gene_symbol	gene_type	chr	start	end	strand
ENSG00000290825	ENSG00000290825.1	DDX11L2	lncRNA	chr1	11869	14409	+
ENSG00000223972	ENSG00000223972.6	DDX11L1	transcribed_unprocessed_pseudogene	chr1	12010	13670	+
ENSG00000227232	ENSG00000227232.5	WASH7P	unprocessed_pseudogene	chr1	14404	29570	-
ENSG00000278267	ENSG00000278267.1	MIR6859-1	miRNA	chr1	17369	17436	-
ENSG00000243485	ENSG00000243485.5	MIR1302-2HG	lncRNA	chr1	29554	31109	+
ENSG00000284332	ENSG00000284332.1	MIR1302-2	miRNA	chr1	30366	30503	+
ENSG00000237613	ENSG00000237613.2	FAM138A	lncRNA	chr1	34554	36081	-
ENSG00000268020	ENSG00000268020.3	OR4G4P	unprocessed_pseudogene	chr1	52473	53312	+
ENSG00000290826	ENSG00000290826.1	ENSG00000290826	lncRNA	chr1	57598	64116	+
ENSG00000240361	ENSG00000240361.3	OR4G11P	transcribed_unprocessed_pseudogene	chr1	62949	63887	+
ENSG00000186092	ENSG00000186092.7	OR4F5	protein_coding	chr1	65419	71585	+
ENSG00000238009	ENSG00000238009.6	ENSG00000238009	lncRNA	chr1	89295	133723	-
ENSG00000239945	ENSG00000239945.1	ENSG00000239945	lncRNA	chr1	89551	91105	-
ENSG00000233750	ENSG00000233750.3	CICP27	processed_pseudogene	chr1	131025	134836	+
ENSG00000268903	ENSG00000268903.1	ENSG00000268903	processed_pseudogene	chr1	135141	135895	-
ENSG00000269981	ENSG00000269981.1	ENSG00000269981	processed_pseudogene	chr1	137682	137965	-
ENSG00000239906	ENSG00000239906.1	ENSG00000239906	lncRNA	chr1	139790	140339	-
ENSG00000241860	ENSG00000241860.7	ENSG00000241860	lncRNA	chr1	141474	173862	-
ENSG00000222623	ENSG00000222623.1	RNU6-1100P	snRNA	chr1	157784	157887	-
ENSG00000241599	ENSG00000241599.1	ENSG00000241599	lncRNA	chr1	160446	161525	+
ENSG00000279928	ENSG00000279928.2	DDX11L17	unprocessed_pseudogene	chr1	182696	184174	+
ENSG00000279457	ENSG00000279457.4	WASH9P	unprocessed_pseudogene	chr1	185217	195411	-
ENSG00000273874	ENSG00000273874.1	MIR6859-2	miRNA	chr1	187891	187958	-
ENSG00000228463	ENSG00000228463.10	ENSG00000228463	transcribed_processed_pseudogene	chr1	257864	359681	-
ENSG00000286448	ENSG00000286448.1	ENSG00000286448	lncRNA	chr1	266855	268655	+
ENSG00000236679	ENSG00000236679.2	RPL23AP24	processed_pseudogene	chr1	347982	348366	-
ENSG00000236601	ENSG00000236601.2	ENSG00000236601	lncRNA	chr1	358857	366052	+
ENSG00000290385	ENSG00000290385.1	ENSG00000290385	lncRNA	chr1	365389	522928	-
ENSG00000269732	ENSG00000269732.1	WBP1LP7	processed_pseudogene	chr1	439870	440232	+
ENSG00000284733	ENSG00000284733.2	OR4F29	protein_coding	chr1	450740	451678	-
ENSG00000237094	ENSG00000237094.13	ENSG00000237094	transcribed_unprocessed_pseudogene	chr1	485026	485208	-
ENSG00000233653	ENSG00000233653.3	CICP7	processed_pseudogene	chr1	487101	489906	+
ENSG00000250575	ENSG00000250575.1	ENSG00000250575	unprocessed_pseudogene	chr1	491225	493241	-
ENSG00000278757	ENSG00000278757.1	U6	snRNA	chr1	516376	516479	-
ENSG00000230021	ENSG00000230021.10	ENSG00000230021	transcribed_processed_pseudogene	chr1	586071	827796	-
ENSG00000235146	ENSG00000235146.2	ENSG00000235146	lncRNA	chr1	587629	594768	+
ENSG00000225972	ENSG00000225972.1	MTND1P23	unprocessed_pseudogene	chr1	629062	629433	+
ENSG00000225630	ENSG00000225630.1	MTND2P28	unprocessed_pseudogene	chr1	629640	630683	+
ENSG00000237973	ENSG00000237973.1	MTCO1P12	unprocessed_pseudogene	chr1	631074	632616	+
ENSG00000278791	ENSG00000278791.1	ENSG00000278791	miRNA	chr1	632325	632413	-
ENSG00000229344	ENSG00000229344.1	MTCO2P12	unprocessed_pseudogene	chr1	632757	633438	+
ENSG00000240409	ENSG00000240409.1	MTATP8P1	unprocessed_pseudogene	chr1	633535	633741	+
