guide_id	n_cells_detected	frac_cells_detected	n_cells_assigned	frac_cells_assigned	total_umi	mean_umi	median_umi	std_umi	max_umi	total_cells	gene_name
AARS#chr16:70289397-70289415(-)	15	1.4012104590085222e-05	8	7.4731224480454516e-06	99.0	6.6	7.0	6.290733926445572	26.0	1070503	AARS
AARS#chr16:70289419-70289437(-)	2	1.8682806120113629e-06	0	0.0	6.0	3.0	3.0	1.0	4.0	1070503	AARS
AARS#chr16:70289477-70289495(-)	1	9.341403060056814e-07	0	0.0	1.0	1.0	1.0	0.0	1.0	1070503	AARS
B2M#chr15:44711560-44711578(-)	2517	0.0023512311502163004	1068	0.0009976618468140678	31843.0	12.651172030194676	1.0	23.56345231242276	254.0	1070503	B2M
CD151#chr11:833006-833024(+)	4315	0.004030815420414516	1904	0.0017786031426348175	92533.0	21.44449594438007	1.0	42.975606697055426	625.0	1070503	CD151
CD151#chr11:833042-833060(-)	33115	0.03093405623337814	3788	0.0035385234791495213	857532.0	25.895576022950326	1.0	110.68671552160409	2707.0	1070503	CD151
CD29#chr10:32958199-32958217(-)	889	0.0008304507320390508	464	0.00043344110198663616	13632.0	15.334083239595051	3.0	24.4904833857054	181.0	1070503	CD29
CD55#chr1:207321714-207321732(+)	2465	0.002302655854304005	1179	0.0011013514207806985	29963.0	12.155375253549696	2.0	22.273821409759716	300.0	1070503	CD55
CD81#chr11:2377315-2377333(+)#strong	21481	0.020066267913308043	3457	0.0032293230378616406	521142.0	24.260602392812253	1.0	81.69596714811658	1898.0	1070503	CD81
CD81#chr11:2377315-2377333(+)#weak	25593	0.023907452851603405	3843	0.003589901195979834	594821.0	23.241550423944048	1.0	79.78041816574232	1734.0	1070503	CD81
DNAJC19#chr3:180989302-180989320(-)	583	0.0005446037984013122	294	0.00027463724996567033	6399.0	10.975986277873071	2.0	17.781389456148677	180.0	1070503	DNAJC19
DNAJC19#chr3:180989327-180989345(-)	2343	0.0021886907369713117	328	0.0003063980203698635	57779.0	24.660264618011098	1.0	90.99445741736774	944.0	1070503	DNAJC19
DNAJC19#chr3:180989630-180989648(-)	7929	0.007406798486319048	756	0.0007062100713402952	275449.0	34.73943750788246	1.0	172.06714823965802	2836.0	1070503	DNAJC19
MALAT1#chr11:65497796-65497814(-)	427	0.000398877910664426	94	8.780918876453406e-05	7953.0	18.625292740046838	1.0	58.335499952059145	706.0	1070503	MALAT1
NGFRAP1#chrX:103376320-103376338(+)	21839	0.02040069014285808	2362	0.0022064394027854197	649668.0	29.748065387609323	1.0	128.526757982723	2669.0	1070503	NGFRAP1
POLR1D#chr13:27621863-27621881(-)	48	4.483873468827271e-05	17	1.5880385202096583e-05	853.0	17.770833333333332	1.0	45.055632085665934	245.0	1070503	POLR1D
