gene_symbol	hgnc_approved_symbol	ensembl_gene_id	n_promoters_in_target_library	in_lambert_2018	lambert_2018_dbd	jaspar_tf_class	jaspar_tf_family
AATF	AATF	ENSG00000275700	1	True	Unknown		
ADNP	ADNP	ENSG00000101126	1	True	Homeodomain		
ADNP2	ADNP2	ENSG00000101544	1	True	Homeodomain		
AEBP1	AEBP1	ENSG00000106624	1	True	Unknown		
AEBP2	AEBP2	ENSG00000139154	1	True	C2H2 ZF		
AFF1	AFF1	ENSG00000172493	1	True	Unknown		
AFF2	AFF2	ENSG00000155966	1	False			
AFF3	AFF3	ENSG00000144218	1	True	Unknown		
AFF4	AFF4	ENSG00000072364	1	True	Unknown		
AHCTF1	AHCTF1	ENSG00000153207	1	True	AT hook		
AHCY	AHCY	ENSG00000101444	1	False			
AHDC1	AHDC1	ENSG00000126705	1	True	AT hook		
AHR	AHR	ENSG00000106546	1	True	bHLH		
AHRR	AHRR	ENSG00000063438	1	True	bHLH		
AIRE	AIRE	ENSG00000160224	1	True	SAND		
AKAP8	AKAP8	ENSG00000105127	1	True	C2H2 ZF		
AKAP8L	AKAP8L	ENSG00000011243	1	True	C2H2 ZF		
AKNA	AKNA	ENSG00000106948	2	True	AT hook		
ALX1	ALX1	ENSG00000180318	1	True	Homeodomain		
ALX3	ALX3	ENSG00000156150	1	True	Homeodomain	Homeo domain factors	Paired-related HD factors
ALX4	ALX4	ENSG00000052850	1	True	Homeodomain		
ALYREF	ALYREF	ENSG00000183684	1	False			
ANHX	ANHX	ENSG00000227059	1	True	Homeodomain		
ANKRD1	ANKRD1	ENSG00000148677	1	False			
ANKRD30A	ANKRD30A	ENSG00000148513	1	True	Unknown		
ANKZF1	ANKZF1	ENSG00000163516	1	True	C2H2 ZF		
APITD1	CENPS	ENSG00000175279	1	True	Unknown		
APITD1-CORT	CENPS-CORT	ENSG00000251503	1	False			
AR	AR	ENSG00000169083	1	True	Nuclear receptor	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
ARGFX	ARGFX	ENSG00000186103	1	True	Homeodomain	Homeo domain factors	Paired-related HD factors
ARHGAP35	ARHGAP35	ENSG00000160007	1	True	Unknown		
ARID1A	ARID1A	ENSG00000117713	1	True	ARID/BRIGHT		
ARID1B	ARID1B	ENSG00000049618	2	True	ARID/BRIGHT		
ARID2	ARID2	ENSG00000189079	1	True	ARID/BRIGHT; RFX		
ARID3A	ARID3A	ENSG00000116017	1	True	ARID/BRIGHT		
ARID3B	ARID3B	ENSG00000179361	1	True	ARID/BRIGHT		
ARID3C	ARID3C	ENSG00000205143	1	True	ARID/BRIGHT		
ARID4A	ARID4A	ENSG00000032219	1	True	ARID/BRIGHT		
ARID4B	ARID4B	ENSG00000054267	1	True	ARID/BRIGHT		
ARID5A	ARID5A	ENSG00000196843	1	True	ARID/BRIGHT		
ARID5B	ARID5B	ENSG00000150347	1	True	ARID/BRIGHT		
ARNT	ARNT	ENSG00000143437	1	True	bHLH		
ARNT2	ARNT2	ENSG00000172379	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	PAS domain factors
ARNTL	BMAL1	ENSG00000133794	1	True	bHLH		
ARNTL2	BMAL2	ENSG00000029153	1	True	bHLH		
ARX	ARX	ENSG00000004848	2	True	Homeodomain		
ASCL1	ASCL1	ENSG00000139352	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	MyoD/ASC-related factors
ASCL2	ASCL2	ENSG00000183734	1	True	bHLH		
ASCL3	ASCL3	ENSG00000176009	1	True	bHLH		
ASCL4	ASCL4	ENSG00000187855	1	True	bHLH		
ASCL5	ASCL5	ENSG00000232237	1	True	bHLH		
ASH1L	ASH1L	ENSG00000116539	1	True	AT hook		
ATF1	ATF1	ENSG00000123268	1	True	bZIP		
ATF2	ATF2	ENSG00000115966	1	True	bZIP	Basic leucine zipper factors (bZIP)	Jun-related
ATF3	ATF3	ENSG00000162772	1	True	bZIP	Basic leucine zipper factors (bZIP)	Fos-related
ATF4	ATF4	ENSG00000128272	1	True	bZIP	Basic leucine zipper factors (bZIP)	ATF-4-related factors
ATF5	ATF5	ENSG00000169136	1	True	bZIP		
ATF6	ATF6	ENSG00000118217	1	True	bZIP	Basic leucine zipper factors (bZIP)	Jun-related
ATF6B	ATF6B	ENSG00000213676	1	True	bZIP		
ATF7	ATF7	ENSG00000170653	1	True	bZIP	Basic leucine zipper factors (bZIP)	Jun-related
ATMIN	ATMIN	ENSG00000166454	1	True	C2H2 ZF		
ATN1	ATN1	ENSG00000111676	1	False			
ATOH1	ATOH1	ENSG00000172238	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Tal-related
ATOH7	ATOH7	ENSG00000179774	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Tal-related
ATOH8	ATOH8	ENSG00000168874	1	True	bHLH		
ATXN7	ATXN7	ENSG00000163635	2	True	Unknown		
BACH1	BACH1	ENSG00000156273	1	True	bZIP	Basic leucine zipper factors (bZIP)	Jun-related
BACH2	BACH2	ENSG00000112182	1	True	bZIP	Basic leucine zipper factors (bZIP)	Jun-related
BARHL1	BARHL1	ENSG00000125492	1	True	Homeodomain	Homeo domain factors	NK
BARHL2	BARHL2	ENSG00000143032	1	True	Homeodomain	Homeo domain factors	NK
BARX1	BARX1	ENSG00000131668	1	True	Homeodomain	Homeo domain factors	NK
BARX2	BARX2	ENSG00000043039	1	True	Homeodomain	Homeo domain factors	NK
BATF	BATF	ENSG00000156127	1	True	bZIP	Basic leucine zipper factors (bZIP)	B-ATF-related factors
BATF2	BATF2	ENSG00000168062	1	True	bZIP		
BATF3	BATF3	ENSG00000123685	1	True	bZIP	Basic leucine zipper factors (bZIP)	B-ATF-related factors
BAZ1B	BAZ1B	ENSG00000009954	1	False			
BAZ2A	BAZ2A	ENSG00000076108	2	True	MBD; AT hook		
BAZ2B	BAZ2B	ENSG00000123636	1	True	MBD		
BBX	BBX	ENSG00000114439	1	True	HMG/Sox		
BCL11A	BCL11A	ENSG00000119866	1	True	C2H2 ZF	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
BCL11B	BCL11B	ENSG00000127152	1	True	C2H2 ZF		
BCL3	BCL3	ENSG00000069399	1	True	Unknown		
BCL6	BCL6	ENSG00000113916	1	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
BCL6B	BCL6B	ENSG00000161940	1	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
BCLAF1	BCLAF1	ENSG00000029363	1	True	Unknown		
BDP1	BDP1	ENSG00000145734	1	True	Unknown		
BHLHA15	BHLHA15	ENSG00000180535	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Tal-related
BHLHA9	BHLHA9	ENSG00000205899	1	True	bHLH		
BHLHB9	GPRASP3	ENSG00000198908	1	False			
BHLHE22	BHLHE22	ENSG00000180828	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Tal-related
BHLHE23	BHLHE23	ENSG00000125533	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Tal-related
BHLHE40	BHLHE40	ENSG00000134107	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
BHLHE41	BHLHE41	ENSG00000123095	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
BID	BID	ENSG00000015475	1	False			
BLZF1	BLZF1	ENSG00000117475	1	True	Unknown		
BMP2	BMP2	ENSG00000125845	2	True	Unknown		
BNC1	BNC1	ENSG00000169594	1	True	C2H2 ZF		
BNC2	BNC2	ENSG00000173068	1	True	C2H2 ZF	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
BOLA1	BOLA1	ENSG00000178096	2	True	Unknown		
BOLA2	BOLA2	ENSG00000183336	1	True	Unknown		
BOLA2B	BOLA2B	ENSG00000169627	1	True	Unknown		
