,index,x,y,cluster
0,ENSG00000010803|chr1:41160713-41160902,-46.404278,-40.53256,18
1,ENSG00000022976|chr14:102319739-102319958,-2.7408774,-31.386076,13
2,ENSG00000043355|chr13:99981848-99982255,-61.890846,-59.314575,18
3,ENSG00000049618|chr6:156777663-156778009,118.4161,13.360544,7
4,ENSG00000049618|chr6:156779041-156779230,67.49346,1.2981223,0
5,ENSG00000060566|chr19:4153665-4154011,-59.180832,-56.077755,16
6,ENSG00000062370|chr19:44356328-44356682,-13.781668,49.653347,16
7,ENSG00000063515|chr22:19149909-19150251,55.89651,-91.3416,13
8,ENSG00000064995|chr6:34887946-34888054,118.23737,11.679,7
9,ENSG00000065526|chr1:15847812-15848268,3.7142944,-35.016506,13
10,ENSG00000068305|chr15:99565983-99566412,13.143073,68.965775,9
11,ENSG00000069812|chr1:6424593-6424687,22.44566,9.038588,13
12,ENSG00000074219|chr19:49361570-49362385,0.92448574,70.825745,9
13,ENSG00000078399|chr7:27165269-27165544,47.62333,-44.85766,1
14,ENSG00000080298|chr9:3525576-3525992,-67.14654,75.60234,14
15,ENSG00000080603|chr16:30698167-30699349,23.361963,-9.311505,13
16,ENSG00000087903|chr19:6110396-6110505,47.67482,-42.14725,1
17,ENSG00000089225|chr12:114405669-114406173,-57.08353,-89.74288,2
18,ENSG00000095794|chr10:35127292-35127389,23.929169,-44.363026,1
19,ENSG00000099956|chr22:23791770-23791831,22.154724,-42.551327,7
20,ENSG00000101115|chr20:51801947-51802476,-30.626215,-37.323715,18
21,ENSG00000101544|chr18:80109299-80109786,20.561562,-9.266506,13
22,ENSG00000103495|chr16:29806750-29806974,-58.143448,-85.80602,2
23,ENSG00000104881|chr19:45404905-45405041,-12.4499,62.751324,16
24,ENSG00000104903|chr19:13102421-13102889,116.716965,0.03562574,7
25,ENSG00000105127|chr19:15379705-15379777,18.144695,16.511175,13
26,ENSG00000105419|chr19:47419060-47419533,73.053955,-41.433304,17
27,ENSG00000105732|chr19:42076166-42076229,-61.257614,-70.49099,12
28,ENSG00000106261|chr7:100015610-100015983,111.37289,54.23779,19
29,ENSG00000108511|chr17:48604687-48604981,119.85205,3.0066216,7
30,ENSG00000108773|chr17:42121038-42121356,64.36076,-42.235435,17
31,ENSG00000108813|chr17:49968574-49969214,-41.75413,-103.738045,2
32,ENSG00000110693|chr11:16475902-16476367,66.75135,-39.90977,17
33,ENSG00000112182|chr6:90296557-90296779,24.517982,-60.526554,1
34,ENSG00000112658|chr6:43171413-43171886,-54.91041,71.94348,14
35,ENSG00000113722|chr5:150166777-150167060,-24.55033,77.94701,3
36,ENSG00000113916|chr3:187745312-187745447,21.055233,-41.525745,7
37,ENSG00000115041|chr2:95346509-95346970,65.280136,-1.6626924,0
38,ENSG00000115738|chr2:8682041-8682266,-66.855064,-61.375088,16
39,ENSG00000115966|chr2:175167692-175168186,-31.53459,-34.68292,18
40,ENSG00000116478|chr1:32292127-32292611,-25.771091,76.944695,3
41,ENSG00000116990|chr1:39901438-39901871,-50.180717,-41.991413,18
42,ENSG00000117133|chr1:84479276-84479689,12.993809,78.07877,4
43,ENSG00000117595|chr1:209805880-209806138,-130.56117,-57.8971,1
44,ENSG00000117707|chr1:213987944-213988486,-101.6077,30.24639,5
45,ENSG00000118260|chr2:207529949-207530028,-100.64833,29.106058,5
46,ENSG00000118495|chr6:144064515-144064585,66.01489,22.650932,6
47,ENSG00000118689|chr6:108560893-108561192,-64.4943,-66.165855,12
48,ENSG00000120149|chr5:174724606-174724960,67.875175,8.481178,0
49,ENSG00000121060|chr17:56913644-56914016,45.17768,-46.582024,1
50,ENSG00000121413|chr19:58098124-58098236,65.13375,-26.978409,0
51,ENSG00000123407|chr12:53954897-53955178,21.067188,7.6607213,13
52,ENSG00000124203|chr20:59191056-59191404,-15.982902,15.815004,13
53,ENSG00000124613|chr6:27388991-27389183,64.9554,-28.570566,7
54,ENSG00000124664|chr6:34555882-34556298,4.494825,-29.53213,13
55,ENSG00000124813|chr6:45422307-45422407,64.984825,23.538845,6
56,ENSG00000125285|chr13:94712239-94712536,117.67424,7.827107,7
57,ENSG00000125812|chr20:23362171-23362428,116.984,3.9985907,7
58,ENSG00000125945|chr1:23369540-23369830,55.116867,-88.90877,13
59,ENSG00000126003|chr20:32207339-32207732,-5.8562503,55.004112,16
60,ENSG00000126012|chrX:53224936-53225167,66.1054,1.5900111,0
61,ENSG00000127989|chr7:91880485-91880726,-17.05183,-31.23643,18
62,ENSG00000128000|chr19:40055862-40056189,-31.626862,80.03854,8
63,ENSG00000128709|chr2:176122703-176123019,113.8491,-2.260706,7
64,ENSG00000129993|chr16:88941114-88941358,2.3114805,71.21568,9
65,ENSG00000130522|chr19:18281310-18281622,24.247932,-61.937595,1
66,ENSG00000130711|chr9:130664216-130664865,-34.708145,-32.091736,18
67,ENSG00000131408|chr19:50376443-50376703,112.9891,4.152797,7
68,ENSG00000131914|chr1:26410815-26411291,-72.387596,68.91017,5
69,ENSG00000132604|chr16:69385778-69385971,-7.9674563,59.655067,16
70,ENSG00000133794|chr11:13277791-13277895,-13.792947,16.73252,13
71,ENSG00000134323|chr2:15940571-15940796,-96.985565,21.873093,5
72,ENSG00000136367|chr14:23555709-23555907,-15.045468,-32.278683,18
73,ENSG00000137947|chr1:88891086-88891504,13.9710865,66.23431,10
74,ENSG00000139154|chr12:19439636-19440076,77.53535,-50.26147,17
75,ENSG00000139687|chr13:48303814-48303919,-75.6716,79.11971,14
76,ENSG00000140968|chr16:85899166-85899243,-98.028656,20.772743,5
77,ENSG00000141579|chr17:82839794-82839974,-92.84071,24.648975,5
78,ENSG00000142528|chr19:50025980-50026224,-106.07984,3.2106142,14
79,ENSG00000143365|chr1:151831572-151831764,-10.1864805,-32.991234,13
80,ENSG00000143498|chr1:222589794-222589893,-29.24333,83.367805,11
81,ENSG00000144355|chr2:172084789-172085206,66.75758,9.453362,0
82,ENSG00000146007|chr5:140700458-140700950,-22.066397,76.648994,3
83,ENSG00000146285|chr6:107824001-107824322,-74.497734,78.15741,14
84,ENSG00000146587|chr7:5045853-5046293,-13.804151,46.587162,16
85,ENSG00000148513|chr10:37125662-37125900,46.43903,-40.001648,1
86,ENSG00000148835|chr10:103367999-103368480,70.27572,1.4114816,0
87,ENSG00000149136|chr11:57335432-57335883,-12.65332,42.826008,16
88,ENSG00000151612|chr4:145938449-145938841,-16.49649,13.10787,13
89,ENSG00000152467|chr19:58034095-58034377,21.385136,-6.4090962,13
90,ENSG00000152926|chr7:65006294-65006670,-62.448975,-68.771194,12
91,ENSG00000153147|chr4:143513688-143514112,19.294298,15.579829,13
92,ENSG00000153250|chr2:160493615-160493833,117.729744,-2.609399,7
93,ENSG00000153879|chr19:33373314-33374166,-106.79284,1.5806541,14
94,ENSG00000155090|chr8:102655616-102655842,-5.699545,-31.835785,5
95,ENSG00000155545|chr5:56951874-56952239,9.034858,-32.200912,5
96,ENSG00000156150|chr1:110070253-110070638,72.281,-40.207912,17
97,ENSG00000157514|chrX:107716580-107717039,19.229635,-10.686784,13
98,ENSG00000157557|chr21:38805495-38806394,-44.200138,-103.30834,1
99,ENSG00000159200|chr21:34526660-34526834,-12.214234,-36.191177,13
100,ENSG00000159905|chr19:43951236-43951495,-29.120321,-33.357807,18
101,ENSG00000159917|chr19:44304740-44305014,-36.261097,-36.3191,18
102,ENSG00000160336|chr19:53432042-53432477,6.315263,-32.10467,13
103,ENSG00000160973|chr8:144475400-144475825,-59.99714,-89.05304,2
104,ENSG00000161551|chr19:51887666-51887940,21.608255,-61.038757,1
105,ENSG00000162419|chr1:28668819-28669201,-55.318836,74.76727,14
106,ENSG00000162761|chr1:165356441-165356714,-110.801636,0.17704272,14
107,ENSG00000162772|chr1:212608762-212609035,110.372925,51.872963,19
108,ENSG00000163064|chr2:118847273-118847656,-45.59519,-102.99618,17
109,ENSG00000164334|chr5:119629564-119629861,-14.088133,44.738552,16
110,ENSG00000164651|chr7:20786502-20786925,-59.344772,-94.729904,2
111,ENSG00000164920|chr8:98944419-98944821,-55.021633,70.39017,14
112,ENSG00000165804|chr14:21097948-21098619,112.09345,-3.9534009,7
113,ENSG00000166925|chr7:100479017-100479259,-17.114262,43.30166,16
114,ENSG00000167034|chr8:23682459-23682968,17.779139,-12.474468,13
115,ENSG00000167377|chr16:71489230-71489327,-12.887132,27.110447,18
116,ENSG00000167380|chr19:44141571-44141667,-133.3468,-57.76536,19
117,ENSG00000167766|chr19:52617762-52618060,-16.304615,11.494696,13
118,ENSG00000168453|chr8:22133281-22133384,-103.469025,37.59253,5
119,ENSG00000168477|chr6:32109273-32109354,0.6643233,-31.348736,13
120,ENSG00000168724|chr5:34929559-34930047,-57.432323,63.816124,16
121,ENSG00000168795|chr9:37464997-37465440,12.750773,70.43777,9
122,ENSG00000168874|chr2:85753861-85754514,-63.451565,62.43459,5
123,ENSG00000168875|chr3:137764309-137764690,-54.488827,-98.220085,2
124,ENSG00000169136|chr19:49929110-49929479,-33.811806,79.38488,8
125,ENSG00000170260|chr7:149239653-149239735,121.15986,0.0016778904,7
126,ENSG00000170561|chr5:2751254-2751657,62.73012,-1.9611018,0
127,ENSG00000172059|chr2:10043563-10044261,-29.23574,80.814674,3
128,ENSG00000172667|chr3:179071730-179071820,-68.59162,73.42386,14
129,ENSG00000172789|chr12:54016889-54017344,-60.06009,64.309616,14
130,ENSG00000173145|chr10:94362680-94362949,14.4481945,78.50127,15
131,ENSG00000173451|chr12:71663070-71663470,-64.410324,-62.036102,2
132,ENSG00000174586|chr19:58362645-58362762,-55.04571,-89.2038,2
133,ENSG00000176024|chr19:51927443-51927703,78.258766,-46.467674,17
134,ENSG00000176842|chr16:54930906-54931449,64.161964,-36.781887,17
135,ENSG00000177125|chr9:126860430-126860845,12.09468,73.616486,9
136,ENSG00000177468|chr6:137493996-137494361,-12.431412,36.070522,16
137,ENSG00000177551|chr1:115840808-115841142,-13.958029,60.59548,16
138,ENSG00000177873|chr3:40477174-40477349,-18.79999,16.04445,13
139,ENSG00000178338|chr5:178859971-178860059,24.807297,-57.66864,1
140,ENSG00000178665|chr7:55887473-55887555,-58.457153,-83.43882,2
141,ENSG00000178919|chr9:97853228-97853325,-130.18594,-56.449104,1
142,ENSG00000179774|chr10:68231719-68232126,-52.589714,-94.68529,2
