guide_id	gene_name	label	log2_fc	p_value
AARS#chr16:70289397-70289415(-)	AARS	positive control	-0.95566875	0.0254555121825887
AARS#chr16:70289419-70289437(-)	AARS	positive control	0.20685755	0.5346423756737563
AARS#chr16:70289477-70289495(-)	AARS	positive control	-0.7838817	0.0197640809057729
B2M#chr15:44711560-44711578(-)	B2M	positive control	-2.0982645	8.383172336433756e-118
CD151#chr11:833006-833024(+)	CD151	positive control		
CD151#chr11:833042-833060(-)	CD151	positive control		
CD29#chr10:32958199-32958217(-)	CD29	positive control	-0.03744965	0.0192529920815829
CD55#chr1:207321714-207321732(+)	CD55	positive control	-2.7837634	2.93865437557856e-43
CD81#chr11:2377315-2377333(+)#strong	CD81	positive control	-0.8610241	7.322002999361982e-176
CD81#chr11:2377315-2377333(+)#weak	CD81	positive control	-0.03878844	0.0445711455927836
DNAJC19#chr3:180989302-180989320(-)	DNAJC19	positive control	-0.9920975	1.4313329130620206e-131
DNAJC19#chr3:180989327-180989345(-)	DNAJC19	positive control	-0.93853176	2.235484589253622e-47
DNAJC19#chr3:180989630-180989648(-)	DNAJC19	positive control	-0.41766855	0.2640107514962058
MALAT1#chr11:65497796-65497814(-)	MALAT1	positive control	-2.7082791	0.0
NGFRAP1#chrX:103376320-103376338(+)	NGFRAP1	positive control	-2.4481103	0.0
POLR1D#chr13:27621863-27621881(-)	POLR1D	positive control	-0.7354308	9.29441474987586e-26
POLR1D#chr13:27621883-27621901(-)	POLR1D	positive control	-0.19358832	0.5385116168391471
POLR1D#chr13:27621915-27621933(-)	POLR1D	positive control	-0.6004013	6.1652300598014e-19
TFRC#chr3:196082075-196082093(-)	TFRC	positive control	-2.5867016	4.945512887237478e-199
non-targeting_00006		non_targeting		
non-targeting_00010		non_targeting		
non-targeting_00013		non_targeting		
non-targeting_00018		non_targeting		
non-targeting_00020		non_targeting		
non-targeting_00021		non_targeting		
non-targeting_00026		non_targeting		
non-targeting_00037		non_targeting		
non-targeting_00047		non_targeting		
non-targeting_00062		non_targeting		
non-targeting_00081		non_targeting		
non-targeting_00095		non_targeting		
non-targeting_00131		non_targeting		
non-targeting_00148		non_targeting		
non-targeting_00158		non_targeting		
non-targeting_00162		non_targeting		
non-targeting_00164		non_targeting		
non-targeting_00166		non_targeting		
non-targeting_00169		non_targeting		
non-targeting_00170		non_targeting		
non-targeting_00176		non_targeting		
non-targeting_00179		non_targeting		
non-targeting_00183		non_targeting		
non-targeting_00186		non_targeting		
non-targeting_00190		non_targeting		
non-targeting_00205		non_targeting		
non-targeting_00215		non_targeting		
non-targeting_00227		non_targeting		
non-targeting_00234		non_targeting		
non-targeting_00250		non_targeting		
non-targeting_00265		non_targeting		
non-targeting_00271		non_targeting		
non-targeting_00284		non_targeting		
non-targeting_00287		non_targeting		
non-targeting_00289		non_targeting		
non-targeting_00293		non_targeting		
