intended_target_name	tf_gene_symbol	tf_family	tf_dbd	gene_id	log2_fc	log2_fc_std	p_value	fdr_bh	intended_target_chr	intended_target_start	intended_target_end
ENSG00000001167	NFYA	Heteromeric CCAAT-binding	CBF/NF-Y	ENSG00000120837	0.34711707	0.057192557	1.2849282356357987e-09	1.2231231875017168e-05	chr6	41072917	41073528
ENSG00000001167	NFYA	Heteromeric CCAAT-binding	CBF/NF-Y	ENSG00000066136	0.24451073	0.057233285	1.935737299047027e-05	0.04315427724242193	chr6	41072917	41073528
ENSG00000001167	NFYA	Heteromeric CCAAT-binding	CBF/NF-Y	ENSG00000165323	0.1565923	0.036536667	1.8200543852484435e-05	0.04315427724242193	chr6	41072917	41073528
ENSG00000001167	NFYA	Heteromeric CCAAT-binding	CBF/NF-Y	ENSG00000050426	-0.42451674	0.09767399	1.384771306539659e-05	0.04315427724242193	chr6	41072917	41073528
ENSG00000001167	NFYA	Heteromeric CCAAT-binding	CBF/NF-Y	ENSG00000262454	-0.70306873	0.16756818	2.720093113294795e-05	0.04315427724242193	chr6	41072917	41073528
ENSG00000001167	NFYA	Heteromeric CCAAT-binding	CBF/NF-Y	ENSG00000089472	0.35785547	0.08468811	2.383374096269179e-05	0.04315427724242193	chr6	41072917	41073528
ENSG00000004848	ARX		Homeodomain	ENSG00000171988	-0.2051411	0.04322789	2.079174379773551e-06	0.013194440614042955	chrX	25012852	25013100
ENSG00000004848	ARX		Homeodomain	ENSG00000166165	-0.2252594	0.047033478	1.6732918900131508e-06	0.013194440614042955	chrX	25015643	25015955
ENSG00000004848	ARX		Homeodomain	ENSG00000159055	-0.4513553	0.09461143	1.8365858256081032e-06	0.013194440614042955	chrX	25015643	25015955
ENSG00000004848	ARX		Homeodomain	ENSG00000164244	0.49415118	0.109105065	5.922666648785958e-06	0.028188931914896766	chrX	25012852	25013100
ENSG00000004848	ARX		Homeodomain	ENSG00000183648	0.4155538	0.09524338	1.2824815480168638e-05	0.048831767422290104	chrX	25015643	25015955
ENSG00000005436	GCFC2		Unknown	ENSG00000005436	-1.7706342	0.33082643	8.691324374987386e-08	0.0008273271672550493	chr2	75710658	75710900
ENSG00000005801	ZNF195		C2H2 ZF	ENSG00000080802	0.45084193	0.087210074	2.345847289849241e-07	0.0022330120352074927	chr11	3378934	3379151
ENSG00000005801	ZNF195		C2H2 ZF	ENSG00000171612	-0.7240238	0.15317857	2.282373441528095e-06	0.005431478197476484	chr11	3378934	3379151
ENSG00000005801	ZNF195		C2H2 ZF	ENSG00000135298	0.53618747	0.112522446	1.887037450308257e-06	0.005431478197476484	chr11	3378934	3379151
ENSG00000005801	ZNF195		C2H2 ZF	ENSG00000126583	0.83109	0.17416283	1.8248390056136288e-06	0.005431478197476484	chr11	3378934	3379151
ENSG00000005801	ZNF195		C2H2 ZF	ENSG00000142676	-0.1307069	0.029214166	7.673621171442523e-06	0.014609039986192274	chr11	3378934	3379151
ENSG00000005889	ZFX		C2H2 ZF	ENSG00000151136	0.53512084	0.11388731	2.618393669581816e-06	0.024924489340749305	chrX	24149531	24150170
ENSG00000006047	YBX2		CSD	ENSG00000177694	0.44502357	0.072415404	7.974882037792733e-10	7.591290211774903e-06	chr17	7294385	7294621
ENSG00000006468	ETV1	Ets-related	Ets	ENSG00000006468	-2.1298048	0.12338176	9.105001784875884e-67	8.667051199023354e-63	chr7	13988864	13989683
ENSG00000006468	ETV1	Ets-related	Ets	ENSG00000164305	0.27674448	0.04903476	1.6629551652146998e-08	7.914835108839364e-05	chr7	13988864	13989683
ENSG00000006468	ETV1	Ets-related	Ets	ENSG00000088305	-0.16099948	0.035456058	5.603661334200267e-06	0.01778041741341745	chr7	13988864	13989683
ENSG00000006468	ETV1	Ets-related	Ets	ENSG00000122965	-0.5996125	0.13641135	1.1045708589496332e-05	0.026286025015853896	chr7	13988864	13989683
ENSG00000006468	ETV1	Ets-related	Ets	ENSG00000197747	0.16510938	0.038623508	1.912733934715036e-05	0.03150768703786635	chr7	13988864	13989683
ENSG00000006468	ETV1	Ets-related	Ets	ENSG00000229618	-0.2826695	0.06625386	1.985987206925077e-05	0.03150768703786635	chr7	13988864	13989683
ENSG00000006704	GTF2IRD1		GTF2I-like	ENSG00000006704	-1.1725198	0.18380225	1.7796103399538688e-10	1.6940110826020877e-06	chr7	74453961	74454260
ENSG00000007237	GAS7		Unknown	ENSG00000007237	-2.446943	0.30560336	1.1761265147154116e-15	1.1195548293576004e-11	chr17	10198513	10198751
ENSG00000007237	GAS7		Unknown	ENSG00000137275	0.62931895	0.13673599	4.175729611134296e-06	0.01987438508419368	chr17	10198513	10198751
ENSG00000007237	GAS7		Unknown	ENSG00000109929	0.27876422	0.0639743	1.3159226894561064e-05	0.041754226936442256	chr17	10198513	10198751
ENSG00000007372	PAX6	Paired plus homeo domain	Homeodomain; Paired box	ENSG00000243156	-0.514868	0.103642456	6.774020040540762e-07	0.006448189676590751	chr11	31810704	31811320
ENSG00000007545	CRAMP1L		Myb/SANT	ENSG00000166562	0.60054284	0.12492464	1.5302750007623503e-06	0.029133375464513625	chr16	1612352	1612420
ENSG00000008018	PSMB1			ENSG00000008018	-1.5390339	0.061404496	1.2328975269636668e-138	1.1735951559167143e-134	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000085276	0.7796428	0.083920516	1.5392268913774564e-20	7.325950389511004e-17	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000154556	1.3861655	0.1579372	1.6835806897625612e-18	5.342001528616606e-15	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000206120	0.62405366	0.07418403	4.0226395636765267e-17	9.572876501659214e-14	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000205542	0.24559812	0.029710924	1.382311762460009e-16	2.6316451333713656e-13	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000248131	0.52135533	0.06440345	5.719597332600069e-16	9.07414116817001e-13	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000230937	0.7981429	0.09888105	6.929884246983657e-16	9.423652592433918e-13	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000185008	0.6070583	0.07804882	7.372034877377071e-15	8.771799999719042e-12	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000120594	0.36063448	0.05227024	5.2214341141272665e-12	5.522536814708605e-09	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000198626	0.46059263	0.06820622	1.4487738855430856e-11	1.3790878616484631e-08	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000146938	0.4235188	0.063595735	2.7467215963011774e-11	2.3769129886537188e-08	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000133424	0.2944926	0.047065526	3.9226056969734516e-10	3.1116069691241905e-07	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000198886	-0.13765305	0.022358965	7.43684194393185e-10	5.445484497252868e-07	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000198879	0.6001705	0.09808746	9.432511416073767e-10	6.413434012114728e-07	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000187391	0.3236789	0.05556126	5.690009964968359e-09	3.6108803237689207e-06	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000168310	0.50947094	0.08994308	1.4756573766610554e-08	8.779239105272867e-06	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000132341	-0.1895356	0.033737138	1.9316816873790693e-08	1.0816281165977271e-05	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000183780	0.5649924	0.102003984	3.043337494840764e-08	1.6094183118549575e-05	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000135069	-0.27936846	0.05070675	3.5987011050101526e-08	1.8029492536100863e-05	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000169744	0.29800308	0.05427926	4.0151760695777146e-08	1.9110230503155132e-05	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000198947	0.65798455	0.120413095	4.644917036822104e-08	2.1054745368337908e-05	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000164032	-0.17393464	0.031969134	5.306987630746152e-08	2.1964006633509838e-05	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000168439	-0.3155384	0.057942186	5.158887777624524e-08	2.1964006633509838e-05	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000078114	0.589471	0.10921302	6.759740399453173e-08	2.6810820359331148e-05	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000170017	0.5687949	0.10567686	7.349999365451782e-08	2.7985857583894205e-05	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000096384	-0.13500866	0.025138626	7.848950253772767e-08	2.8736214409870372e-05	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000173068	0.28048983	0.052467726	8.994393581421729e-08	3.171023425983461e-05	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000271860	0.9499327	0.18336806	2.2132759075015737e-07	7.5243476298241e-05	chr6	170552827	170553285
