guide_id	n_cells_detected	frac_cells_detected	n_cells_assigned	frac_cells_assigned	total_umi	mean_umi	median_umi	std_umi	max_umi	total_cells	gene_name
AARS#chr16:70289397-70289415(-)	721	0.003802762672798907	75	0.00039557170660182804	6345.0	8.800277392510402	1.0	32.74084428974246	287.0	189599	AARS
AARS#chr16:70289419-70289437(-)	430	0.0022679444511838143	51	0.0002689887604892431	4518.0	10.506976744186046	1.0	39.341187337095995	321.0	189599	AARS
AARS#chr16:70289477-70289495(-)	2117	0.011165670705014267	192	0.0010126635689006798	16971.0	8.016532829475674	1.0	32.84910909777047	462.0	189599	AARS
B2M#chr15:44711560-44711578(-)	32528	0.17156208629792352	1956	0.010316510108175676	382409.0	11.756302262666011	1.0	51.61365652940695	987.0	189599	B2M
CD151#chr11:833006-833024(+)	20577	0.10852905342327755	1164	0.0061392728864603716	212457.0	10.324974486076687	1.0	48.69871705991748	2011.0	189599	CD151
CD151#chr11:833042-833060(-)	75936	0.40050844150021886	3585	0.01890832757556738	1236721.0	16.286359565950274	1.0	78.97827936764425	1830.0	189599	CD151
CD29#chr10:32958199-32958217(-)	46963	0.24769645409522204	5354	0.028238545561949168	562294.0	11.973127781444967	1.0	38.70899845630358	705.0	189599	CD29
CD55#chr1:207321714-207321732(+)	44216	0.2332079810547524	1758	0.00927220080274685	568583.0	12.859213859236476	1.0	68.75048803324876	1303.0	189599	CD55
CD81#chr11:2377315-2377333(+)#strong	66784	0.35223814471595316	3892	0.0205275344279242	1021341.0	15.29319896981313	1.0	68.7127103940887	1372.0	189599	CD81
CD81#chr11:2377315-2377333(+)#weak	69707	0.36765489269458174	3786	0.01996845974926028	1136673.0	16.30643981235744	1.0	77.41023595252803	1769.0	189599	CD81
DNAJC19#chr3:180989302-180989320(-)	69661	0.36741227538119925	4295	0.022653073064731355	1111347.0	15.953646947359355	1.0	67.76889897178853	1448.0	189599	DNAJC19
DNAJC19#chr3:180989327-180989345(-)	48072	0.25354564106350774	1743	0.009193086461426485	633807.0	13.184535696455317	1.0	74.57580097587382	1592.0	189599	DNAJC19
DNAJC19#chr3:180989630-180989648(-)	790	0.004166688642872589	45	0.00023734302396109685	7895.0	9.99367088607595	1.0	56.685485476793666	729.0	189599	DNAJC19
MALAT1#chr11:65497796-65497814(-)	24464	0.12903021640409496	691	0.003644533990158176	269147.0	11.001757684761282	1.0	70.25523079742248	1491.0	189599	MALAT1
