,cell_count,type,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,distance_mean,pval_mean,pval_mean_log,distance_mean_log
ENSG00000090861|chr16:70289409-70289495,2000,positive control,481.73687744140625,0.0,538.7001953125,0.0,493.78424072265625,0.0,524.5330810546875,0.0,525.9956665039062,0.0,489.02740478515625,0.0,487.70709228515625,0.0,532.8356323242188,0.0,524.4437255859375,0.0,553.352783203125,0.0,551.0228271484375,0.0,495.6600341796875,0.0,439.50262451171875,0.0,459.9609375,0.0,565.51513671875,0.0,498.52178955078125,0.0,543.0399780273438,0.0,474.36572265625,0.0,499.253173828125,0.0,477.3330078125,0.0,507.81459655761716,0.0,5.0,2.7057051800219893
ENSG00000177697|chr11:832818-833060,2000,positive control,361.9285888671875,0.0,412.1669921875,0.0,372.6036376953125,0.0,399.0120849609375,0.0,401.2740478515625,0.0,366.80126953125,0.0,369.047119140625,0.0,406.0694580078125,0.0,401.86181640625,0.0,421.96533203125,0.0,421.4288330078125,0.0,372.4451904296875,0.0,326.9715576171875,0.0,341.343017578125,0.0,429.54052734375,0.0,374.6533203125,0.0,413.1978759765625,0.0,358.3614501953125,0.0,378.648193359375,0.0,356.106201171875,0.0,384.2713256835938,0.0,5.0,2.5846379786303624
ENSG00000205981|chr3:180989327-180989725,2000,positive control,469.291015625,0.0,523.5097045898438,0.0,483.43548583984375,0.0,513.2127685546875,0.0,513.3563842773438,0.0,474.937744140625,0.0,473.727294921875,0.0,521.1256713867188,0.0,512.98779296875,0.0,540.4310302734375,0.0,537.734130859375,0.0,481.060546875,0.0,430.67181396484375,0.0,451.231689453125,0.0,554.1118774414062,0.0,485.6097412109375,0.0,535.4169921875,0.0,464.6898193359375,0.0,492.81561279296875,0.0,463.13385009765625,0.0,496.1245483398437,0.0,5.0,2.695590716543886
ENSG00000186184|chr13:27621865-27621958,2000,positive control,474.299560546875,0.0,533.8990478515625,0.0,489.61004638671875,0.0,518.6250610351562,0.0,522.1839599609375,0.0,482.7257080078125,0.0,479.9678955078125,0.0,529.298583984375,0.0,514.3504028320312,0.0,547.0567626953125,0.0,550.5709838867188,0.0,488.2440185546875,0.0,435.9239501953125,0.0,456.40313720703125,0.0,556.42724609375,0.0,500.97698974609375,0.0,543.2962036132812,0.0,471.0283203125,0.0,496.09613037109375,0.0,469.67291259765625,0.0,503.03284606933596,0.0,5.0,2.701596343705897
non-targeting|1|non-targeting:1-1,2000,negative control,460.1844482421875,0.0,512.0936279296875,0.0,469.08056640625,0.0,496.01025390625,0.0,497.2222900390625,0.0,463.8360595703125,0.0,461.188232421875,0.0,512.6077880859375,0.0,491.539794921875,0.0,522.525634765625,0.0,519.81591796875,0.0,467.1646728515625,0.0,417.8055419921875,0.0,434.8594970703125,0.0,535.860595703125,0.0,471.646728515625,0.0,514.4111328125,0.0,447.2681884765625,0.0,475.260986328125,0.0,447.908447265625,0.0,480.9145202636719,0.0,5.0,2.6820678899354995
non-targeting|2|non-targeting:2-2,2000,negative control,509.8990478515625,0.0,563.2315673828125,0.0,517.3051147460938,0.0,551.6190795898438,0.0,554.9043579101562,0.0,512.6102905273438,0.0,511.97039794921875,0.0,557.4312133789062,0.0,547.1961669921875,0.0,583.2612915039062,0.0,578.718017578125,0.0,522.8154296875,0.0,464.865966796875,0.0,485.3565673828125,0.0,590.6973876953125,0.0,520.1107788085938,0.0,566.1882934570312,0.0,502.19378662109375,0.0,521.8880615234375,0.0,496.71832275390625,0.0,532.9490570068359,0.0,5.0,2.7266856981106535
non-targeting|3|non-targeting:3-3,2000,negative control,509.14813232421875,0.0,567.639404296875,0.0,519.0711669921875,0.0,552.11767578125,0.0,559.16357421875,0.0,509.98052978515625,0.0,514.3684692382812,0.0,561.6063232421875,0.0,550.787109375,0.0,583.8572998046875,0.0,581.3287353515625,0.0,520.9591674804688,0.0,466.98626708984375,0.0,481.94122314453125,0.0,588.073974609375,0.0,525.3545532226562,0.0,568.7548217773438,0.0,509.3499755859375,0.0,531.46337890625,0.0,498.2568359375,0.0,535.0104309082031,0.0,5.0,2.728362249388916
non-targeting|4|non-targeting:4-4,2000,negative control,512.8743286132812,0.0,571.198486328125,0.0,521.1617431640625,0.0,557.4838256835938,0.0,562.29541015625,0.0,517.775634765625,0.0,517.8272705078125,0.0,567.7949829101562,0.0,549.210205078125,0.0,592.7012939453125,0.0,585.8450317382812,0.0,521.4738159179688,0.0,469.0693359375,0.0,487.7515869140625,0.0,595.8355712890625,0.0,528.92236328125,0.0,574.7432250976562,0.0,502.47076416015625,0.0,533.9118041992188,0.0,500.1925048828125,0.0,538.5269592285156,0.0,5.0,2.7312074494187955
non-targeting|5|non-targeting:5-5,2000,negative control,506.25274658203125,0.0,560.201171875,0.0,515.1361694335938,0.0,549.0136108398438,0.0,561.2551879882812,0.0,509.050537109375,0.0,512.5559692382812,0.0,559.7169189453125,0.0,545.08642578125,0.0,580.9078979492188,0.0,581.707763671875,0.0,515.7647094726562,0.0,460.38238525390625,0.0,478.907470703125,0.0,588.0264282226562,0.0,527.2095947265625,0.0,568.1237182617188,0.0,496.04180908203125,0.0,525.2448120117188,0.0,498.33343505859375,0.0,531.9459381103516,0.0,5.0,2.725867497006713
non-targeting|6|non-targeting:6-6,2000,negative control,517.7536010742188,0.0,574.5809326171875,0.0,527.4210205078125,0.0,557.0577392578125,0.0,566.379150390625,0.0,522.8088989257812,0.0,518.9378662109375,0.0,572.7190551757812,0.0,559.39306640625,0.0,590.094970703125,0.0,586.8137817382812,0.0,527.2689208984375,0.0,473.1307373046875,0.0,492.18731689453125,0.0,598.65234375,0.0,533.6835327148438,0.0,581.619384765625,0.0,509.1883544921875,0.0,533.29296875,0.0,507.66595458984375,0.0,542.5324798583985,0.0,5.0,2.734425743259792
