ensembl_gene_id	gene_symbol	hgnc_approved_symbol	jaspar_tf_family	lambert_2018_dbd	n_disease_associations	mondo_ids	omim_ids	distance_mean_HonCM	distance_rank_HonCM	sig_dist_gt_NC_max_HonCM	distance_mean_HuangfuDE	distance_rank_HuangfuDE	sig_dist_gt_NC_max_HuangfuDE	distance_mean_HuangfuESC	distance_rank_HuangfuESC	sig_dist_gt_NC_max_HuangfuESC	n_datasets_with_data	n_datasets_significant	max_distance_across_datasets	classification
ENSG00000134323	MYCN	MYCN	bHLH-ZIP	bHLH	2		OMIM:164280;OMIM:620748	5.512445068359375	145.0	True	92.708349609375	1125.0	False	620.1442443847657	35.0	True	3	2	620.1442443847657	discordant_partial
ENSG00000101115	SALL4	SALL4		C2H2 ZF	2		OMIM:147750;OMIM:607323	5.8590576171875	140.0	True	94.88806762695312	942.0	False	606.4042266845703	68.0	True	3	2	606.4042266845703	discordant_partial
ENSG00000136492	BRIP1	BRIP1			2		OMIM:114480;OMIM:609054	192.7327667236328	2.0	True	125.413818359375	2.0	True	394.6179748535157	2155.0	False	3	2	394.6179748535157	discordant_partial
ENSG00000068305	MEF2A	MEF2A	Regulators of differentiation	MADS box	1		OMIM:608320	1.922198486328125	511.0	False	81.89170532226562	1926.0	False	657.3028869628906	4.0	True	3	1	657.3028869628906	HuangfuESC-specific
ENSG00000168724	DNAJC21	DNAJC21		Unknown	2		OMIM:260400;OMIM:617052	1.2744964599609374	1007.0	False	106.30411376953126	155.0	False	639.0901763916015	6.0	True	3	1	639.0901763916015	HuangfuESC-specific
ENSG00000139687	RB1	RB1		Unknown	4		OMIM:109800;OMIM:180200;OMIM:182280;OMIM:259500	1.3086029052734376	970.0	False	80.20593872070313	1992.0	False	635.9707275390625	9.0	True	3	1	635.9707275390625	HuangfuESC-specific
ENSG00000104881	PPP1R13L	PPP1R13L		Unknown	1		OMIM:620519	1.5647247314453123	718.0	False	93.21106567382812	1082.0	False	628.1986907958984	18.0	True	3	1	628.1986907958984	HuangfuESC-specific
ENSG00000140968	IRF8	IRF8	Interferon-regulatory factors	IRF	2		OMIM:226990;OMIM:614893	1.1156402587890626	1248.0	False	91.5994384765625	1251.0	False	628.0620147705079	19.0	True	3	1	628.0620147705079	HuangfuESC-specific
ENSG00000099956	SMARCB1	SMARCB1		Unknown	3		OMIM:162091;OMIM:609322;OMIM:614608	1.2232269287109374	1085.0	False	98.11099853515626	643.0	False	622.359017944336	29.0	True	3	1	622.359017944336	HuangfuESC-specific
ENSG00000060566	CREB3L3	CREB3L3	CREB-related	bZIP	1		OMIM:619324	1.8289581298828128	549.0	False	106.13850708007811	160.0	False	618.4975860595703	38.0	True	3	1	618.4975860595703	HuangfuESC-specific
ENSG00000168477	TNXB	TNXB			2		OMIM:606408;OMIM:615963	1.61580810546875	687.0	False	92.8318359375	1113.0	False	614.0398315429687	47.0	True	3	1	614.0398315429687	HuangfuESC-specific
ENSG00000125812	GZF1	GZF1		C2H2 ZF	1		OMIM:617662	1.996820068359375	489.0	False	102.69319458007811	311.0	False	613.6231964111328	49.0	True	3	1	613.6231964111328	HuangfuESC-specific
ENSG00000272333	KMT2B	KMT2B		CxxC; AT hook	2		OMIM:617284;OMIM:619934	3.1328338623046874	257.0	False	103.5157470703125	272.0	False	612.2456970214844	53.0	True	3	1	612.2456970214844	HuangfuESC-specific
ENSG00000118495	PLAGL1	PLAGL1		C2H2 ZF	1		OMIM:601410	2.82362060546875	285.0	False	101.30087890625	401.0	False	611.2913482666015	57.0	True	3	1	611.2913482666015	HuangfuESC-specific
ENSG00000172059	KLF11	KLF11	Three-zinc finger Kruppel-related	C2H2 ZF	1		OMIM:610508	0.745941162109375	1866.0	False	97.94705810546876	656.0	False	610.7526611328125	58.0	True	3	1	610.7526611328125	HuangfuESC-specific
ENSG00000203667	COX20	COX20			1		OMIM:619054	2.4790924072265623	351.0	False	97.28714599609376	725.0	False	609.6505737304688	59.0	True	3	1	609.6505737304688	HuangfuESC-specific
ENSG00000177551	NHLH2	NHLH2	Tal-related	bHLH	1		OMIM:619755	1.320037841796875	953.0	False	87.50451049804687	1605.0	False	607.9902160644531	60.0	True	3	1	607.9902160644531	HuangfuESC-specific
ENSG00000130711	PRDM12	PRDM12		C2H2 ZF	1		OMIM:616488	1.787103271484375	573.0	False	84.64344482421875	1786.0	False	607.3459442138671	63.0	True	3	1	607.3459442138671	HuangfuESC-specific
ENSG00000089225	TBX5	TBX5	TBX2-related factors	T-box	1		OMIM:142900	1.7853118896484377	574.0	False	106.55149536132812	149.0	False	605.6316040039062	70.0	True	3	1	605.6316040039062	HuangfuESC-specific
ENSG00000162761	LMX1A	LMX1A	HD-LIM	Homeodomain	1		OMIM:601412	1.2433624267578125	1052.0	False	93.96532592773436	1010.0	False	605.4789672851563	71.0	True	3	1	605.4789672851563	HuangfuESC-specific
ENSG00000049618	ARID1B	ARID1B		ARID/BRIGHT	1		OMIM:135900	0.9389312744140624	1547.0	False	102.9640869140625	299.0	False	603.5595886230469	75.0	True	3	1	603.5595886230469	HuangfuESC-specific
ENSG00000187140	FOXD3	FOXD3	FOX	Forkhead	1		OMIM:607836	3.883905029296875	198.0	False	103.97049560546876	243.0	False	603.3073822021485	77.0	True	3	1	603.3073822021485	HuangfuESC-specific
