query	score	qStart	qEnd	qSize	identity	chrom	strand	tStart	tEnd	span
AATF#chr17:36948966-36948984(+)	21	1	22	22	100.0%	chr17	+	36948965	36948987	22
AATF#chr17:36949013-36949031(+)	21	1	22	22	100.0%	chr17	+	36949012	36949034	22
AATF#chr17:36949020-36949038(+)	21	1	22	22	100.0%	chr17	+	36949019	36949041	22
AATF#chr17:36949026-36949044(+)	21	1	22	22	100.0%	chr17	+	36949025	36949047	22
AATF#chr17:36949031-36949049(+)	21	1	22	22	100.0%	chr17	+	36949030	36949052	22
AATF#chr17:36949070-36949088(-)	21	1	22	22	100.0%	chr17	-	36949066	36949088	22
ADNP#chr20:50930828-50930846(-)	21	1	22	22	100.0%	chr20	-	50930824	50930846	22
ADNP#chr20:50931012-50931030(+)	21	1	22	22	100.0%	chr20	+	50931011	50931033	22
ADNP#chr20:50931046-50931064(+)	21	1	22	22	100.0%	chr20	+	50931045	50931067	22
ADNP#chr20:50931094-50931112(+)	21	1	22	22	100.0%	chr20	+	50931093	50931115	22
ADNP#chr20:50931150-50931168(+)	21	1	22	22	100.0%	chr20	+	50931149	50931171	22
ADNP#chr20:50931407-50931425(+)	21	1	22	22	100.0%	chr20	+	50931406	50931428	22
ADNP2#chr18:80109299-80109317(+)	21	1	22	22	100.0%	chr18	+	80109298	80109320	22
ADNP2#chr18:80109461-80109479(+)	21	1	22	22	100.0%	chr18	+	80109460	80109482	22
ADNP2#chr18:80109541-80109559(-)	21	1	22	22	100.0%	chr18	-	80109537	80109559	22
ADNP2#chr18:80109632-80109650(+)	21	1	22	22	100.0%	chr18	+	80109631	80109653	22
ADNP2#chr18:80109744-80109762(+)	21	1	22	22	100.0%	chr18	+	80109743	80109765	22
ADNP2#chr18:80109768-80109786(+)	21	1	22	22	100.0%	chr18	+	80109767	80109789	22
AEBP1#chr7:44104396-44104414(-)	21	1	22	22	100.0%	chr7	-	44104392	44104414	22
AEBP1#chr7:44104404-44104422(-)	21	1	22	22	100.0%	chr7	-	44104400	44104422	22
AEBP1#chr7:44104431-44104449(-)	21	1	22	22	100.0%	chr7	-	44104427	44104449	22
AEBP1#chr7:44104495-44104513(-)	21	1	22	22	100.0%	chr7	-	44104491	44104513	22
AEBP1#chr7:44104513-44104531(-)	21	1	22	22	100.0%	chr7	-	44104509	44104531	22
AEBP1#chr7:44104728-44104746(-)	21	1	22	22	100.0%	chr7	-	44104724	44104746	22
AEBP2#chr12:19439636-19439654(+)	21	1	22	22	100.0%	chr12	+	19439635	19439657	22
AEBP2#chr12:19439703-19439721(+)	21	1	22	22	100.0%	chr12	+	19439702	19439724	22
AEBP2#chr12:19439710-19439728(-)	21	1	22	22	100.0%	chr12	-	19439706	19439728	22
AEBP2#chr12:19439728-19439746(-)	21	1	22	22	100.0%	chr12	-	19439724	19439746	22
AEBP2#chr12:19439774-19439792(-)	21	1	22	22	100.0%	chr12	-	19439770	19439792	22
AEBP2#chr12:19440058-19440076(+)	21	1	22	22	100.0%	chr12	+	19440057	19440079	22
AFF1#chr4:86935010-86935028(+)	21	1	22	22	100.0%	chr4	+	86935009	86935031	22
AFF1#chr4:86935044-86935062(-)	21	1	22	22	100.0%	chr4	-	86935040	86935062	22
AFF1#chr4:86935062-86935080(-)	21	1	22	22	100.0%	chr4	-	86935058	86935080	22
AFF1#chr4:86935098-86935116(-)	21	1	22	22	100.0%	chr4	-	86935094	86935116	22
AFF1#chr4:86935206-86935224(+)	21	1	22	22	100.0%	chr4	+	86935205	86935227	22
AFF1#chr4:86935211-86935229(+)	21	1	22	22	100.0%	chr4	+	86935210	86935232	22
AFF2#chrX:148500809-148500827(-)	21	1	22	22	100.0%	chrX	-	148500805	148500827	22
AFF2#chrX:148500812-148500830(-)	21	1	22	22	100.0%	chrX	-	148500808	148500830	22
AFF2#chrX:148500845-148500863(+)	21	1	22	22	100.0%	chrX	+	148500844	148500866	22
AFF2#chrX:148500904-148500922(-)	21	1	22	22	100.0%	chrX	-	148500900	148500922	22
AFF2#chrX:148501085-148501103(-)	21	1	22	22	100.0%	chrX	-	148501081	148501103	22
AFF2#chrX:148501171-148501189(-)	21	1	22	22	100.0%	chrX	-	148501167	148501189	22
AFF3#chr2:100142311-100142329(+)	21	1	22	22	100.0%	chr2	+	100142310	100142332	22
AFF3#chr2:100142359-100142377(+)	21	1	22	22	100.0%	chr2	+	100142358	100142380	22
AFF3#chr2:100142402-100142420(+)	21	1	22	22	100.0%	chr2	+	100142401	100142423	22
AFF3#chr2:100142430-100142448(-)	21	1	22	22	100.0%	chr2	-	100142426	100142448	22
AFF3#chr2:100142435-100142453(+)	21	1	22	22	100.0%	chr2	+	100142434	100142456	22
AFF3#chr2:100142516-100142534(-)	21	1	22	22	100.0%	chr2	-	100142512	100142534	22
AFF4#chr5:132963540-132963558(+)	21	1	22	22	100.0%	chr5	+	132963539	132963561	22
AFF4#chr5:132963567-132963585(+)	21	1	22	22	100.0%	chr5	+	132963566	132963588	22
AFF4#chr5:132963570-132963588(+)	21	1	22	22	100.0%	chr5	+	132963569	132963591	22
AFF4#chr5:132963573-132963591(+)	21	1	22	22	100.0%	chr5	+	132963572	132963594	22
AFF4#chr5:132963579-132963597(-)	21	1	22	22	100.0%	chr5	-	132963575	132963597	22
AFF4#chr5:132963620-132963638(+)	21	1	22	22	100.0%	chr5	+	132963619	132963641	22
AHCTF1#chr1:246931690-246931708(-)	21	1	22	22	100.0%	chr1	-	246931686	246931708	22
AHCTF1#chr1:246931812-246931830(+)	21	1	22	22	100.0%	chr1	+	246931811	246931833	22
AHCTF1#chr1:246931857-246931875(-)	21	1	22	22	100.0%	chr1	-	246931853	246931875	22
