,cell_count,type,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,distance_mean,pval_mean,pval_mean_log,distance_mean_log
ENSG00000090861|chr16:70289409-70289495,5,positive control,314.81304931640625,0.13,284.69464111328125,0.156,282.01031494140625,0.141,285.42681884765625,0.151,270.27252197265625,0.18,287.63555908203125,0.142,316.82012939453125,0.128,281.19317626953125,0.161,281.22271728515625,0.184,291.78448486328125,0.143,295.02691650390625,0.121,297.91778564453125,0.14,283.80230712890625,0.152,290.73297119140625,0.149,287.61968994140625,0.165,296.55792236328125,0.161,285.83575439453125,0.15,279.56182861328125,0.141,294.16204833984375,0.14,292.25811767578125,0.151,289.9674377441406,0.1493,0.8259111045363144,2.4623492309953936
ENSG00000177697|chr11:832818-833060,2000,positive control,3.09283447265625,0.012,0.8194580078125,0.533,0.74127197265625,0.635,0.9776611328125,0.411,0.69384765625,0.664,1.04144287109375,0.334,3.76239013671875,0.002,1.39990234375,0.175,0.89642333984375,0.471,1.265380859375,0.219,1.69580078125,0.097,1.85711669921875,0.087,0.9464111328125,0.439,1.03948974609375,0.344,0.96087646484375,0.386,1.657470703125,0.091,0.855712890625,0.487,1.53289794921875,0.123,1.76300048828125,0.09,0.98809814453125,0.379,1.3993743896484374,0.29895000000000005,0.5243869151584187,0.1459339215011325
ENSG00000205981|chr3:180989327-180989725,2000,positive control,0.768798828125,0.576,1.46173095703125,0.154,2.24810791015625,0.033,0.98760986328125,0.417,2.2835693359375,0.03,1.33319091796875,0.193,0.67608642578125,0.694,1.1688232421875,0.259,1.09100341796875,0.314,0.85552978515625,0.495,2.52496337890625,0.027,1.2042236328125,0.253,1.2862548828125,0.212,1.449951171875,0.162,1.9256591796875,0.063,1.03106689453125,0.362,1.01348876953125,0.374,1.32916259765625,0.211,1.24249267578125,0.238,1.8741455078125,0.062,1.38779296875,0.25645,0.5909803620685066,0.14232468280780713
ENSG00000186184|chr13:27621865-27621958,12,positive control,48.96826171875,0.804,42.83758544921875,0.865,38.46441650390625,0.906,44.46209716796875,0.853,45.030029296875,0.856,41.940185546875,0.9,53.10113525390625,0.739,45.064208984375,0.839,45.7813720703125,0.828,45.586669921875,0.829,38.13397216796875,0.906,44.59295654296875,0.829,44.628173828125,0.852,43.779541015625,0.854,41.5772705078125,0.908,45.51873779296875,0.84,44.8270263671875,0.84,47.5771484375,0.788,43.91741943359375,0.844,38.8729248046875,0.913,44.233056640625,0.8496500000000001,0.0707548268312948,1.6457469514946093
non-targeting|1|non-targeting:1-1,2000,negative control,1.26556396484375,0.214,0.5736083984375,0.808,0.8997802734375,0.453,0.41107177734375,0.951,0.98309326171875,0.422,0.4080810546875,0.953,1.59466552734375,0.14,0.46099853515625,0.921,0.36553955078125,0.982,0.29388427734375,0.994,1.6226806640625,0.112,0.73651123046875,0.613,0.54351806640625,0.839,0.79864501953125,0.582,0.9715576171875,0.409,0.61077880859375,0.76,0.453369140625,0.928,0.53082275390625,0.841,0.5484619140625,0.848,0.95770263671875,0.415,0.7515167236328125,0.6592500000000001,0.18094327387903944,-0.12406135053863651
non-targeting|2|non-targeting:2-2,2000,negative control,1.045166015625,0.336,0.54376220703125,0.834,0.70465087890625,0.672,0.428955078125,0.938,1.35870361328125,0.191,0.47003173828125,0.906,1.7177734375,0.11,0.69793701171875,0.644,0.68701171875,0.699,0.49493408203125,0.878,0.87603759765625,0.466,0.481689453125,0.88,0.8133544921875,0.554,0.723876953125,0.616,0.7847900390625,0.585,0.39453125,0.964,0.628173828125,0.752,0.73858642578125,0.616,0.5174560546875,0.85,0.5284423828125,0.83,0.731793212890625,0.66605,0.17648664696300853,-0.1356116227502292
non-targeting|3|non-targeting:3-3,2000,negative control,5.35052490234375,0.0,1.84002685546875,0.061,1.3646240234375,0.167,2.3338623046875,0.031,1.7904052734375,0.065,2.25396728515625,0.037,6.56768798828125,0.0,2.7796630859375,0.007,2.493408203125,0.018,2.9896240234375,0.008,2.67926025390625,0.011,3.228515625,0.006,2.041748046875,0.037,2.72784423828125,0.008,1.737548828125,0.083,3.34576416015625,0.003,2.67156982421875,0.008,3.09405517578125,0.004,3.24615478515625,0.006,1.9154052734375,0.05,2.8225830078125,0.030500000000000006,1.515557792357593,0.45064672271563555
non-targeting|4|non-targeting:4-4,2000,negative control,2.57049560546875,0.02,1.05926513671875,0.314,0.91015625,0.419,0.66754150390625,0.679,1.05096435546875,0.369,0.84228515625,0.53,3.3475341796875,0.005,0.67462158203125,0.688,0.77410888671875,0.571,0.95635986328125,0.399,2.2685546875,0.033,1.280029296875,0.214,1.0673828125,0.328,1.4608154296875,0.163,1.62322998046875,0.099,1.4114990234375,0.178,0.883056640625,0.488,0.44586181640625,0.925,1.0943603515625,0.32,1.5416259765625,0.132,1.2964874267578126,0.34370000000000006,0.4638078321873572,0.11276830936901915
non-targeting|5|non-targeting:5-5,2000,negative control,2.28466796875,0.036,0.50408935546875,0.88,0.57745361328125,0.783,0.613525390625,0.762,0.7152099609375,0.649,0.76470947265625,0.607,3.08843994140625,0.01,1.05938720703125,0.335,0.6727294921875,0.676,0.99298095703125,0.413,1.62799072265625,0.104,1.11065673828125,0.316,0.7218017578125,0.635,0.83001708984375,0.52,0.572265625,0.785,1.04217529296875,0.335,0.75750732421875,0.605,1.06982421875,0.346,1.15362548828125,0.301,0.779052734375,0.587,1.046905517578125,0.48425,0.3149214023074005,0.0199074887027118
non-targeting|6|non-targeting:6-6,2000,negative control,2.89013671875,0.003,0.66815185546875,0.692,0.5281982421875,0.835,0.96832275390625,0.432,1.000244140625,0.395,0.7969970703125,0.572,3.6795654296875,0.001,1.29620361328125,0.201,1.01708984375,0.351,1.1396484375,0.305,1.148681640625,0.276,1.3607177734375,0.171,1.079345703125,0.312,0.9320068359375,0.428,0.81390380859375,0.534,1.39788818359375,0.179,0.933349609375,0.404,1.4422607421875,0.147,1.332763671875,0.199,0.7520751953125,0.607,1.2588775634765625,0.3522,0.45319831763857243,0.09998349333882701
