intended_target_name	tf_gene_symbol	tf_family	tf_dbd	gene_id	log2_fc	log2_fc_std	p_value	fdr_bh	intended_target_chr	intended_target_start	intended_target_end
ENSG00000001167	NFYA	Heteromeric CCAAT-binding	CBF/NF-Y	ENSG00000065978	-0.12110628	0.025333527	1.748821738847569e-06	0.016760707545115102	chr6	41072917	41073528
ENSG00000001167	NFYA	Heteromeric CCAAT-binding	CBF/NF-Y	ENSG00000142864	0.124220856	0.02755007	6.5160780721442135e-06	0.03122504612171507	chr6	41072917	41073528
ENSG00000004848	ARX		Homeodomain	ENSG00000230876	-0.07811975	0.015273672	3.142942790207862e-07	0.00602439274027043	chrX	25015643	25015955
ENSG00000005073	HOXA11		Homeodomain	ENSG00000221914	0.20928971	0.043588795	1.5751579690575924e-06	0.015096313975447966	chr7	27184970	27185227
ENSG00000005073	HOXA11		Homeodomain	ENSG00000111605	-0.19814573	0.04407922	6.949861676296423e-06	0.01665186857640623	chr7	27184970	27185227
ENSG00000005073	HOXA11		Homeodomain	ENSG00000258890	0.25775877	0.05672086	5.510825852829585e-06	0.01665186857640623	chr7	27184970	27185227
ENSG00000005073	HOXA11		Homeodomain	ENSG00000211459	0.11797046	0.025447829	3.555990730726915e-06	0.01665186857640623	chr7	27184970	27185227
ENSG00000005073	HOXA11		Homeodomain	ENSG00000115942	-0.21986187	0.050558023	1.3694454906648198e-05	0.026249531165063268	chr7	27184970	27185227
ENSG00000005073	HOXA11		Homeodomain	ENSG00000173692	0.15736392	0.03701055	2.119963935927805e-05	0.03386289060322014	chr7	27184970	27185227
ENSG00000005102	MEOX1	HOX	Homeodomain	ENSG00000069482	0.40771866	0.07923834	2.668488127221808e-07	0.0025574790211293805	chr17	43661758	43661918
ENSG00000005339	CREBBP		Unknown	ENSG00000150401	0.5185574	0.10719753	1.3154790828432049e-06	0.012607551529969275	chr16	3880184	3880693
ENSG00000005339	CREBBP		Unknown	ENSG00000136156	-0.40503484	0.08931564	5.76389641010894e-06	0.018413727731494692	chr16	3880184	3880693
ENSG00000005339	CREBBP		Unknown	ENSG00000205659	0.34921002	0.07601126	4.344379761529702e-06	0.018413727731494692	chr16	3880184	3880693
ENSG00000005436	GCFC2		Unknown	ENSG00000005436	-1.6965935	0.24851194	8.670260909960962e-12	8.309578056106586e-08	chr2	75710658	75710900
ENSG00000005436	GCFC2		Unknown	ENSG00000258497	0.7338421	0.14106299	1.969117853738843e-07	0.0009436012755116536	chr2	75710658	75710900
ENSG00000005513	SOX8	SOX-related factors	HMG/Sox	ENSG00000078369	-0.18964265	0.033127088	1.0361667607988264e-08	9.930622235495952e-05	chr16	981821	982406
ENSG00000005513	SOX8	SOX-related factors	HMG/Sox	ENSG00000117632	0.13817129	0.031390067	1.0738020639908642e-05	0.025728297453221107	chr16	981821	982406
ENSG00000005513	SOX8	SOX-related factors	HMG/Sox	ENSG00000118508	0.5358847	0.12053469	8.75264631504788e-06	0.025728297453221107	chr16	981821	982406
ENSG00000005513	SOX8	SOX-related factors	HMG/Sox	ENSG00000269834	0.8281085	0.18724696	9.754422615622104e-06	0.025728297453221107	chr16	981821	982406
ENSG00000005801	ZNF195		C2H2 ZF	ENSG00000146555	0.4972764	0.08696698	1.0779094840403049e-08	0.00010330684495042282	chr11	3378934	3379151
ENSG00000005801	ZNF195		C2H2 ZF	ENSG00000290960	-1.456688	0.26329607	3.1568067227701296e-08	0.00015127417815514462	chr11	3378934	3379151
ENSG00000005801	ZNF195		C2H2 ZF	ENSG00000005801	-0.76937133	0.15206204	4.201634758600007e-07	0.0013422822508807489	chr11	3378934	3379151
ENSG00000005801	ZNF195		C2H2 ZF	ENSG00000148411	-0.5259042	0.12010769	1.1944089305938888e-05	0.028618037977029574	chr11	3378934	3379151
ENSG00000006047	YBX2		CSD	ENSG00000006047	-2.0151618	0.41435647	1.1541384968736624e-06	0.01106126335403718	chr17	7294385	7294621
ENSG00000006047	YBX2		CSD	ENSG00000183287	0.4353272	0.09317692	2.982084307539765e-06	0.014290148001730554	chr17	7294385	7294621
ENSG00000006194	ZNF263	More than 3 adjacent zinc fingers	C2H2 ZF	ENSG00000254186	-0.732516	0.14314589	3.099920698208634e-07	0.00594192799432631	chr16	3263823	3264213
ENSG00000006194	ZNF263	More than 3 adjacent zinc fingers	C2H2 ZF	ENSG00000157110	-0.27038777	0.057323106	2.3945700229276428e-06	0.021112126776587428	chr16	3263823	3264213
ENSG00000006194	ZNF263	More than 3 adjacent zinc fingers	C2H2 ZF	ENSG00000157869	-0.2896215	0.063081	4.405702582760315e-06	0.021112126776587428	chr16	3283506	3283924
ENSG00000006194	ZNF263	More than 3 adjacent zinc fingers	C2H2 ZF	ENSG00000103363	0.17475812	0.037684817	3.528849982412656e-06	0.021112126776587428	chr16	3283506	3283924
ENSG00000006194	ZNF263	More than 3 adjacent zinc fingers	C2H2 ZF	ENSG00000152503	-0.74484026	0.1646599	6.082328591926532e-06	0.023317214890009555	chr16	3283506	3283924
ENSG00000006194	ZNF263	More than 3 adjacent zinc fingers	C2H2 ZF	ENSG00000143614	-0.20595774	0.046504978	9.479206085103555e-06	0.028380543698946995	chr16	3283506	3283924
ENSG00000006194	ZNF263	More than 3 adjacent zinc fingers	C2H2 ZF	ENSG00000124788	0.37325695	0.08521027	1.184496815481928e-05	0.028380543698946995	chr16	3283506	3283924
ENSG00000006194	ZNF263	More than 3 adjacent zinc fingers	C2H2 ZF	ENSG00000149639	0.22216828	0.050531484	1.0994412225997464e-05	0.028380543698946995	chr16	3283506	3283924
ENSG00000006468	ETV1	Ets-related	Ets	ENSG00000229618	-0.80529964	0.13951145	7.820458522047443e-09	7.495127447530268e-05	chr7	13988864	13989683
ENSG00000006468	ETV1	Ets-related	Ets	ENSG00000006468	-2.0594277	0.36481255	1.6502115441366182e-08	7.907813719502675e-05	chr7	13988864	13989683
ENSG00000006468	ETV1	Ets-related	Ets	ENSG00000104059	-0.26078	0.054802295	1.949788436609221e-06	0.006228924125487592	chr7	13988864	13989683
ENSG00000006704	GTF2IRD1		GTF2I-like	ENSG00000006704	-1.5335124	0.15480794	3.924133565679869e-23	3.760889609347587e-19	chr7	74453961	74454260
ENSG00000006704	GTF2IRD1		GTF2I-like	ENSG00000177707	0.4729766	0.10215425	3.656233325513178e-06	0.01752067009585915	chr7	74453961	74454260
ENSG00000006704	GTF2IRD1		GTF2I-like	ENSG00000104408	0.2634065	0.060215645	1.217745522822802e-05	0.03890291030244578	chr7	74453961	74454260
ENSG00000007237	GAS7		Unknown	ENSG00000007237	-2.2543101	0.27909297	6.623087321463559e-16	6.347566888890675e-12	chr17	10198513	10198751
ENSG00000007237	GAS7		Unknown	ENSG00000134986	-0.54325837	0.11998515	5.962542833776883e-06	0.019048336839639215	chr17	10198513	10198751
ENSG00000007237	GAS7		Unknown	ENSG00000196498	-0.38865817	0.084591426	4.337177417670872e-06	0.019048336839639215	chr17	10198513	10198751
ENSG00000007372	PAX6	Paired plus homeo domain	Homeodomain; Paired box	ENSG00000170579	-0.365113	0.047822237	2.261807214339843e-14	2.1677160342233057e-10	chr11	31810704	31811320
ENSG00000007372	PAX6	Paired plus homeo domain	Homeodomain; Paired box	ENSG00000183579	-0.30847663	0.05954422	2.2113632022053818e-07	0.001059685246496819	chr11	31810704	31811320
ENSG00000007372	PAX6	Paired plus homeo domain	Homeodomain; Paired box	ENSG00000118058	0.35385153	0.08142187	1.3870397079760224e-05	0.033233471403105494	chr11	31810704	31811320
ENSG00000007372	PAX6	Paired plus homeo domain	Homeodomain; Paired box	ENSG00000101115	-0.19370092	0.044385023	1.2764390423613208e-05	0.033233471403105494	chr11	31810704	31811320
ENSG00000007372	PAX6	Paired plus homeo domain	Homeodomain; Paired box	ENSG00000095777	-0.26872703	0.06439398	3.0039059964163177e-05	0.04798239178275665	chr11	31810704	31811320
ENSG00000007372	PAX6	Paired plus homeo domain	Homeodomain; Paired box	ENSG00000165516	0.32963288	0.0783525	2.5872661757029307e-05	0.04798239178275665	chr11	31810704	31811320
ENSG00000007545	CRAMP1L		Myb/SANT	ENSG00000063854	0.38970777	0.081028804	1.513106828975997e-06	0.029003231697811913	chr16	1612352	1612420
ENSG00000007866	TEAD3	TEF-1-related factors	TEA	ENSG00000117114	0.38951367	0.0787471	7.56034668811067e-07	0.007245836265885266	chr6	35496860	35497038
ENSG00000007968	E2F2	E2F	E2F	ENSG00000228412	0.637527	0.12591258	4.1216535641673217e-07	0.003722185689348681	chr1	23531127	23531218
ENSG00000007968	E2F2	E2F	E2F	ENSG00000168300	0.19699766	0.03986903	7.7674993517293e-07	0.003722185689348681	chr1	23531127	23531218
ENSG00000007968	E2F2	E2F	E2F	ENSG00000007968	-1.6683968	0.34974915	1.8398187498745697e-06	0.0058776076329326256	chr1	23531127	23531218
ENSG00000008018	PSMB1			ENSG00000008018	-0.6531983	0.06345228	7.474271398127127e-25	7.163341707965038e-21	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000138829	0.263145	0.053338055	8.075568864436107e-07	0.00341744743252476	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000078328	0.977998	0.20047694	1.0697352146884683e-06	0.00341744743252476	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000172493	-0.2259067	0.04891817	3.87357595123835e-06	0.006446286357374408	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000152818	0.19513242	0.04226225	3.889893416334707e-06	0.006446286357374408	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000283674	-0.1755072	0.038074795	4.035655065134229e-06	0.006446286357374408	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000231312	-0.66722655	0.15415175	1.5021394224802448e-05	0.020566434607215238	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000168724	0.29491243	0.069067866	1.955662961189187e-05	0.020825637577819075	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000061987	0.28847113	0.06737888	1.8578076108385664e-05	0.020825637577819075	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000128849	-0.18316218	0.043153193	2.191161384695848e-05	0.021000090710925005	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000101115	-0.16102841	0.039067034	3.75843516811328e-05	0.03274622059199789	chr6	170552827	170553285
ENSG00000008018	PSMB1			ENSG00000237515	-0.32438806	0.080559336	5.656579263609698e-05	0.04517721305202946	chr6	170552827	170553285
ENSG00000008196	TFAP2B	AP-2	AP-2	ENSG00000134698	-0.464917	0.09982948	3.206773007856011e-06	0.028664675881682273	chr6	50818872	50819005
ENSG00000008196	TFAP2B	AP-2	AP-2	ENSG00000068912	0.7040641	0.15552442	5.981777103856901e-06	0.028664675881682273	chr6	50818872	50819005
ENSG00000008441	NFIX	Nuclear factor 1	SMAD	ENSG00000121774	0.15453264	0.029373197	1.432676353110146e-07	0.002620281252917533	chr19	12995451	12995866
ENSG00000008441	NFIX	Nuclear factor 1	SMAD	ENSG00000138175	-0.24500076	0.04765702	2.734016332343002e-07	0.002620281252917533	chr19	13023980	13024265
ENSG00000008441	NFIX	Nuclear factor 1	SMAD	ENSG00000148303	-0.101018086	0.022052418	4.631633529046062e-06	0.029593050494918307	chr19	13023980	13024265
ENSG00000008441	NFIX	Nuclear factor 1	SMAD	ENSG00000142676	0.10583056	0.023930179	9.757783057712566e-06	0.032209356428500736	chr19	12995451	12995866
ENSG00000008441	NFIX	Nuclear factor 1	SMAD	ENSG00000148634	-0.26841894	0.059762787	7.075453752765466e-06	0.032209356428500736	chr19	12995451	12995866
ENSG00000008441	NFIX	Nuclear factor 1	SMAD	ENSG00000107669	-0.2865736	0.06534035	1.155286781546172e-05	0.032209356428500736	chr19	12995451	12995866
ENSG00000008441	NFIX	Nuclear factor 1	SMAD	ENSG00000100196	-0.61965805	0.14141174	1.1762598862661995e-05	0.032209356428500736	chr19	12995451	12995866
ENSG00000008441	NFIX	Nuclear factor 1	SMAD	ENSG00000132640	0.197754	0.04617312	1.844887234301571e-05	0.04420349813386564	chr19	13023980	13024265
ENSG00000009709	PAX7	Paired plus homeo domain	Homeodomain; Paired box	ENSG00000009709	-1.5594535	0.30709058	3.811176256319335e-07	0.003652631324056451	chr1	18630918	18631267
ENSG00000009709	PAX7	Paired plus homeo domain	Homeodomain; Paired box	ENSG00000184349	0.20048392	0.043600224	4.26092577676475e-06	0.020418356322256682	chr1	18630918	18631267
ENSG00000009709	PAX7	Paired plus homeo domain	Homeodomain; Paired box	ENSG00000138162	0.40894186	0.0938503	1.3162581700139934e-05	0.04205006100471371	chr1	18630918	18631267
ENSG00000009950	MLXIPL	bHLH-ZIP	bHLH	ENSG00000009950	-2.0519013	0.3861682	1.0754453146244136e-07	0.001030706789536038	chr7	73624018	73624522
ENSG00000009950	MLXIPL	bHLH-ZIP	bHLH	ENSG00000159479	0.6690604	0.14081785	2.021655543771632e-06	0.00968777336575366	chr7	73624018	73624522
ENSG00000009950	MLXIPL	bHLH-ZIP	bHLH	ENSG00000126214	-0.49331963	0.11030667	7.739876383868311e-06	0.024726325087664633	chr7	73624018	73624522
ENSG00000009954	BAZ1B			ENSG00000164587	0.16565019	0.024985898	3.362615187900939e-11	3.22273039608426e-07	chr7	73522094	73522291
ENSG00000009954	BAZ1B			ENSG00000230876	-0.07475398	0.014441219	2.261703178973275e-07	0.0010838081633639932	chr7	73522094	73522291
ENSG00000009954	BAZ1B			ENSG00000089693	0.2010938	0.045970894	1.2178258409040328e-05	0.03890547619741417	chr7	73522094	73522291
ENSG00000009954	BAZ1B			ENSG00000186468	0.13641815	0.032054648	2.0830348368613337e-05	0.04990951469119755	chr7	73522094	73522291
ENSG00000010030	ETV7	Ets-related	Ets	ENSG00000138081	0.2252574	0.048977956	4.242003277045304e-06	0.02221135767695047	chr6	36387625	36387679
ENSG00000010030	ETV7	Ets-related	Ets	ENSG00000109189	-0.33306414	0.07511362	9.244143467338514e-06	0.02221135767695047	chr6	36387625	36387679
