guide_id	gene_name	label	log2_fc	p_value
AARS#chr16:70289397-70289415(-)	AARS	positive control	-0.75251454	0.0041693269957931
AARS#chr16:70289419-70289437(-)	AARS	positive control	-0.7137444	0.0638381324937065
AARS#chr16:70289477-70289495(-)	AARS	positive control	-1.0006125	2.987368986163372e-08
B2M#chr15:44711560-44711578(-)	B2M	positive control	-2.4331834	6.760686357069088e-241
CD151#chr11:833006-833024(+)	CD151	positive control		
CD151#chr11:833042-833060(-)	CD151	positive control		
CD29#chr10:32958199-32958217(-)	CD29	positive control	-0.07350674	9.35387789996524e-05
CD55#chr1:207321714-207321732(+)	CD55	positive control	-2.1854954	2.9549008751074103e-36
CD81#chr11:2377315-2377333(+)#strong	CD81	positive control	-1.0158936	0.0
CD81#chr11:2377315-2377333(+)#weak	CD81	positive control	0.01079648	0.6793052616735927
DNAJC19#chr3:180989302-180989320(-)	DNAJC19	positive control	-0.6672811	1.233429413045714e-69
DNAJC19#chr3:180989327-180989345(-)	DNAJC19	positive control	-0.41342264	2.5155957991924136e-20
DNAJC19#chr3:180989630-180989648(-)	DNAJC19	positive control	-0.67822117	0.0230593494399002
MALAT1#chr11:65497796-65497814(-)	MALAT1	positive control	-2.656588	1.523393651917355e-269
NGFRAP1#chrX:103376320-103376338(+)	NGFRAP1	positive control	-2.4229627	0.0
POLR1D#chr13:27621863-27621881(-)	POLR1D	positive control	-1.120578	2.5335322617184618e-107
POLR1D#chr13:27621883-27621901(-)	POLR1D	positive control	-0.22901265	0.2919790921620391
POLR1D#chr13:27621915-27621933(-)	POLR1D	positive control	-1.036206	5.224453581842506e-65
TFRC#chr3:196082075-196082093(-)	TFRC	positive control	-2.3311703	8.254378340050156e-142
non-targeting_00006		non_targeting		
non-targeting_00010		non_targeting		
non-targeting_00013		non_targeting		
non-targeting_00018		non_targeting		
non-targeting_00020		non_targeting		
non-targeting_00021		non_targeting		
non-targeting_00026		non_targeting		
non-targeting_00037		non_targeting		
non-targeting_00047		non_targeting		
non-targeting_00062		non_targeting		
non-targeting_00081		non_targeting		
non-targeting_00095		non_targeting		
non-targeting_00131		non_targeting		
non-targeting_00148		non_targeting		
non-targeting_00158		non_targeting		
non-targeting_00162		non_targeting		
non-targeting_00164		non_targeting		
non-targeting_00166		non_targeting		
non-targeting_00169		non_targeting		
non-targeting_00170		non_targeting		
non-targeting_00176		non_targeting		
non-targeting_00179		non_targeting		
non-targeting_00183		non_targeting		
non-targeting_00186		non_targeting		
non-targeting_00190		non_targeting		
non-targeting_00205		non_targeting		
non-targeting_00215		non_targeting		
non-targeting_00227		non_targeting		
non-targeting_00234		non_targeting		
non-targeting_00250		non_targeting		
non-targeting_00265		non_targeting		
non-targeting_00271		non_targeting		
non-targeting_00284		non_targeting		
non-targeting_00287		non_targeting		
non-targeting_00289		non_targeting		
non-targeting_00293		non_targeting		
non-targeting_00296		non_targeting		
non-targeting_00298		non_targeting		
non-targeting_00306		non_targeting		
non-targeting_00316		non_targeting		
non-targeting_00320		non_targeting		
non-targeting_00324		non_targeting		
non-targeting_00326		non_targeting		
non-targeting_00327		non_targeting		
non-targeting_00340		non_targeting		
non-targeting_00341		non_targeting		
non-targeting_00347		non_targeting		
non-targeting_00352		non_targeting		
non-targeting_00407		non_targeting		
non-targeting_00410		non_targeting		
non-targeting_00412		non_targeting		
non-targeting_00426		non_targeting		
non-targeting_00431		non_targeting		
non-targeting_00445		non_targeting		
non-targeting_00446		non_targeting		
non-targeting_00461		non_targeting		
non-targeting_00474		non_targeting		
non-targeting_00483		non_targeting		
non-targeting_00484		non_targeting		
non-targeting_00485		non_targeting		
non-targeting_00492		non_targeting		
non-targeting_00496		non_targeting		
non-targeting_00497		non_targeting		
non-targeting_00501		non_targeting		
non-targeting_00503		non_targeting		
non-targeting_00509		non_targeting		
non-targeting_00516		non_targeting		
non-targeting_00517		non_targeting		
non-targeting_00518		non_targeting		
non-targeting_00528		non_targeting		
non-targeting_00531		non_targeting		
non-targeting_00538		non_targeting		
non-targeting_00539		non_targeting		
non-targeting_00544		non_targeting		
non-targeting_00545		non_targeting		
non-targeting_00550		non_targeting		
non-targeting_00559		non_targeting		
non-targeting_00570		non_targeting		
non-targeting_00582		non_targeting		
non-targeting_00599		non_targeting		
non-targeting_00609		non_targeting		
non-targeting_00610		non_targeting		
non-targeting_00611		non_targeting		
non-targeting_00612		non_targeting		
non-targeting_00620		non_targeting		
non-targeting_00629		non_targeting		
non-targeting_00634		non_targeting		
non-targeting_00635		non_targeting		
non-targeting_00642		non_targeting		
non-targeting_00652		non_targeting		
non-targeting_00657		non_targeting		
non-targeting_00659		non_targeting		
non-targeting_00664		non_targeting		
non-targeting_00678		non_targeting		
non-targeting_00688		non_targeting		
non-targeting_00689		non_targeting		
non-targeting_00692		non_targeting		
non-targeting_00696		non_targeting		
non-targeting_00698		non_targeting		
non-targeting_00699		non_targeting		
