chromosome	start	end	seq_name	seq_class	seq_score	gene_name
chr1	35981	36181	promoter|chr1:35831-36331	promoter	1.0	FAM138F
chr1	35981	36181	promoter|chr1:35831-36331	promoter	1.0	FAM138A
chr1	68990	69190	promoter|chr1:68840-69340	promoter	1.0	OR4F5
chr1	817270	817470	promoter|chr1:817120-817620	promoter	1.0	FAM87B
chr1	827422	827690	promoter|chr1:827272-827840	promoter	1.0	LINC01128
chr1	827422	827690	promoter|chr1:827272-827840	promoter	1.0	LINC00115
chr1	876702	876902	promoter|chr1:876552-877052	promoter	1.0	FAM41C
chr1	924785	926241	promoter|chr1:924635-926391	promoter	1.0	SAMD11
chr1	958752	959399	promoter|chr1:958602-959549	promoter	1.0	NOC2L
chr1	960462	960686	promoter|chr1:960312-960836	promoter	1.0	KLHL17
chr1	966368	967323	promoter|chr1:966218-967473	promoter	1.0	PLEKHN1
chr1	982017	982217	promoter|chr1:981867-982367	promoter	1.0	PERM1
chr1	999181	999660	promoter|chr1:999031-999810	promoter	1.0	HES4
chr1	1000067	1000938	promoter|chr1:999917-1001088	promoter	1.0	HES4
chr1	1013319	1013980	promoter|chr1:1013169-1014130	promoter	1.0	ISG15
chr1	1019140	1020222	promoter|chr1:1018990-1020372	promoter	1.0	AGRN
chr1	1074207	1074526	promoter|chr1:1074057-1074676	promoter	1.0	RNF223
chr1	1115811	1116456	promoter|chr1:1115661-1116606	promoter	1.0	C1orf159
chr1	1136596	1137116	promoter|chr1:1136446-1137266	promoter	1.0	LINC01342
chr1	1179596	1179796	promoter|chr1:1179446-1179946	promoter	1.0	TTLL10
chr1	1206053	1207193	promoter|chr1:1205903-1207343	promoter	1.0	TNFRSF18
chr1	1214068	1214268	promoter|chr1:1213918-1214418	promoter	1.0	TNFRSF4
chr1	1231437	1232348	promoter|chr1:1231287-1232498	promoter	1.0	B3GALT6
chr1	1231437	1232348	promoter|chr1:1231287-1232498	promoter	1.0	SDF4
chr1	1246622	1247826	promoter|chr1:1246472-1247976	promoter	1.0	C1QTNF12
chr1	1273538	1274530	promoter|chr1:1273388-1274680	promoter	1.0	UBE2J2
chr1	1280335	1280535	promoter|chr1:1280185-1280685	promoter	1.0	SCNN1D
chr1	1307789	1308679	promoter|chr1:1307639-1308829	promoter	1.0	PUSL1
chr1	1307789	1308679	promoter|chr1:1307639-1308829	promoter	1.0	ACAP3
chr1	1324350	1325656	promoter|chr1:1324200-1325806	promoter	1.0	CPTP
chr1	1324350	1325656	promoter|chr1:1324200-1325806	promoter	1.0	INTS11
chr1	1331216	1331445	promoter|chr1:1331066-1331595	promoter	1.0	TAS1R3
chr1	1331981	1332408	promoter|chr1:1331831-1332558	promoter	1.0	TAS1R3
chr1	1349012	1349517	promoter|chr1:1348862-1349667	promoter	1.0	DVL1
chr1	1357945	1358145	promoter|chr1:1357795-1358295	promoter	1.0	MXRA8
chr1	1358484	1358894	promoter|chr1:1358334-1359044	promoter	1.0	MXRA8
chr1	1375297	1375538	promoter|chr1:1375147-1375688	promoter	1.0	AURKAIP1
chr1	1398800	1400241	promoter|chr1:1398650-1400391	promoter	1.0	CCNL2
chr1	1406784	1407679	promoter|chr1:1406634-1407829	promoter	1.0	MRPL20
chr1	1421344	1421544	promoter|chr1:1421194-1421694	promoter	1.0	ANKRD65
chr1	1425562	1426227	promoter|chr1:1425412-1426377	promoter	1.0	TMEM88B
chr1	1433841	1434041	promoter|chr1:1433691-1434191	promoter	1.0	LINC01770
chr1	1434451	1435767	promoter|chr1:1434301-1435917	promoter	1.0	VWA1
chr1	1434451	1435767	promoter|chr1:1434301-1435917	promoter	1.0	LINC01770
chr1	1449588	1449788	promoter|chr1:1449438-1449938	promoter	1.0	ATAD3C
chr1	1470657	1471281	promoter|chr1:1470507-1471431	promoter	1.0	ATAD3B
