target_id	ensembl_gene_id	gene_symbol	hgnc_approved_symbol	jaspar_tf_family	lambert_2018_dbd	type	locus	distance_mean_HonCM	distance_rank_HonCM	sig_dist_gt_NC_max_HonCM	distance_mean_HuangfuDE	distance_rank_HuangfuDE	sig_dist_gt_NC_max_HuangfuDE	distance_mean_HuangfuESC	distance_rank_HuangfuESC	sig_dist_gt_NC_max_HuangfuESC	n_datasets_with_data	n_datasets_significant	classification
ENSG00000132604|chr16:69385778-69385971	ENSG00000132604	TERF2	TERF2		Myb/SANT	targeting	chr16:69385778-69385971	6.640133666992187	122.0	True	112.45968627929688	34.0	True	638.3725006103516	7.0	True	3	3	convergent_significant
ENSG00000137947|chr1:88891086-88891504	ENSG00000137947	GTF2B	GTF2B		Unknown	targeting	chr1:88891086-88891504	19.98400268554688	35.0	True	115.18514404296874	16.0	True	619.2948822021484	36.0	True	3	3	convergent_significant
ENSG00000105732|chr19:42076166-42076229	ENSG00000105732	ZNF574	ZNF574	Factors with multiple dispersed zinc fingers	C2H2 ZF	targeting	chr19:42076166-42076229	56.10064697265625	6.0	True	134.39690551757812	1.0	True	602.4493835449218	82.0	True	3	3	convergent_significant
ENSG00000173145|chr10:94362680-94362949	ENSG00000173145	NOC3L	NOC3L		Unknown	targeting	chr10:94362680-94362949	48.62907409667969	8.0	True	96.90700073242188	773.0	False	697.5328063964844	1.0	True	3	2	discordant_partial
ENSG00000117133|chr1:84479276-84479689	ENSG00000117133	RPF1	RPF1			targeting	chr1:84479276-84479689	12.807723999023438	68.0	True	105.48798828125	187.0	False	669.5195831298828	2.0	True	3	2	discordant_partial
ENSG00000146007|chr5:140700458-140700950	ENSG00000146007	ZMAT2	ZMAT2		Unknown	targeting	chr5:140700458-140700950	14.232559204101562	60.0	True	81.479736328125	1944.0	False	635.3793792724609	11.0	True	3	2	discordant_partial
ENSG00000169136|chr19:49929110-49929479	ENSG00000169136	ATF5	ATF5		bZIP	targeting	chr19:49929110-49929479	7.337628173828125	108.0	True	90.34586181640626	1380.0	False	622.8770050048828	27.0	True	3	2	discordant_partial
ENSG00000112658|chr6:43171413-43171886	ENSG00000112658	SRF	SRF	Responders to external signals (SRF/RLM1)	MADS box	targeting	chr6:43171413-43171886	7.770693969726563	103.0	True	81.87044677734374	1929.0	False	620.4679321289062	34.0	True	3	2	discordant_partial
ENSG00000143498|chr1:222589794-222589893	ENSG00000143498	TAF1A	TAF1A		Unknown	targeting	chr1:222589794-222589893	57.34420471191406	5.0	True	90.576416015625	1361.0	False	612.681039428711	51.0	True	3	2	discordant_partial
ENSG00000064995|chr6:34887946-34888054	ENSG00000064995	TAF11	TAF11		Unknown	targeting	chr6:34887946-34888054	36.42413940429688	11.0	True	102.38150024414062	329.0	False	606.6548706054688	66.0	True	3	2	discordant_partial
ENSG00000101115|chr20:51801947-51802476	ENSG00000101115	SALL4	SALL4		C2H2 ZF	targeting	chr20:51801947-51802476	5.8590576171875	140.0	True	94.88806762695312	942.0	False	606.4042266845703	68.0	True	3	2	discordant_partial
ENSG00000183495|chr12:131949997-131950319	ENSG00000183495	EP400	EP400		Unknown	targeting	chr12:131949997-131950319	15.904745483398438	51.0	True	112.283740234375	35.0	True	594.1135101318359	119.0	False	3	2	discordant_partial
ENSG00000188342|chr13:45120463-45120684	ENSG00000188342	GTF2F2	GTF2F2		Unknown	targeting	chr13:45120463-45120684	17.13923034667969	47.0	True	123.96878662109376	3.0	True	529.8885101318359	1042.0	False	3	2	discordant_partial
ENSG00000186184|chr13:27621865-27621958	ENSG00000186184					positive control	chr13:27621865-27621958	44.233056640625		True	111.9715576171875		True	503.032846069336		False	3	2	discordant_partial
ENSG00000020426|chr14:60734731-60734847	ENSG00000020426	MNAT1	MNAT1		Unknown	targeting	chr14:60734731-60734847	8.35653076171875	98.0	True	118.82308349609374	7.0	True	436.1719970703125	2114.0	False	3	2	discordant_partial
ENSG00000136492|chr17:61863088-61863499	ENSG00000136492	BRIP1	BRIP1			targeting	chr17:61863088-61863499	192.7327667236328	2.0	True	125.413818359375	2.0	True	394.6179748535157	2155.0	False	3	2	discordant_partial
ENSG00000153250|chr2:160493615-160493833	ENSG00000153250	RBMS1	RBMS1			targeting	chr2:160493615-160493833	5.926882934570313	138.0	True	97.328076171875	721.0	False	602.2021942138672	84.0	False	3	1	HonCM-specific
ENSG00000149136|chr11:57335432-57335883	ENSG00000149136	SSRP1	SSRP1		HMG/Sox	targeting	chr11:57335432-57335883	23.52938842773437	18.0	True	98.93086547851564	575.0	False	598.1994476318359	95.0	False	3	1	HonCM-specific
ENSG00000160973|chr8:144475400-144475825	ENSG00000160973	FOXH1	FOXH1	FOX	Forkhead	targeting	chr8:144475400-144475825	6.0730743408203125	135.0	True	75.83505859375	2100.0	False	597.5308898925781	98.0	False	3	1	HonCM-specific
ENSG00000080603|chr16:30698167-30699349	ENSG00000080603	SRCAP	SRCAP		AT hook	targeting	chr16:30698167-30699349	4.828997802734375	159.0	True	90.60899658203124	1354.0	False	585.3015258789062	183.0	False	3	1	HonCM-specific
ENSG00000165804|chr14:21097948-21098619	ENSG00000165804	ZNF219	ZNF219		C2H2 ZF	targeting	chr14:21097948-21098619	6.730194091796875	121.0	True	84.343505859375	1809.0	False	584.9611572265625	185.0	False	3	1	HonCM-specific
ENSG00000124813|chr6:45422307-45422407	ENSG00000124813	RUNX2	RUNX2	Runt-related factors	Runt	targeting	chr6:45422307-45422407	6.542251586914063	125.0	True	109.34179077148436	82.0	False	584.5029388427735	188.0	False	3	1	HonCM-specific
ENSG00000156030|chr14:73786788-73787138	ENSG00000156030	ELMSAN1	MIDEAS		Myb/SANT	targeting	chr14:73786788-73787138	6.02232666015625	136.0	True	94.453955078125	971.0	False	580.2005950927735	223.0	False	3	1	HonCM-specific
