,cell_count,type,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,distance_mean,pval_mean,pval_mean_log,distance_mean_log
ENSG00000090861|chr16:70289409-70289495,758,positive control,81.570556640625,0.0,65.7938232421875,0.0,79.0218505859375,0.0,71.9454345703125,0.0,65.7708740234375,0.0,70.37255859375,0.0,76.120361328125,0.0,82.030517578125,0.0,75.421875,0.0,73.732177734375,0.0,59.2291259765625,0.0,72.24560546875,0.0,66.0181884765625,0.0,89.010009765625,0.0,56.8284912109375,0.0,91.7205810546875,0.0,82.7503662109375,0.0,77.50634765625,0.0,69.967529296875,0.0,73.8665771484375,0.0,74.046142578125,0.0,5.0,1.8695024389454102
ENSG00000177697|chr11:832818-833060,2000,positive control,80.1204833984375,0.0,64.2606201171875,0.0,76.100830078125,0.0,70.7008056640625,0.0,63.1690673828125,0.0,68.0396728515625,0.0,75.09033203125,0.0,79.8421630859375,0.0,72.231689453125,0.0,71.6412353515625,0.0,57.0877685546875,0.0,70.1474609375,0.0,62.2454833984375,0.0,86.6724853515625,0.0,53.17578125,0.0,90.529296875,0.0,79.120361328125,0.0,74.0047607421875,0.0,67.3077392578125,0.0,71.2630615234375,0.0,71.63755493164062,0.0,5.0,1.855140754482721
ENSG00000205981|chr3:180989327-180989725,2000,positive control,88.7779541015625,0.0,73.3343505859375,0.0,83.933349609375,0.0,77.406982421875,0.0,71.3310546875,0.0,76.651123046875,0.0,83.4688720703125,0.0,87.9063720703125,0.0,82.1920166015625,0.0,80.14453125,0.0,64.8370361328125,0.0,77.9029541015625,0.0,70.714111328125,0.0,95.7208251953125,0.0,61.5296630859375,0.0,97.979248046875,0.0,88.562744140625,0.0,82.79833984375,0.0,75.0477294921875,0.0,79.2257080078125,0.0,79.97324829101562,0.0,5.0,1.9029447362100058
ENSG00000186184|chr13:27621865-27621958,2000,positive control,122.079345703125,0.0,103.7774658203125,0.0,117.8531494140625,0.0,109.8546142578125,0.0,101.9066162109375,0.0,108.2996826171875,0.0,115.9388427734375,0.0,121.6890869140625,0.0,113.7569580078125,0.0,112.4315185546875,0.0,93.628173828125,0.0,108.971435546875,0.0,101.2828369140625,0.0,130.38720703125,0.0,90.9747314453125,0.0,133.4345703125,0.0,120.87890625,0.0,114.965087890625,0.0,106.5172119140625,0.0,110.8037109375,0.0,111.9715576171875,0.0,5.0,2.0491077196468384
non-targeting|1|non-targeting:1-1,2000,negative control,110.456298828125,0.0,92.70654296875,0.0,105.72802734375,0.0,99.7301025390625,0.0,91.296142578125,0.0,96.53369140625,0.0,104.7574462890625,0.0,112.060791015625,0.0,103.26318359375,0.0,101.2921142578125,0.0,83.0194091796875,0.0,98.2025146484375,0.0,90.3719482421875,0.0,118.81396484375,0.0,79.9349365234375,0.0,122.1585693359375,0.0,111.6192626953125,0.0,103.916015625,0.0,95.8619384765625,0.0,100.7481689453125,0.0,101.12355346679688,0.0,5.0,2.004852322250675
non-targeting|2|non-targeting:2-2,2000,negative control,104.604736328125,0.0,87.49462890625,0.0,100.8822021484375,0.0,93.806396484375,0.0,86.707275390625,0.0,92.630859375,0.0,99.757080078125,0.0,105.6964111328125,0.0,98.5985107421875,0.0,97.0318603515625,0.0,79.1595458984375,0.0,93.554931640625,0.0,85.458984375,0.0,112.5638427734375,0.0,78.31640625,0.0,115.9239501953125,0.0,104.8748779296875,0.0,98.9578857421875,0.0,91.51904296875,0.0,95.6610107421875,0.0,96.16002197265625,0.0,5.0,1.9829945538953768
non-targeting|3|non-targeting:3-3,2000,negative control,94.708251953125,0.0,77.442626953125,0.0,90.569580078125,0.0,84.45068359375,0.0,76.6451416015625,0.0,82.2353515625,0.0,88.8861083984375,0.0,94.643310546875,0.0,88.128173828125,0.0,86.05419921875,0.0,70.526611328125,0.0,83.3349609375,0.0,76.484619140625,0.0,102.292236328125,0.0,68.104248046875,0.0,104.5093994140625,0.0,94.5015869140625,0.0,88.189697265625,0.0,81.669189453125,0.0,85.5792236328125,0.0,85.94776000976563,0.0,5.0,1.9342345624881665
non-targeting|4|non-targeting:4-4,2000,negative control,97.994873046875,0.0,81.9019775390625,0.0,94.9927978515625,0.0,87.871337890625,0.0,80.38671875,0.0,85.3143310546875,0.0,92.59814453125,0.0,98.26025390625,0.0,91.879638671875,0.0,90.267822265625,0.0,73.107177734375,0.0,87.2867431640625,0.0,80.0015869140625,0.0,106.2330322265625,0.0,71.250732421875,0.0,109.4661865234375,0.0,98.9854736328125,0.0,93.4617919921875,0.0,84.9671630859375,0.0,89.4346923828125,0.0,89.78312377929687,0.0,5.0,1.9531947115190824
non-targeting|5|non-targeting:5-5,2000,negative control,96.916015625,0.0,79.037353515625,0.0,90.48486328125,0.0,85.62353515625,0.0,78.3433837890625,0.0,82.830078125,0.0,90.9775390625,0.0,95.6448974609375,0.0,88.2823486328125,0.0,87.2646484375,0.0,70.8819580078125,0.0,84.9622802734375,0.0,77.8560791015625,0.0,103.7340087890625,0.0,67.3192138671875,0.0,107.26025390625,0.0,95.159423828125,0.0,89.861328125,0.0,82.0181884765625,0.0,86.1663818359375,0.0,87.03118896484375,0.0,5.0,1.939674916618313
non-targeting|6|non-targeting:6-6,2000,negative control,107.228515625,0.0,89.843994140625,0.0,103.2667236328125,0.0,97.895751953125,0.0,88.6380615234375,0.0,94.5625,0.0,101.537353515625,0.0,107.6683349609375,0.0,99.837646484375,0.0,99.7374267578125,0.0,81.2578125,0.0,96.6585693359375,0.0,88.2969970703125,0.0,115.85107421875,0.0,77.4271240234375,0.0,119.494140625,0.0,107.620361328125,0.0,101.789306640625,0.0,93.5433349609375,0.0,98.199951171875,0.0,98.5177490234375,0.0,5.0,1.9935144803304023
non-targeting|7|non-targeting:7-7,2000,negative control,93.05517578125,0.0,76.58056640625,0.0,88.822265625,0.0,82.475341796875,0.0,75.2723388671875,0.0,80.755859375,0.0,86.8203125,0.0,93.0487060546875,0.0,86.3060302734375,0.0,85.5958251953125,0.0,68.742919921875,0.0,81.8468017578125,0.0,74.4241943359375,0.0,100.559326171875,0.0,66.62109375,0.0,103.0406494140625,0.0,92.424560546875,0.0,86.4530029296875,0.0,79.555419921875,0.0,83.4708251953125,0.0,84.29356079101562,0.0,5.0,1.9257944000133518
non-targeting|8|non-targeting:8-8,2000,negative control,93.7762451171875,0.0,77.2886962890625,0.0,89.568359375,0.0,82.6396484375,0.0,76.484130859375,0.0,81.319091796875,0.0,87.7484130859375,0.0,93.329833984375,0.0,85.823974609375,0.0,84.0682373046875,0.0,69.029296875,0.0,82.4683837890625,0.0,75.0701904296875,0.0,100.72998046875,0.0,66.3929443359375,0.0,104.00048828125,0.0,93.049560546875,0.0,87.8958740234375,0.0,79.72412109375,0.0,84.9002685546875,0.0,84.76538696289063,0.0,5.0,1.9282185489580095
non-targeting|9|non-targeting:9-9,2000,negative control,86.820068359375,0.0,71.5050048828125,0.0,83.8851318359375,0.0,76.5806884765625,0.0,69.80029296875,0.0,75.28369140625,0.0,81.0948486328125,0.0,87.796142578125,0.0,79.904052734375,0.0,78.803955078125,0.0,63.1585693359375,0.0,76.3587646484375,0.0,69.235595703125,0.0,93.6121826171875,0.0,60.9798583984375,0.0,96.955322265625,0.0,87.6270751953125,0.0,81.0706787109375,0.0,73.7275390625,0.0,78.68603515625,0.0,78.64427490234375,0.0,5.0,1.8956671126068685
non-targeting|10|non-targeting:10-10,2000,negative control,90.5782470703125,0.0,74.3941650390625,0.0,86.826416015625,0.0,80.148681640625,0.0,73.0625,0.0,78.3328857421875,0.0,85.2763671875,0.0,90.0167236328125,0.0,83.96142578125,0.0,82.7669677734375,0.0,66.61328125,0.0,79.4180908203125,0.0,72.334228515625,0.0,98.2142333984375,0.0,63.960693359375,0.0,100.4459228515625,0.0,90.83544921875,0.0,84.7806396484375,0.0,78.82568359375,0.0,81.8519287109375,0.0,82.1322265625,0.0,5.0,1.9145135964873654
non-targeting|11|non-targeting:11-11,2000,negative control,102.4356689453125,0.0,84.9937744140625,0.0,97.2122802734375,0.0,91.0242919921875,0.0,84.128173828125,0.0,89.4622802734375,0.0,96.0675048828125,0.0,102.010986328125,0.0,94.9044189453125,0.0,93.3751220703125,0.0,76.708740234375,0.0,90.8421630859375,0.0,83.95556640625,0.0,111.251953125,0.0,74.0240478515625,0.0,112.4705810546875,0.0,103.512939453125,0.0,95.8258056640625,0.0,88.6256103515625,0.0,94.0419921875,0.0,93.34369506835938,0.0,5.0,1.970084988707224
