guide_id	gene_name	log2_fc	p_value	dataset	lab
CD81#strong	CD81	-2.3678808	4.1263434993974055e-134	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CD81#weak	CD81	-2.387349	1.6575112479238074e-70	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CD151#strong	CD151	-2.7926347	5.9415619797449134e-80	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CD151#weak	CD151	-1.6750077	4.207017490749085e-106	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CD55#strong	CD55	-2.9053776	1.3259902142315051e-28	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NGFRAP1#B	NGFRAP1	-2.286373	1.4039252189404863e-300	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NGFRAP1#A	NGFRAP1	-2.5645533	0.0	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
TFRC#A	TFRC	-2.9514902	1.5479274135907301e-52	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
AFF4#chr5:132963540-132963558(+)	AFF4	-0.30748743	0.0120512327898513	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
AFF4#chr5:132963579-132963597(-)	AFF4	-1.2682006	1.4061539649179467e-14	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
AFF4#chr5:132963567-132963585(+)	AFF4	-0.37146008	4.7512785881660466e-09	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
AFF4#chr5:132963620-132963638(+)	AFF4	-0.6922077	1.5899693439824132e-08	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
AFF4#chr5:132963570-132963588(+)	AFF4	-1.7143766	4.124878951566277e-43	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
AFF4#chr5:132963573-132963591(+)	AFF4	-0.00015851104	0.9986942171702838	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1A#chr1:26696017-26696035(-)	ARID1A	-0.21254364	0.0832004225789181	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1A#chr1:26696019-26696037(+)	ARID1A	-0.39737856	0.0026261615106301	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1A#chr1:26696255-26696273(+)	ARID1A	-0.059814975	0.6061215546113708	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1A#chr1:26696034-26696052(+)	ARID1A	-0.5551869	0.0030630623984228	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1A#chr1:26696464-26696482(-)	ARID1A	-0.12524788	0.2301565006344483	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1A#chr1:26696089-26696107(-)	ARID1A	-0.3030259	0.0202329571033032	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1B#chr6:156777673-156777691(-)	ARID1B	0.10325773	0.2541076072969016	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1B#chr6:156777991-156778009(+)	ARID1B	-0.1835005	0.0614588561494697	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1B#chr6:156777838-156777856(+)	ARID1B	-0.009081413	0.9380575689881068	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1B#chr6:156777663-156777681(+)	ARID1B	0.15686764	0.0120796465921008	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1B#chr6:156777978-156777996(+)	ARID1B	-0.029264998	0.8803446525334364	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1B#chr6:156777964-156777982(+)	ARID1B	-0.07584542	0.2357661937213262	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
