guide_id	n_cells_detected	frac_cells_detected	n_cells_assigned	frac_cells_assigned	total_umi	mean_umi	median_umi	std_umi	max_umi	total_cells	gene_name
AARS#chr16:70289397-70289415(-)	385	0.0014286191375593247	53	0.00019666705010556938	2859.0	7.425974025974026	1.0	24.151692702891648	163.0	269491	AARS
AARS#chr16:70289419-70289437(-)	153	0.0005677369559651343	27	0.00010018887458208252	1555.0	10.163398692810457	1.0	36.0093411113341	332.0	269491	AARS
AARS#chr16:70289477-70289495(-)	605	0.0022449729304503674	98	0.0003636485077423736	5023.0	8.302479338842975	1.0	32.37026607991173	369.0	269491	AARS
B2M#chr15:44711560-44711578(-)	22143	0.08216600925448345	2511	0.009317565336133675	248927.0	11.241791988438784	1.0	41.127911456094694	727.0	269491	B2M
CD151#chr11:833006-833024(+)	16098	0.05973483344527276	1537	0.005703344453061512	172942.0	10.743073673748292	1.0	40.91544644481191	567.0	269491	CD151
CD151#chr11:833042-833060(-)	55958	0.2076432979208953	4970	0.018442174321220375	731136.0	13.065799349512135	1.0	51.07247309008747	1182.0	269491	CD151
CD29#chr10:32958199-32958217(-)	27783	0.10309435194496291	6134	0.02276142802542571	251779.0	9.062340280027355	1.0	22.467111963674856	333.0	269491	CD29
CD55#chr1:207321714-207321732(+)	35133	0.13036799002564092	2580	0.009573603571176774	432902.0	12.321805709731592	1.0	53.748348006813956	1080.0	269491	CD55
CD81#chr11:2377315-2377333(+)#strong	38497	0.1428507816587567	4940	0.018330853349462505	443257.0	11.514066031119308	1.0	41.19528525154904	754.0	269491	CD81
CD81#chr11:2377315-2377333(+)#weak	40615	0.1507100422648623	4833	0.017933808550192772	486896.0	11.988083220485043	1.0	44.71946126947858	922.0	269491	CD81
DNAJC19#chr3:180989302-180989320(-)	28533	0.10587737623890965	3442	0.012772226159686224	318235.0	11.153226089089825	1.0	37.50430113327735	636.0	269491	DNAJC19
DNAJC19#chr3:180989327-180989345(-)	14275	0.052970229061452885	1739	0.006452905662897833	142590.0	9.988791593695272	1.0	40.095184652774755	729.0	269491	DNAJC19
DNAJC19#chr3:180989630-180989648(-)	325	0.0012059771940435859	34	0.00012616376799225206	3328.0	10.24	1.0	43.02182916398819	379.0	269491	DNAJC19
MALAT1#chr11:65497796-65497814(-)	10756	0.0399122790742548	975	0.0036179315821307577	104613.0	9.726013387876534	1.0	42.79878627361328	947.0	269491	MALAT1
