,pval_outlier
AARS#chr16:70289419-70289437(-),1.0
AARS#chr16:70289477-70289495(-),1.0
CD151#chr11:833006-833024(+),1.0
CD151#chr11:833042-833060(-),1.0
DNAJC19#chr3:180989327-180989345(-),1.0
DNAJC19#chr3:180989630-180989648(-),1.0
POLR1D#chr13:27621883-27621901(-),1.0
POLR1D#chr13:27621915-27621933(-),1.0
OR10G4#chr11:124015582-124015600(-),0.8792
OR10G4#chr11:124015588-124015606(-),0.7476
OR10G4#chr11:124015592-124015610(-),0.2771
OR10G4#chr11:124015633-124015651(+),0.5649
OR10G4#chr11:124015821-124015839(+),0.0045
OR10G4#chr11:124015972-124015990(-),0.0319
OR10H2#chr19:15728014-15728032(+),0.9531
OR10H2#chr19:15728018-15728036(-),0.0889
OR10H2#chr19:15728027-15728045(-),0.9993
OR10H2#chr19:15728031-15728049(+),0.9531
OR10H2#chr19:15728232-15728250(-),0.7476
OR10H2#chr19:15728440-15728458(+),0.661
OR10H5#chr19:15793970-15793988(-),0.0889
OR10H5#chr19:15794019-15794037(+),0.8792
OR10H5#chr19:15794030-15794048(-),0.9984
OR10H5#chr19:15794035-15794053(+),0.1995
OR10H5#chr19:15794050-15794068(-),1.0
OR10H5#chr19:15794245-15794263(-),0.9731
OR10K1#chr1:158465517-158465535(-),0.9531
OR10K1#chr1:158465535-158465553(-),0.5649
OR10K1#chr1:158465545-158465563(-),0.9926
OR10K1#chr1:158465563-158465581(-),0.4649
OR10K1#chr1:158465707-158465725(-),1.0
OR10K1#chr1:158465725-158465743(-),0.661
OR10P1#chr12:55636874-55636892(+),0.7476
OR10P1#chr12:55636879-55636897(+),0.0091
OR10P1#chr12:55636922-55636940(-),0.9531
OR10P1#chr12:55637086-55637104(-),0.0889
OR10P1#chr12:55637115-55637133(-),0.7476
OR10P1#chr12:55637295-55637313(-),0.7476
OR10V1#chr11:59713406-59713424(-),0.0091
OR10V1#chr11:59713770-59713788(+),0.9926
OR10V1#chr11:59713841-59713859(-),0.1366
OR10V1#chr11:59713845-59713863(-),0.0889
OR10V1#chr11:59713848-59713866(+),0.9854
OR10V1#chr11:59713862-59713880(+),0.9531
OR11H6#chr14:20223618-20223636(+),0.0
OR11H6#chr14:20223687-20223705(-),0.9993
OR11H6#chr14:20223808-20223826(-),0.9731
OR11H6#chr14:20223839-20223857(+),0.9531
OR11H6#chr14:20223859-20223877(-),0.9984
OR11H6#chr14:20223901-20223919(+),0.9964
OR11L1#chr1:247841641-247841659(+),1.0
OR11L1#chr1:247841745-247841763(-),1.0
OR11L1#chr1:247841777-247841795(-),1.0
OR11L1#chr1:247841819-247841837(+),1.0
OR11L1#chr1:247841856-247841874(+),1.0
OR11L1#chr1:247841887-247841905(+),1.0
OR12D2#chr6:29396626-29396644(+),0.9731
OR12D2#chr6:29396725-29396743(-),0.9227
OR12D2#chr6:29396891-29396909(-),0.9731
OR12D2#chr6:29396896-29396914(-),0.0045
OR12D2#chr6:29396900-29396918(-),0.4649
OR12D2#chr6:29397013-29397031(-),0.9731
OR12D3#chr6:29374860-29374878(+),0.9926
OR12D3#chr6:29375021-29375039(+),0.9997
OR12D3#chr6:29375038-29375056(+),0.9531
OR12D3#chr6:29375225-29375243(+),0.0045
OR12D3#chr6:29375241-29375259(-),0.9964
OR12D3#chr6:29375250-29375268(-),0.0176
OR13C9#chr9:104617741-104617759(+),0.367
OR13C9#chr9:104617752-104617770(-),0.9731
OR13C9#chr9:104617767-104617785(-),0.1995
OR13C9#chr9:104618142-104618160(-),0.9227
OR13C9#chr9:104618198-104618216(-),1.0
OR13C9#chr9:104618204-104618222(-),0.9531
OR13G1#chr1:247672569-247672587(+),0.9993
OR13G1#chr1:247672969-247672987(+),0.2771
OR13G1#chr1:247672980-247672998(-),0.5649
OR13G1#chr1:247673007-247673025(-),0.9227
OR13G1#chr1:247673030-247673048(+),0.0548
OR13G1#chr1:247673041-247673059(+),0.8209
OR14J1#chr6:29306639-29306657(-),0.8209
OR14J1#chr6:29306672-29306690(+),0.8792
OR14J1#chr6:29306710-29306728(+),0.0045
OR14J1#chr6:29306784-29306802(+),0.0021
OR14J1#chr6:29306826-29306844(-),1.0
OR14J1#chr6:29307105-29307123(-),1.0
OR1J4#chr9:122519128-122519146(+),0.9531
OR1J4#chr9:122519415-122519433(-),0.9964
OR1J4#chr9:122519527-122519545(-),1.0
OR1J4#chr9:122519593-122519611(-),0.0091
OR1J4#chr9:122519598-122519616(-),0.1995
OR1J4#chr9:122519610-122519628(-),0.5649
OR1L8#chr9:122568064-122568082(+),0.9227
OR1L8#chr9:122568298-122568316(+),0.661
OR1L8#chr9:122568355-122568373(-),0.8209
OR1L8#chr9:122568361-122568379(+),0.8792
OR1L8#chr9:122568415-122568433(+),0.4649
OR1L8#chr9:122568542-122568560(-),0.367
OR1M1#chr19:9083140-9083157(-),0.9854
OR1M1#chr19:9093293-9093311(+),0.8792
OR1M1#chr19:9093345-9093363(+),0.0
OR1M1#chr19:9093352-9093370(-),0.9731
OR1M1#chr19:9093559-9093577(-),1.0
OR1M1#chr19:9093628-9093646(-),0.367
OR1N2#chr9:122553156-122553174(+),0.7476
OR1N2#chr9:122553189-122553207(+),0.7476
OR1N2#chr9:122553194-122553212(+),0.0009
OR1N2#chr9:122553204-122553222(+),0.661
OR1N2#chr9:122553259-122553277(-),0.9531
OR1N2#chr9:122553317-122553335(+),0.9731
OR2A1#chr7:144318110-144318128(+),0.9926
OR2A1#chr7:144318332-144318350(+),0.9854
OR2A1#chr7:144318508-144318526(-),0.9984
OR2A1#chr7:144318522-144318540(-),0.4649
OR2A1#chr7:144318533-144318551(+),0.2771
OR2A1#chr7:144318597-144318615(-),0.2771
OR2A2#chr7:144109537-144109555(+),0.9964
OR2A2#chr7:144109541-144109559(-),0.0176
OR2A2#chr7:144109545-144109563(-),0.4649
OR2A2#chr7:144109550-144109568(-),0.9227
OR2A2#chr7:144109569-144109587(+),0.8209
OR2A2#chr7:144109621-144109639(-),0.367
OR2AE1#chr7:99876774-99876792(-),0.9926
OR2AE1#chr7:99876921-99876939(+),0.5649
OR2AE1#chr7:99876989-99877007(-),0.5649
OR2AE1#chr7:99876993-99877011(+),0.661
OR2AE1#chr7:99877042-99877060(-),0.9227
OR2AE1#chr7:99877053-99877071(-),0.0091
OR2B2#chr6:27912238-27912256(+),0.0
OR2B2#chr6:27912275-27912293(+),0.4649
OR2B2#chr6:27912292-27912310(-),0.9731
OR2B2#chr6:27912307-27912325(+),0.661
OR2B2#chr6:27912343-27912361(+),0.661
OR2B2#chr6:27912385-27912403(-),0.9926
OR2B3#chr6:29086819-29086837(-),1.0
OR2B3#chr6:29086911-29086929(+),1.0
OR2B3#chr6:29086928-29086946(+),1.0
OR2B3#chr6:29087071-29087089(+),1.0
OR2B3#chr6:29087110-29087128(-),1.0
OR2B3#chr6:29087152-29087170(+),1.0
OR2C3#chr1:247533505-247533523(-),0.9531
OR2C3#chr1:247533537-247533555(-),0.8209
OR2C3#chr1:247533589-247533607(+),0.9731
