target_id	ensembl_gene_id	gene_symbol	hgnc_approved_symbol	jaspar_tf_family	lambert_2018_dbd	type	cell_count	distance_mean	distance_rank_targeting	sig_distance_gt_NC_max	pval_mean	sig_pval_lt_0p05	n_outlier_grnas_in_run	n_grnas_in_run	locus
ENSG00000090861|chr16:70289409-70289495	ENSG00000090861					positive control	5	289.9674377441406		True	0.1493	False	910	13534	chr16:70289409-70289495
ENSG00000119041|chr2:196799439-196799696	ENSG00000119041	GTF3C3	GTF3C3			targeting	12	222.0182678222656	1.0	True	0.0124	True	910	13534	chr2:196799439-196799696
ENSG00000136492|chr17:61863088-61863499	ENSG00000136492	BRIP1	BRIP1			targeting	17	192.7327667236328	2.0	True	0.00475	True	910	13534	chr17:61863088-61863499
ENSG00000074800|chr1:8878289-8878718	ENSG00000074800	ENO1	ENO1		Unknown	targeting	2000	130.0402618408203	3.0	True	0.0	True	910	13534	chr1:8878289-8878718
ENSG00000163161|chr2:127293743-127294138	ENSG00000163161	ERCC3	ERCC3		Unknown	targeting	79	58.46024169921875	4.0	True	0.0007	True	910	13534	chr2:127293743-127294138
ENSG00000143498|chr1:222589794-222589893	ENSG00000143498	TAF1A	TAF1A		Unknown	targeting	41	57.34420471191406	5.0	True	0.03145	True	910	13534	chr1:222589794-222589893
ENSG00000105732|chr19:42076166-42076229	ENSG00000105732	ZNF574	ZNF574	Factors with multiple dispersed zinc fingers	C2H2 ZF	targeting	32	56.10064697265625	6.0	True	0.0818	False	910	13534	chr19:42076166-42076229
ENSG00000145734|chr5:71455663-71455894	ENSG00000145734	BDP1	BDP1		Unknown	targeting	41	49.41160278320312	7.0	True	0.05445	False	910	13534	chr5:71455663-71455894
ENSG00000173145|chr10:94362680-94362949	ENSG00000173145	NOC3L	NOC3L		Unknown	targeting	38	48.62907409667969	8.0	True	0.0773	False	910	13534	chr10:94362680-94362949
ENSG00000143621|chr1:153670768-153670991	ENSG00000143621	ILF2	ILF2			targeting	76	47.81247253417969	9.0	True	0.0033	True	910	13534	chr1:153670768-153670991
ENSG00000186184|chr13:27621865-27621958	ENSG00000186184					positive control	12	44.233056640625		True	0.8496500000000001	False	910	13534	chr13:27621865-27621958
ENSG00000196235|chr19:39445597-39445785	ENSG00000196235	SUPT5H	SUPT5H		Unknown	targeting	33	40.77178649902344	10.0	True	0.2064	False	910	13534	chr19:39445597-39445785
ENSG00000064995|chr6:34887946-34888054	ENSG00000064995	TAF11	TAF11		Unknown	targeting	154	36.42413940429688	11.0	True	0.00015	True	910	13534	chr6:34887946-34888054
ENSG00000178028|chr1:44213473-44213865	ENSG00000178028	DMAP1	DMAP1		Unknown	targeting	179	35.30386047363281	12.0	True	0.0001	True	910	13534	chr1:44213473-44213865
ENSG00000162601|chr1:58699625-58700070	ENSG00000162601	MYSM1	MYSM1		Myb/SANT	targeting	57	34.74073486328125	13.0	True	0.0639	False	910	13534	chr1:58699625-58700070
