target_id	ensembl_gene_id	gene_symbol	hgnc_approved_symbol	jaspar_tf_family	lambert_2018_dbd	type	cell_count	distance_mean	distance_rank_targeting	sig_distance_gt_NC_max	pval_mean	sig_pval_lt_0p05	n_outlier_grnas_in_run	n_grnas_in_run	locus
ENSG00000173145|chr10:94362680-94362949	ENSG00000173145	NOC3L	NOC3L		Unknown	targeting	1214	697.5328063964844	1.0	True	0.0	True	1270	13534	chr10:94362680-94362949
ENSG00000117133|chr1:84479276-84479689	ENSG00000117133	RPF1	RPF1			targeting	541	669.5195831298828	2.0	True	0.0	True	1270	13534	chr1:84479276-84479689
ENSG00000177125|chr9:126860430-126860845	ENSG00000177125	ZBTB34	ZBTB34		C2H2 ZF	targeting	2000	664.8975555419922	3.0	True	0.0	True	1270	13534	chr9:126860430-126860845
ENSG00000068305|chr15:99565983-99566412	ENSG00000068305	MEF2A	MEF2A	Regulators of differentiation	MADS box	targeting	2000	657.3028869628906	4.0	True	0.0	True	1270	13534	chr15:99565983-99566412
ENSG00000128000|chr19:40055862-40056189	ENSG00000128000	ZNF780B	ZNF780B	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	2000	649.0390594482421	5.0	True	0.0	True	1270	13534	chr19:40055862-40056189
ENSG00000168724|chr5:34929559-34930047	ENSG00000168724	DNAJC21	DNAJC21		Unknown	targeting	2000	639.0901763916015	6.0	True	0.0	True	1270	13534	chr5:34929559-34930047
ENSG00000132604|chr16:69385778-69385971	ENSG00000132604	TERF2	TERF2		Myb/SANT	targeting	2000	638.3725006103516	7.0	True	0.0	True	1270	13534	chr16:69385778-69385971
ENSG00000197757|chr12:54016889-54017041	ENSG00000197757	HOXC6	HOXC6		Homeodomain	targeting	2000	637.5805694580079	8.0	True	0.0	True	1270	13534	chr12:54016889-54017041
ENSG00000139687|chr13:48303814-48303919	ENSG00000139687	RB1	RB1		Unknown	targeting	2000	635.9707275390625	9.0	True	0.0	True	1270	13534	chr13:48303814-48303919
ENSG00000168795|chr9:37464997-37465440	ENSG00000168795	ZBTB5	ZBTB5	BTB-POZ	C2H2 ZF	targeting	2000	635.7039916992187	10.0	True	0.0	True	1270	13534	chr9:37464997-37465440
ENSG00000146007|chr5:140700458-140700950	ENSG00000146007	ZMAT2	ZMAT2		Unknown	targeting	2000	635.3793792724609	11.0	True	0.0	True	1270	13534	chr5:140700458-140700950
ENSG00000116478|chr1:32292127-32292611	ENSG00000116478	HDAC1	HDAC1		Unknown	targeting	2000	635.2242950439453	12.0	True	0.0	True	1270	13534	chr1:32292127-32292611
ENSG00000142528|chr19:50025980-50026224	ENSG00000142528	ZNF473	ZNF473		C2H2 ZF	targeting	2000	631.6472869873047	13.0	True	0.0	True	1270	13534	chr19:50025980-50026224
ENSG00000010803|chr1:41160713-41160902	ENSG00000010803	SCMH1	SCMH1		Unknown	targeting	2000	631.1720672607422	14.0	True	0.0	True	1270	13534	chr1:41160713-41160902
ENSG00000113722|chr5:150166777-150167060	ENSG00000113722	CDX1	CDX1	HOX	Homeodomain	targeting	2000	631.0649383544921	15.0	True	0.0	True	1270	13534	chr5:150166777-150167060
ENSG00000177873|chr3:40477174-40477349	ENSG00000177873	ZNF619	ZNF619		C2H2 ZF	targeting	2000	629.143310546875	16.0	True	0.0	True	1270	13534	chr3:40477174-40477349
ENSG00000074219|chr19:49361570-49362385	ENSG00000074219	TEAD2	TEAD2	TEF-1-related factors	TEA	targeting	2000	629.0102355957031	17.0	True	0.0	True	1270	13534	chr19:49361570-49362385
ENSG00000104881|chr19:45404905-45405041	ENSG00000104881	PPP1R13L	PPP1R13L		Unknown	targeting	2000	628.1986907958984	18.0	True	0.0	True	1270	13534	chr19:45404905-45405041
ENSG00000140968|chr16:85899166-85899243	ENSG00000140968	IRF8	IRF8	Interferon-regulatory factors	IRF	targeting	2000	628.0620147705079	19.0	True	0.0	True	1270	13534	chr16:85899166-85899243
ENSG00000103495|chr16:29806750-29806974	ENSG00000103495	MAZ	MAZ	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	2000	626.8001403808594	20.0	True	0.0	True	1270	13534	chr16:29806750-29806974
ENSG00000105127|chr19:15379705-15379777	ENSG00000105127	AKAP8	AKAP8		C2H2 ZF	targeting	2000	626.6263702392578	21.0	True	0.0	True	1270	13534	chr19:15379705-15379777
ENSG00000155090|chr8:102655616-102655842	ENSG00000155090	KLF10	KLF10	Three-zinc finger Kruppel-related	C2H2 ZF	targeting	2000	625.4072631835937	22.0	True	0.0	True	1270	13534	chr8:102655616-102655842
ENSG00000261787|chr8:66962512-66962576	ENSG00000261787	TCF24	TCF24		bHLH	targeting	2000	625.1783905029297	23.0	True	0.0	True	1270	13534	chr8:66962512-66962576
ENSG00000062370|chr19:44356328-44356682	ENSG00000062370	ZNF112	ZNF112		C2H2 ZF	targeting	2000	624.4395111083984	24.0	True	0.0	True	1270	13534	chr19:44356328-44356682
ENSG00000172789|chr12:54016889-54017344	ENSG00000172789	HOXC5	HOXC5		Homeodomain	targeting	2000	624.0676666259766	25.0	True	0.0	True	1270	13534	chr12:54016889-54017344
ENSG00000101544|chr18:80109299-80109786	ENSG00000101544	ADNP2	ADNP2		Homeodomain	targeting	2000	623.5755645751954	26.0	True	0.0	True	1270	13534	chr18:80109299-80109786
ENSG00000169136|chr19:49929110-49929479	ENSG00000169136	ATF5	ATF5		bZIP	targeting	766	622.8770050048828	27.0	True	0.0	True	1270	13534	chr19:49929110-49929479
ENSG00000214513|chr2:73202554-73202681	ENSG00000214513	NOTO	NOTO	NK	Homeodomain	targeting	2000	622.5060485839844	28.0	True	0.0	True	1270	13534	chr2:73202554-73202681
ENSG00000099956|chr22:23791770-23791831	ENSG00000099956	SMARCB1	SMARCB1		Unknown	targeting	2000	622.359017944336	29.0	True	0.0	True	1270	13534	chr22:23791770-23791831
ENSG00000166925|chr7:100479017-100479259	ENSG00000166925	TSC22D4	TSC22D4		Unknown	targeting	2000	621.3900177001954	30.0	True	0.0	True	1270	13534	chr7:100479017-100479259
ENSG00000164920|chr8:98944419-98944821	ENSG00000164920	OSR2	OSR2	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	2000	621.3618957519532	31.0	True	0.0	True	1270	13534	chr8:98944419-98944821
ENSG00000185591|chr12:53380184-53380609	ENSG00000185591	SP1	SP1	Three-zinc finger Kruppel-related	C2H2 ZF	targeting	2000	620.8512268066406	32.0	True	0.0	True	1270	13534	chr12:53380184-53380609
ENSG00000188620|chr10:123135982-123136378	ENSG00000188620	HMX3	HMX3		Homeodomain	targeting	2000	620.6550048828125	33.0	True	0.0	True	1270	13534	chr10:123135982-123136378
ENSG00000112658|chr6:43171413-43171886	ENSG00000112658	SRF	SRF	Responders to external signals (SRF/RLM1)	MADS box	targeting	2000	620.4679321289062	34.0	True	0.0	True	1270	13534	chr6:43171413-43171886
ENSG00000134323|chr2:15940571-15940796	ENSG00000134323	MYCN	MYCN	bHLH-ZIP	bHLH	targeting	2000	620.1442443847657	35.0	True	0.0	True	1270	13534	chr2:15940571-15940796
ENSG00000137947|chr1:88891086-88891504	ENSG00000137947	GTF2B	GTF2B		Unknown	targeting	676	619.2948822021484	36.0	True	0.0	True	1270	13534	chr1:88891086-88891504
ENSG00000124664|chr6:34555882-34556298	ENSG00000124664	SPDEF	SPDEF	Ets-related	Ets	targeting	2000	618.6721221923829	37.0	True	0.0	True	1270	13534	chr6:34555882-34556298
ENSG00000060566|chr19:4153665-4154011	ENSG00000060566	CREB3L3	CREB3L3	CREB-related	bZIP	targeting	2000	618.4975860595703	38.0	True	0.0	True	1270	13534	chr19:4153665-4154011
ENSG00000146285|chr6:107824001-107824322	ENSG00000146285	SCML4	SCML4		AT hook	targeting	2000	618.0992706298828	39.0	True	0.0	True	1270	13534	chr6:107824001-107824322
ENSG00000162419|chr1:28668819-28669201	ENSG00000162419	GMEB1	GMEB1		SAND	targeting	2000	617.7978485107421	40.0	True	0.0	True	1270	13534	chr1:28668819-28669201
ENSG00000118689|chr6:108560893-108561192	ENSG00000118689	FOXO3	FOXO3	FOX	Forkhead	targeting	2000	617.4149536132812	41.0	True	0.0	True	1270	13534	chr6:108560893-108561192
ENSG00000146587|chr7:5045853-5046293	ENSG00000146587	RBAK	RBAK		C2H2 ZF	targeting	2000	617.0002685546875	42.0	True	0.0	True	1270	13534	chr7:5045853-5046293
ENSG00000116990|chr1:39901438-39901871	ENSG00000116990	MYCL	MYCL		bHLH	targeting	2000	616.0621032714844	43.0	True	0.0	True	1270	13534	chr1:39901438-39901871
ENSG00000129993|chr16:88941114-88941358	ENSG00000129993	CBFA2T3	CBFA2T3		Unknown	targeting	2000	614.5071990966796	44.0	True	0.0	True	1270	13534	chr16:88941114-88941358
ENSG00000186130|chr9:122913079-122913320	ENSG00000186130	ZBTB6	ZBTB6	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	2000	614.4328735351562	45.0	True	0.0	True	1270	13534	chr9:122913079-122913320
ENSG00000159917|chr19:44304740-44305014	ENSG00000159917	ZNF235	ZNF235		C2H2 ZF	targeting	2000	614.2599029541016	46.0	True	0.0	True	1270	13534	chr19:44304740-44305014
ENSG00000168477|chr6:32109273-32109354	ENSG00000168477	TNXB	TNXB			targeting	2000	614.0398315429687	47.0	True	0.0	True	1270	13534	chr6:32109273-32109354
ENSG00000177468|chr6:137493996-137494361	ENSG00000177468	OLIG3	OLIG3	Tal-related	bHLH	targeting	2000	614.0195373535156	48.0	True	0.0	True	1270	13534	chr6:137493996-137494361
ENSG00000125812|chr20:23362171-23362428	ENSG00000125812	GZF1	GZF1		C2H2 ZF	targeting	2000	613.6231964111328	49.0	True	0.0	True	1270	13534	chr20:23362171-23362428
ENSG00000080298|chr9:3525576-3525992	ENSG00000080298	RFX3	RFX3	RFX-related factors	RFX	targeting	2000	613.2093444824219	50.0	True	0.0	True	1270	13534	chr9:3525576-3525992
