,index,x,y,cluster
0,ENSG00000004848|chrX:25015643-25015955,-54.880035,-113.755875,24
1,ENSG00000005073|chr7:27184970-27185227,-7.748836,-29.853281,6
2,ENSG00000006377|chr7:97005732-97006346,40.162495,-45.12829,12
3,ENSG00000006468|chr7:13988864-13989683,-17.928965,69.73199,18
4,ENSG00000007545|chr16:1614195-1614395,-61.28825,-68.21208,23
5,ENSG00000011332|chr19:38229237-38229704,-4.2462654,18.230068,12
6,ENSG00000020426|chr14:60734731-60734847,25.796745,105.62179,0
7,ENSG00000023287|chr8:52714363-52714428,10.793154,82.64113,6
8,ENSG00000029153|chr12:27332901-27333138,-34.52856,4.435074,6
9,ENSG00000056586|chr9:122905107-122905267,-14.697741,64.83722,11
10,ENSG00000060566|chr19:4153665-4154011,-12.068293,-59.812504,19
11,ENSG00000064490|chr19:19192941-19193190,-72.28285,61.66745,18
12,ENSG00000069011|chr5:135034178-135034269,-14.2994585,-7.218782,11
13,ENSG00000071655|chr19:1592226-1592750,-69.99122,64.67338,12
14,ENSG00000075426|chr2:28392854-28393581,36.631714,-43.07045,19
15,ENSG00000078699|chr20:33490073-33490272,-19.848488,-27.735788,6
16,ENSG00000079102|chr8:92062352-92062590,-51.2868,-51.376663,6
17,ENSG00000084676|chr2:24491867-24491918,-4.200735,15.703439,12
18,ENSG00000089225|chr12:114405669-114406173,85.83721,31.596514,11
19,ENSG00000099949|chr22:20982302-20982395,6.4330215,35.61541,5
20,ENSG00000100625|chr14:60723908-60724347,-69.20445,70.4486,12
21,ENSG00000100987|chr20:25077611-25078007,-2.010321,-75.88222,19
22,ENSG00000101096|chr20:51542468-51542723,25.6381,69.74736,16
23,ENSG00000103199|chr16:4767090-4767168,-43.951466,20.455593,19
24,ENSG00000103479|chr16:53435641-53435883,-13.474774,-25.840746,6
25,ENSG00000104856|chr19:45001504-45001909,-60.351395,-25.713634,6
26,ENSG00000104884|chr19:45370298-45370570,-6.754948,-36.55543,6
27,ENSG00000105392|chr19:47821957-47822027,39.399128,-21.545622,17
28,ENSG00000105610|chr19:12886990-12887223,-75.5248,-9.750627,11
29,ENSG00000105732|chr19:42076166-42076229,26.59238,102.07484,1
30,ENSG00000105866|chr7:21428042-21428256,115.47662,45.939667,5
31,ENSG00000105996|chr7:27102197-27102676,-33.302715,-96.1605,10
32,ENSG00000106479|chr7:149838423-149838637,4.0262423,-57.768085,19
33,ENSG00000106948|chr9:114398167-114398474,-23.575659,72.95079,21
34,ENSG00000107164|chr9:130579043-130579844,-57.045704,22.119003,24
35,ENSG00000108840|chr17:44123413-44123610,12.478448,86.4981,11
36,ENSG00000109685|chr4:1871399-1871869,-16.104082,47.658417,19
37,ENSG00000110693|chr11:16475902-16476367,19.459406,86.825226,21
38,ENSG00000111653|chr12:6662864-6663154,-27.390493,12.697104,11
39,ENSG00000112041|chr6:35512253-35512852,29.008917,-34.304432,12
40,ENSG00000112561|chr6:41733540-41733839,-36.25304,-78.84431,6
41,ENSG00000112837|chr6:84763067-84763464,108.65931,46.125698,8
42,ENSG00000113387|chr5:32531822-32532272,46.69689,-17.36814,17
43,ENSG00000113658|chr5:136132866-136133370,-57.339264,-61.69202,24
44,ENSG00000114315|chr3:194136116-194136223,-52.048965,-119.190765,2
45,ENSG00000115053|chr2:231464232-231464485,-9.776725,-62.663265,19
46,ENSG00000115750|chr2:9843488-9843558,-16.763802,-33.25505,6
47,ENSG00000116731|chr1:13704871-13705208,24.812407,94.255806,16
48,ENSG00000117133|chr1:84479276-84479689,62.54145,28.037828,3
49,ENSG00000120705|chr5:138542792-138543177,65.777145,25.54419,5
50,ENSG00000121653|chr11:45885650-45885824,117.5074,44.697765,5
51,ENSG00000122180|chr1:203085771-203085972,96.98161,-17.992994,11
52,ENSG00000123609|chr2:151289396-151289682,-3.1427267,-54.539593,19
53,ENSG00000123685|chr1:212699536-212699950,96.4601,-11.809837,5
54,ENSG00000124151|chr20:47501905-47502113,22.808619,-34.403458,6
55,ENSG00000124813|chr6:45422307-45422407,32.751045,97.94975,20
56,ENSG00000125520|chr20:63739767-63740380,22.487246,-56.343487,19
57,ENSG00000125845|chr20:6767708-6767829,112.6846,47.61236,5
58,ENSG00000125945|chr1:23369540-23369830,75.91686,22.402843,11
59,ENSG00000126368|chr17:40100455-40100632,33.03668,-40.165546,12
60,ENSG00000128709|chr2:176122703-176123019,-3.812093,11.779984,16
61,ENSG00000129084|chr11:14519918-14520317,-24.39024,-37.46799,11
62,ENSG00000129535|chr14:24114692-24114972,32.239826,-28.754654,12
63,ENSG00000130254|chr19:5622527-5622775,100.8949,-19.585278,15
64,ENSG00000130589|chr20:63573740-63574263,36.907608,98.80128,4
65,ENSG00000132170|chr3:12287955-12288395,-55.153336,-35.084488,23
66,ENSG00000132604|chr16:69385778-69385971,69.16048,22.900717,5
67,ENSG00000132846|chr5:77086957-77087195,89.90977,36.15205,5
68,ENSG00000133937|chr14:94769612-94770077,-26.254406,-122.758026,24
69,ENSG00000134046|chr18:54224191-54224625,-14.681695,-29.7729,6
70,ENSG00000134058|chr5:69234849-69235121,0.48213413,47.58512,18
71,ENSG00000134874|chr13:95643045-95644713,25.535019,-39.98394,12
72,ENSG00000135341|chr6:90586992-90587077,-24.395027,4.513142,12
73,ENSG00000135373|chr11:34621107-34621507,-56.799507,28.610987,19
74,ENSG00000135801|chr1:229625966-229626136,-18.367262,-12.705461,11
75,ENSG00000136492|chr17:61863088-61863499,40.3392,99.58635,7
76,ENSG00000136931|chr9:124507318-124507454,116.29565,59.686623,15
77,ENSG00000137166|chr6:41546382-41546629,-3.8551211,-50.884727,12
78,ENSG00000137203|chr6:10411951-10412352,26.357004,76.664246,16
79,ENSG00000137273|chr6:1389578-1389958,71.76513,13.340413,8
80,ENSG00000137693|chr11:102110462-102110923,-53.746555,-30.19549,18
81,ENSG00000137947|chr1:88891086-88891504,120.59235,65.60799,9
82,ENSG00000140009|chr14:64294125-64294314,-10.8381405,-13.025186,11
83,ENSG00000140262|chr15:56918689-56918988,-29.232618,-94.96298,10
84,ENSG00000140262|chr15:57219458-57219674,88.35993,34.381294,15
85,ENSG00000141052|chr17:12665905-12666064,-25.64624,15.778371,5
86,ENSG00000141380|chr18:26090413-26090627,-37.428207,-54.93069,19
87,ENSG00000141968|chr19:6772667-6772935,28.475239,63.75999,21
88,ENSG00000142025|chr19:41845109-41845457,67.68886,11.664327,8
89,ENSG00000142700|chr1:50423378-50423475,-5.008149,111.031044,20
90,ENSG00000143157|chr1:166839472-166839735,1.0764855,-72.69353,19
91,ENSG00000143514|chr1:223845711-223845967,95.02672,-19.489117,19
92,ENSG00000143578|chr1:153967871-153968164,-15.947956,-21.297192,6
93,ENSG00000143867|chr2:19358516-19358616,-14.54232,-12.366648,11
94,ENSG00000144655|chr3:39153191-39153573,-28.31205,5.8176084,12
95,ENSG00000144852|chr3:119782064-119782264,1.6368687,94.83541,21
96,ENSG00000145734|chr5:71455663-71455894,-8.19735,113.44292,13
97,ENSG00000146587|chr7:5072118-5072235,93.01306,-10.3655405,5
98,ENSG00000148704|chr10:117137808-117138392,-2.623907,35.700615,18
99,ENSG00000148835|chr10:103367999-103368480,33.845104,51.02662,11
100,ENSG00000150051|chr10:27745573-27745800,-51.325836,-114.99543,24
101,ENSG00000151789|chr3:21751092-21751194,-69.77985,67.32921,12
102,ENSG00000155090|chr8:102653367-102653853,3.272201,120.0033,20
103,ENSG00000155592|chr16:25257523-25257835,45.58429,-49.30861,6
104,ENSG00000156273|chr21:29298933-29299392,8.830084,88.828926,21
105,ENSG00000156469|chr8:96261507-96261624,-1.159532,116.82358,14
106,ENSG00000157933|chr1:2228531-2228929,-11.4900055,-66.28994,10
107,ENSG00000161277|chr19:36054165-36054394,-44.334957,-114.84326,24
108,ENSG00000162624|chr1:75136379-75136606,113.00506,56.32684,15
109,ENSG00000163795|chr2:27380581-27380757,8.029838,-57.10927,19
110,ENSG00000164296|chr5:150000467-150000604,23.668962,74.27278,16
111,ENSG00000164900|chr7:151174474-151174742,-54.705524,25.16839,19
112,ENSG00000164924|chr8:100951536-100951962,-26.334482,-92.79652,10
113,ENSG00000165417|chr14:81220447-81220931,71.924095,20.574633,8
114,ENSG00000165891|chr12:77065471-77065577,-43.440002,-31.389387,11
115,ENSG00000166188|chr16:57998407-57998471,2.6382904,-20.77401,6
116,ENSG00000166349|chr11:36567997-36568417,-76.67941,-6.0553675,16
117,ENSG00000167491|chr19:19405761-19406238,2.7121968,51.245937,18
118,ENSG00000168724|chr5:34929559-34930047,-2.6359038,104.06811,20
119,ENSG00000168779|chr3:158105681-158105761,74.039604,11.596927,8
120,ENSG00000169297|chrX:30308627-30309361,-33.61219,-80.01312,6
121,ENSG00000169375|chr15:75455340-75455817,-30.245426,7.7023845,12
122,ENSG00000169946|chr8:105318480-105318968,42.728046,-18.35288,17
123,ENSG00000169957|chr16:30526290-30526578,-21.041435,-35.657562,6
124,ENSG00000170631|chr8:144950554-144950820,-1.6520209,43.944267,18
125,ENSG00000171476|chr4:56655786-56656017,23.317074,-52.78071,19
126,ENSG00000171540|chr5:77638317-77638693,-47.46887,24.783716,19
127,ENSG00000171574|chr19:58408681-58408946,-1.9549893,-58.84232,19
128,ENSG00000171940|chr20:53593340-53593620,30.562685,58.293404,21
129,ENSG00000173801|chr17:41785955-41786707,-45.02182,-55.239853,12
130,ENSG00000174446|chr15:66497410-66497777,-1.3690653,-62.290073,19
131,ENSG00000175329|chr22:35066158-35066389,1.2594097,-17.318789,11
132,ENSG00000177374|chr17:2055106-2055552,4.6515827,-73.29652,19
133,ENSG00000177494|chr3:111594890-111595314,5.234853,121.35953,20
134,ENSG00000177683|chr7:108569393-108569717,-50.178143,24.766434,19
135,ENSG00000178177|chr4:18021653-18021923,-44.30651,28.353062,21
136,ENSG00000178229|chr19:57320483-57320614,24.481352,-48.88644,19
137,ENSG00000178573|chr16:79600543-79600743,-11.159344,46.28441,18
138,ENSG00000178662|chr2:165572313-165572445,-4.219764,108.60396,21
139,ENSG00000178691|chr17:31937137-31937387,9.933336,33.3837,21
140,ENSG00000178919|chr9:97853228-97853325,43.592304,-14.73027,17
141,ENSG00000178951|chr19:4066583-4066883,5.9078326,-22.285715,10
142,ENSG00000179588|chr16:88453285-88453532,-44.50759,-28.588259,6
143,ENSG00000181722|chr3:114624540-114624995,4.697885,91.205315,21
144,ENSG00000182968|chr13:112067181-112067806,99.42012,-9.143387,5
145,ENSG00000183495|chr12:131949997-131950319,5.0512257,54.42673,21
146,ENSG00000183621|chr10:31031657-31031890,-24.320232,46.83392,21
147,ENSG00000183814|chr1:226308769-226309385,-25.84265,-80.822754,11
148,ENSG00000184271|chr12:51217777-51218095,-57.118126,-27.627064,11
149,ENSG00000185610|chr12:45050884-45051090,-42.1705,31.34268,21
150,ENSG00000185947|chr16:31884557-31884981,-47.26745,-109.97936,24
151,ENSG00000186230|chr19:57435341-57435564,-20.752071,70.829124,21
152,ENSG00000186790|chr1:47416298-47416368,-34.00724,10.703849,19
153,ENSG00000186918|chr8:28385780-28386215,43.084503,-47.30557,6
154,ENSG00000188227|chr19:37506929-37507216,-28.190893,-121.60905,24
155,ENSG00000188342|chr13:45120463-45120684,118.56949,62.765903,22
156,ENSG00000189308|chr4:83012667-83012882,-68.67592,74.01403,21
157,ENSG00000196214|chr19:52269583-52269837,-48.45616,-29.637758,6
158,ENSG00000196247|chr7:64666340-64666635,-14.689683,73.39733,21
159,ENSG00000196458|chr12:132956111-132956348,28.09168,97.8579,16
160,ENSG00000196466|chr19:12400949-12401251,-40.962105,-54.996872,19
161,ENSG00000196482|chr1:217076892-217076980,110.18427,56.153732,15
162,ENSG00000196498|chr12:124495075-124495347,0.630544,38.267242,18
163,ENSG00000196652|chr7:99504930-99505393,-11.718706,-37.25981,6
164,ENSG00000197114|chr20:63707525-63708095,-21.40107,49.400074,19
165,ENSG00000197128|chr19:57477306-57477564,3.27244,37.502785,8
166,ENSG00000197757|chr12:54016889-54017041,-5.0191936,21.697235,21
167,ENSG00000198034|chrX:72276872-72277245,-0.2694766,98.1979,21
168,ENSG00000198040|chr12:133037459-133037943,-29.237995,-81.673965,6
169,ENSG00000198081|chr18:5295464-5296003,8.212997,123.74297,20
170,ENSG00000198728|chr10:102120103-102120377,-22.673267,53.011726,19
171,ENSG00000204514|chr19:57888774-57888976,76.113335,9.688988,8
172,ENSG00000204595|chr19:53632066-53632262,28.997963,-23.467543,12
173,ENSG00000205189|chr8:80486173-80486292,35.261776,48.207863,11
174,ENSG00000205927|chr21:33025910-33026198,-2.1217766,-33.127213,6
175,ENSG00000212993|chr8:127415817-127416221,-65.05139,-63.22725,23
176,ENSG00000213015|chr19:55635027-55635217,-58.209137,-96.77881,19
177,ENSG00000213921|chr19:39776606-39777006,-76.19551,-12.095496,16
178,ENSG00000213967|chr19:23914882-23915302,-61.36227,-64.64208,23
179,ENSG00000214717|chrX:2500511-2500901,-26.90093,-98.22773,10
180,ENSG00000215397|chr20:676442-676643,-50.07837,-55.039898,12
181,ENSG00000242441|chr2:48617809-48617927,-47.64543,-112.445114,24
182,ENSG00000250709|chr13:36297716-36297851,-53.78165,-58.03774,6
183,ENSG00000253293|chr7:27174026-27174311,-56.38039,-98.16048,24
184,ENSG00000254004|chr19:36528039-36528685,27.955343,-36.82281,12
185,ENSG00000256294|chr19:44113382-44113619,19.929483,74.12696,16
186,ENSG00000257923|chr7:101815965-101816347,15.412932,86.67758,11
187,ENSG00000260428|chr8:144266603-144266696,-80.00471,-14.314294,21
188,ENSG00000263001|chr7:74657753-74657931,-27.70158,-2.632943,12
189,ENSG00000273706|chr17:36936747-36937765,-72.45427,-15.988841,16
190,ENSG00000275111|chr2:95165802-95166073,31.859901,54.64851,11
191,ENSG00000277462|chr1:247078347-247078806,-9.743007,-33.15152,6
192,ENSG00000290988|chr19:37692075-37692259,35.796978,-29.093264,12
